	Rhodotorula_mucilaginosa_TFCN_17-337P-5.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00002678	TFCN17337P5_003267-T1, TFCN17337P5_011629-T1	DBVPG3775_003936-T1
GF00002679	TFCN17337P5_003269-T1, TFCN17337P5_009229-T1	DBVPG3775_003934-T1
GF00002680	TFCN17337P5_003270-T1, TFCN17337P5_009228-T1	DBVPG3775_003933-T1
GF00002681	TFCN17337P5_003271-T1, TFCN17337P5_009227-T1	DBVPG3775_003932-T1
GF00002682	TFCN17337P5_003272-T1, TFCN17337P5_009226-T1	DBVPG3775_003931-T1
GF00002683	TFCN17337P5_003276-T1, TFCN17337P5_009222-T1	DBVPG3775_003927-T1
GF00002684	TFCN17337P5_003277-T1, TFCN17337P5_009221-T1	DBVPG3775_003926-T1
GF00002685	TFCN17337P5_003278-T1, TFCN17337P5_009220-T1	DBVPG3775_003925-T1
GF00002686	TFCN17337P5_003281-T1, TFCN17337P5_009217-T1	DBVPG3775_003923-T1
GF00002687	TFCN17337P5_003283-T1, TFCN17337P5_009215-T1	DBVPG3775_003921-T1
GF00002688	TFCN17337P5_003284-T1, TFCN17337P5_009214-T1	DBVPG3775_003920-T1
GF00002689	TFCN17337P5_003285-T1, TFCN17337P5_009213-T1	DBVPG3775_003919-T1
GF00002690	TFCN17337P5_003286-T1, TFCN17337P5_009212-T1	DBVPG3775_003918-T1
GF00002691	TFCN17337P5_003288-T1, TFCN17337P5_009210-T1	DBVPG3775_003916-T1
GF00002692	TFCN17337P5_003289-T1, TFCN17337P5_009209-T1	DBVPG3775_003915-T1
GF00002693	TFCN17337P5_003290-T1, TFCN17337P5_009208-T1	DBVPG3775_003914-T1
GF00002694	TFCN17337P5_003291-T1, TFCN17337P5_009207-T1	DBVPG3775_003913-T1
GF00002695	TFCN17337P5_003292-T1, TFCN17337P5_009206-T1	DBVPG3775_003912-T1
GF00002696	TFCN17337P5_003293-T1, TFCN17337P5_009205-T1	DBVPG3775_003911-T1
GF00002697	TFCN17337P5_003295-T1, TFCN17337P5_009203-T1	DBVPG3775_003909-T1
GF00002698	TFCN17337P5_003296-T1, TFCN17337P5_009202-T1	DBVPG3775_003908-T1
GF00002699	TFCN17337P5_003297-T1, TFCN17337P5_009201-T1	DBVPG3775_003907-T1
GF00002700	TFCN17337P5_003298-T1, TFCN17337P5_009200-T1	DBVPG3775_003906-T1
GF00002701	TFCN17337P5_003299-T1, TFCN17337P5_009199-T1	DBVPG3775_003905-T1
GF00002702	TFCN17337P5_003300-T1, TFCN17337P5_009198-T1	DBVPG3775_003904-T1
GF00002703	TFCN17337P5_003301-T1, TFCN17337P5_009197-T1	DBVPG3775_003903-T1
GF00002704	TFCN17337P5_003303-T1, TFCN17337P5_009195-T1	DBVPG3775_003901-T1
GF00002705	TFCN17337P5_003305-T1, TFCN17337P5_009192-T1	DBVPG3775_003899-T1
GF00002706	TFCN17337P5_003306-T1, TFCN17337P5_009191-T1	DBVPG3775_003898-T1
GF00002707	TFCN17337P5_003307-T1, TFCN17337P5_009190-T1	DBVPG3775_003897-T1
GF00002708	TFCN17337P5_003308-T1, TFCN17337P5_009189-T1	DBVPG3775_003896-T1
GF00002709	TFCN17337P5_003310-T1, TFCN17337P5_009187-T1	DBVPG3775_003894-T1
GF00002710	TFCN17337P5_003311-T1, TFCN17337P5_009186-T1	DBVPG3775_003893-T1
GF00002711	TFCN17337P5_003312-T1, TFCN17337P5_009185-T1	DBVPG3775_003892-T1
GF00002712	TFCN17337P5_012499-T1, TFCN17337P5_007934-T1	DBVPG3775_000576-T1
GF00002713	TFCN17337P5_003314-T1, TFCN17337P5_009183-T1	DBVPG3775_003890-T1
GF00002714	TFCN17337P5_003316-T1, TFCN17337P5_009181-T1	DBVPG3775_003888-T1
GF00002715	TFCN17337P5_003317-T1, TFCN17337P5_009180-T1	DBVPG3775_003887-T1
GF00002716	TFCN17337P5_003318-T1, TFCN17337P5_009179-T1	DBVPG3775_003886-T1
GF00002717	TFCN17337P5_003319-T1, TFCN17337P5_009178-T1	DBVPG3775_003885-T1
GF00002718	TFCN17337P5_003322-T1, TFCN17337P5_009175-T1	DBVPG3775_003882-T1
GF00002719	TFCN17337P5_003324-T1, TFCN17337P5_009173-T1	DBVPG3775_003880-T1
GF00002720	TFCN17337P5_003325-T1, TFCN17337P5_010343-T1	DBVPG3775_003879-T1
GF00002721	TFCN17337P5_003328-T1, TFCN17337P5_010346-T1	DBVPG3775_003876-T1
GF00002722	TFCN17337P5_003329-T1, TFCN17337P5_010347-T1	DBVPG3775_003875-T1
GF00002723	TFCN17337P5_003330-T1, TFCN17337P5_010348-T1	DBVPG3775_003874-T1
GF00002724	TFCN17337P5_003332-T1, TFCN17337P5_010349-T1	DBVPG3775_003873-T1
GF00002725	TFCN17337P5_003333-T1, TFCN17337P5_010350-T1	DBVPG3775_003872-T1
GF00002726	TFCN17337P5_003335-T1, TFCN17337P5_010351-T1	DBVPG3775_003870-T1
GF00002727	TFCN17337P5_003336-T1, TFCN17337P5_010352-T1	DBVPG3775_003869-T1
GF00002728	TFCN17337P5_003337-T1, TFCN17337P5_010353-T1	DBVPG3775_003868-T1
GF00002729	TFCN17337P5_003339-T1, TFCN17337P5_010354-T1	DBVPG3775_003866-T1
GF00002730	TFCN17337P5_003341-T1, TFCN17337P5_010357-T1	DBVPG3775_003864-T1
GF00002731	TFCN17337P5_003345-T1, TFCN17337P5_010361-T1	DBVPG3775_003860-T1
GF00002732	TFCN17337P5_003346-T1, TFCN17337P5_010362-T1	DBVPG3775_003859-T1
GF00002733	TFCN17337P5_003347-T1, TFCN17337P5_010363-T1	DBVPG3775_003858-T1
GF00002734	TFCN17337P5_003348-T1, TFCN17337P5_010364-T1	DBVPG3775_003857-T1
GF00002735	TFCN17337P5_003351-T1, TFCN17337P5_010367-T1	DBVPG3775_003854-T1
GF00002736	TFCN17337P5_003353-T1, TFCN17337P5_010369-T1	DBVPG3775_003852-T1
GF00002737	TFCN17337P5_003355-T1, TFCN17337P5_010371-T1	DBVPG3775_003850-T1
GF00002738	TFCN17337P5_003356-T1, TFCN17337P5_010372-T1	DBVPG3775_003849-T1
GF00002739	TFCN17337P5_003437-T1, TFCN17337P5_009231-T1	DBVPG3775_002920-T1
GF00002740	TFCN17337P5_011263-T1, TFCN17337P5_005293-T1	DBVPG3775_005655-T1
GF00002741	TFCN17337P5_003439-T1, TFCN17337P5_009233-T1	DBVPG3775_002918-T1
GF00002742	TFCN17337P5_006069-T1, TFCN17337P5_006150-T1	DBVPG3775_002813-T1
GF00002743	TFCN17337P5_003442-T1, TFCN17337P5_009236-T1	DBVPG3775_002915-T1
GF00002744	TFCN17337P5_003444-T1, TFCN17337P5_009238-T1	DBVPG3775_002913-T1
GF00002745	TFCN17337P5_003445-T1, TFCN17337P5_009239-T1	DBVPG3775_002912-T1
GF00002746	TFCN17337P5_003446-T1, TFCN17337P5_009240-T1	DBVPG3775_002911-T1
GF00002747	TFCN17337P5_003447-T1, TFCN17337P5_009241-T1	DBVPG3775_002910-T1
GF00002748	TFCN17337P5_003920-T1, TFCN17337P5_005048-T1	DBVPG3775_003126-T1
GF00002749	TFCN17337P5_003451-T1, TFCN17337P5_009249-T1	DBVPG3775_002906-T1
GF00002750	TFCN17337P5_003452-T1, TFCN17337P5_009250-T1	DBVPG3775_002905-T1
GF00002751	TFCN17337P5_003454-T1, TFCN17337P5_009252-T1	DBVPG3775_002902-T1
GF00002752	TFCN17337P5_003456-T1, TFCN17337P5_009254-T1	DBVPG3775_002899-T1
GF00002753	TFCN17337P5_003458-T1, TFCN17337P5_009256-T1	DBVPG3775_002897-T1
GF00002754	TFCN17337P5_003461-T1, TFCN17337P5_009258-T1	DBVPG3775_002894-T1
GF00002755	TFCN17337P5_003462-T1, TFCN17337P5_009259-T1	DBVPG3775_002893-T1
GF00002756	TFCN17337P5_007958-T1, TFCN17337P5_013749-T1	DBVPG3775_004699-T1
GF00002757	TFCN17337P5_003467-T1, TFCN17337P5_009265-T1	DBVPG3775_002888-T1
GF00002758	TFCN17337P5_003468-T1, TFCN17337P5_009266-T1	DBVPG3775_002887-T1
GF00002759	TFCN17337P5_003469-T1, TFCN17337P5_009267-T1	DBVPG3775_002886-T1
GF00002760	TFCN17337P5_003470-T1, TFCN17337P5_009268-T1	DBVPG3775_002885-T1
GF00002761	TFCN17337P5_003471-T1, TFCN17337P5_009269-T1	DBVPG3775_002884-T1
GF00002762	TFCN17337P5_003472-T1, TFCN17337P5_009270-T1	DBVPG3775_002883-T1
GF00002763	TFCN17337P5_003473-T1, TFCN17337P5_009271-T1	DBVPG3775_002882-T1
GF00002764	TFCN17337P5_003476-T1, TFCN17337P5_009274-T1	DBVPG3775_002879-T1
GF00002765	TFCN17337P5_003482-T1, TFCN17337P5_014572-T1	DBVPG3775_000777-T1
GF00002766	TFCN17337P5_003486-T1, TFCN17337P5_007068-T1	DBVPG3775_000781-T1
GF00002767	TFCN17337P5_003488-T1, TFCN17337P5_007070-T1	DBVPG3775_000783-T1
GF00002768	TFCN17337P5_003489-T1, TFCN17337P5_007071-T1	DBVPG3775_000784-T1
GF00002769	TFCN17337P5_003490-T1, TFCN17337P5_007072-T1	DBVPG3775_000785-T1
GF00002770	TFCN17337P5_003493-T1, TFCN17337P5_007074-T1	DBVPG3775_000787-T1
GF00002771	TFCN17337P5_003494-T1, TFCN17337P5_007075-T1	DBVPG3775_000788-T1
GF00002772	TFCN17337P5_003497-T1, TFCN17337P5_007078-T1	DBVPG3775_000791-T1
GF00002773	TFCN17337P5_003501-T1, TFCN17337P5_007082-T1	DBVPG3775_000794-T1
GF00002774	TFCN17337P5_003502-T1, TFCN17337P5_007083-T1	DBVPG3775_000795-T1
GF00002775	TFCN17337P5_003503-T1, TFCN17337P5_007084-T1	DBVPG3775_000796-T1
GF00002776	TFCN17337P5_003504-T1, TFCN17337P5_007085-T1	DBVPG3775_000797-T1
GF00002777	TFCN17337P5_003505-T1, TFCN17337P5_007086-T1	DBVPG3775_000798-T1
GF00002778	TFCN17337P5_003506-T1, TFCN17337P5_007087-T1	DBVPG3775_000799-T1
GF00002779	TFCN17337P5_003507-T1, TFCN17337P5_007088-T1	DBVPG3775_000800-T1
GF00002780	TFCN17337P5_003509-T1, TFCN17337P5_007090-T1	DBVPG3775_000802-T1
GF00002781	TFCN17337P5_003514-T1, TFCN17337P5_007092-T1	DBVPG3775_000804-T1
GF00002782	TFCN17337P5_003516-T1, TFCN17337P5_007094-T1	DBVPG3775_000806-T1
GF00002783	TFCN17337P5_003518-T1, TFCN17337P5_007098-T1	DBVPG3775_000810-T1
GF00002784	TFCN17337P5_003521-T1, TFCN17337P5_007100-T1	DBVPG3775_000812-T1
GF00002785	TFCN17337P5_003522-T1, TFCN17337P5_007101-T1	DBVPG3775_000813-T1
GF00002786	TFCN17337P5_003524-T1, TFCN17337P5_007103-T1	DBVPG3775_000815-T1
GF00002787	TFCN17337P5_003526-T1, TFCN17337P5_007105-T1	DBVPG3775_000817-T1
GF00002788	TFCN17337P5_003529-T1, TFCN17337P5_007109-T1	DBVPG3775_000821-T1
GF00002789	TFCN17337P5_003531-T1, TFCN17337P5_007111-T1	DBVPG3775_000823-T1
GF00002790	TFCN17337P5_003532-T1, TFCN17337P5_007112-T1	DBVPG3775_000824-T1
GF00002791	TFCN17337P5_003533-T1, TFCN17337P5_007113-T1	DBVPG3775_000825-T1
GF00002792	TFCN17337P5_003535-T1, TFCN17337P5_007116-T1	DBVPG3775_000827-T1
GF00002793	TFCN17337P5_003536-T1, TFCN17337P5_007117-T1	DBVPG3775_000828-T1
GF00002794	TFCN17337P5_003537-T1, TFCN17337P5_007118-T1	DBVPG3775_000829-T1
GF00002795	TFCN17337P5_003538-T1, TFCN17337P5_007119-T1	DBVPG3775_000830-T1
GF00002796	TFCN17337P5_008577-T1, TFCN17337P5_013907-T1	DBVPG3775_007511-T1
GF00002797	TFCN17337P5_003541-T1, TFCN17337P5_007122-T1	DBVPG3775_000833-T1
GF00002798	TFCN17337P5_003542-T1, TFCN17337P5_007123-T1	DBVPG3775_000834-T1
GF00002799	TFCN17337P5_003543-T1, TFCN17337P5_007124-T1	DBVPG3775_000835-T1
GF00002800	TFCN17337P5_003544-T1, TFCN17337P5_007125-T1	DBVPG3775_000836-T1
GF00002801	TFCN17337P5_003545-T1, TFCN17337P5_007126-T1	DBVPG3775_000837-T1
GF00002802	TFCN17337P5_003547-T1, TFCN17337P5_007128-T1	DBVPG3775_000839-T1
GF00002803	TFCN17337P5_003548-T1, TFCN17337P5_007129-T1	DBVPG3775_000840-T1
GF00002804	TFCN17337P5_003549-T1, TFCN17337P5_007130-T1	DBVPG3775_000841-T1
GF00002805	TFCN17337P5_003551-T1, TFCN17337P5_007132-T1	DBVPG3775_000843-T1
GF00002806	TFCN17337P5_003554-T1, TFCN17337P5_007136-T1	DBVPG3775_000846-T1
GF00002807	TFCN17337P5_003555-T1, TFCN17337P5_007137-T1	DBVPG3775_000847-T1
GF00002808	TFCN17337P5_003556-T1, TFCN17337P5_007138-T1	DBVPG3775_000848-T1
GF00002809	TFCN17337P5_003558-T1, TFCN17337P5_009647-T1	DBVPG3775_000850-T1
GF00002810	TFCN17337P5_003559-T1, TFCN17337P5_009646-T1	DBVPG3775_000851-T1
GF00002811	TFCN17337P5_003560-T1, TFCN17337P5_009645-T1	DBVPG3775_000852-T1
GF00002812	TFCN17337P5_003561-T1, TFCN17337P5_009644-T1	DBVPG3775_000853-T1
GF00002813	TFCN17337P5_003566-T1, TFCN17337P5_009639-T1	DBVPG3775_000856-T1
GF00002814	TFCN17337P5_008590-T1, TFCN17337P5_011566-T1	DBVPG3775_007223-T1
GF00002815	TFCN17337P5_003572-T1, TFCN17337P5_009635-T1	DBVPG3775_000861-T1
GF00002816	TFCN17337P5_003573-T1, TFCN17337P5_009634-T1	DBVPG3775_000862-T1
GF00002817	TFCN17337P5_003574-T1, TFCN17337P5_009633-T1	DBVPG3775_000863-T1
GF00002818	TFCN17337P5_003575-T1, TFCN17337P5_009632-T1	DBVPG3775_000864-T1
GF00002819	TFCN17337P5_003576-T1, TFCN17337P5_009631-T1	DBVPG3775_000865-T1
GF00002820	TFCN17337P5_003577-T1, TFCN17337P5_009630-T1	DBVPG3775_000866-T1
GF00002821	TFCN17337P5_003579-T1, TFCN17337P5_009628-T1	DBVPG3775_000868-T1
GF00002822	TFCN17337P5_003580-T1, TFCN17337P5_009627-T1	DBVPG3775_000869-T1
GF00002823	TFCN17337P5_008975-T1, TFCN17337P5_008137-T1	DBVPG3775_001504-T1
GF00002824	TFCN17337P5_003583-T1, TFCN17337P5_009623-T1	DBVPG3775_000873-T1
GF00002825	TFCN17337P5_003584-T1, TFCN17337P5_009622-T1	DBVPG3775_000874-T1
GF00002826	TFCN17337P5_003585-T1, TFCN17337P5_009621-T1	DBVPG3775_000875-T1
GF00002827	TFCN17337P5_003587-T1, TFCN17337P5_009619-T1	DBVPG3775_000877-T1
GF00002828	TFCN17337P5_003589-T1, TFCN17337P5_009617-T1	DBVPG3775_000879-T1
GF00002829	TFCN17337P5_003590-T1, TFCN17337P5_009616-T1	DBVPG3775_000880-T1
GF00002830	TFCN17337P5_003592-T1, TFCN17337P5_009614-T1	DBVPG3775_000882-T1
GF00002831	TFCN17337P5_003593-T1, TFCN17337P5_009613-T1	DBVPG3775_000883-T1
GF00002832	TFCN17337P5_003594-T1, TFCN17337P5_009612-T1	DBVPG3775_000884-T1
GF00002833	TFCN17337P5_003595-T1, TFCN17337P5_009611-T1	DBVPG3775_000885-T1
GF00002834	TFCN17337P5_003596-T1, TFCN17337P5_009609-T1	DBVPG3775_000887-T1
GF00002835	TFCN17337P5_003597-T1, TFCN17337P5_009608-T1	DBVPG3775_000888-T1
GF00002836	TFCN17337P5_003598-T1, TFCN17337P5_009607-T1	DBVPG3775_000889-T1
GF00002837	TFCN17337P5_003599-T1, TFCN17337P5_009606-T1	DBVPG3775_000890-T1
GF00002838	TFCN17337P5_003602-T1, TFCN17337P5_012796-T1	DBVPG3775_001886-T1
GF00002839	TFCN17337P5_003603-T1, TFCN17337P5_012797-T1	DBVPG3775_001885-T1
GF00002840	TFCN17337P5_003604-T1, TFCN17337P5_012798-T1	DBVPG3775_001884-T1
GF00002841	TFCN17337P5_003605-T1, TFCN17337P5_012799-T1	DBVPG3775_001883-T1
GF00002842	TFCN17337P5_003606-T1, TFCN17337P5_012800-T1	DBVPG3775_001882-T1
GF00002843	TFCN17337P5_003609-T1, TFCN17337P5_012803-T1	DBVPG3775_001879-T1
GF00002844	TFCN17337P5_003610-T1, TFCN17337P5_012804-T1	DBVPG3775_001878-T1
GF00002845	TFCN17337P5_003611-T1, TFCN17337P5_012805-T1	DBVPG3775_001877-T1
GF00002846	TFCN17337P5_003612-T1, TFCN17337P5_012806-T1	DBVPG3775_001876-T1
GF00002847	TFCN17337P5_003613-T1, TFCN17337P5_012807-T1	DBVPG3775_001875-T1
GF00002848	TFCN17337P5_003614-T1, TFCN17337P5_012808-T1	DBVPG3775_001874-T1
GF00002849	TFCN17337P5_003617-T1, TFCN17337P5_012445-T1	DBVPG3775_001871-T1
GF00002850	TFCN17337P5_003618-T1, TFCN17337P5_012446-T1	DBVPG3775_001870-T1
GF00002851	TFCN17337P5_003619-T1, TFCN17337P5_012447-T1	DBVPG3775_001869-T1
GF00002852	TFCN17337P5_003620-T1, TFCN17337P5_012448-T1	DBVPG3775_001868-T1
GF00002853	TFCN17337P5_003621-T1, TFCN17337P5_012449-T1	DBVPG3775_001867-T1
GF00002854	TFCN17337P5_003623-T1, TFCN17337P5_012450-T1	DBVPG3775_001865-T1
GF00002855	TFCN17337P5_003624-T1, TFCN17337P5_012451-T1	DBVPG3775_001864-T1
GF00002856	TFCN17337P5_003625-T1, TFCN17337P5_012452-T1	DBVPG3775_001863-T1
GF00002857	TFCN17337P5_003626-T1, TFCN17337P5_012453-T1	DBVPG3775_001862-T1
GF00002858	TFCN17337P5_003627-T1, TFCN17337P5_012454-T1	DBVPG3775_001861-T1
GF00002859	TFCN17337P5_003628-T1, TFCN17337P5_012455-T1	DBVPG3775_001859-T1
GF00002860	TFCN17337P5_003629-T1, TFCN17337P5_012456-T1	DBVPG3775_001858-T1
GF00002861	TFCN17337P5_003630-T1, TFCN17337P5_012457-T1	DBVPG3775_001857-T1
GF00002862	TFCN17337P5_003631-T1, TFCN17337P5_012458-T1	DBVPG3775_001856-T1
GF00002863	TFCN17337P5_003637-T1, TFCN17337P5_012463-T1	DBVPG3775_001850-T1
GF00002864	TFCN17337P5_003638-T1, TFCN17337P5_012464-T1	DBVPG3775_001849-T1
GF00002865	TFCN17337P5_003639-T1, TFCN17337P5_012465-T1	DBVPG3775_001848-T1
GF00002866	TFCN17337P5_003643-T1, TFCN17337P5_013406-T1	DBVPG3775_001844-T1
GF00002867	TFCN17337P5_003645-T1, TFCN17337P5_013404-T1	DBVPG3775_001842-T1
GF00002868	TFCN17337P5_003646-T1, TFCN17337P5_013403-T1	DBVPG3775_001841-T1
GF00002869	TFCN17337P5_003647-T1, TFCN17337P5_013402-T1	DBVPG3775_001840-T1
GF00002870	TFCN17337P5_003653-T1, TFCN17337P5_013410-T1	DBVPG3775_001833-T1
GF00002871	TFCN17337P5_003656-T1, TFCN17337P5_013413-T1	DBVPG3775_001829-T1
GF00002872	TFCN17337P5_003661-T1, TFCN17337P5_008013-T1	DBVPG3775_001824-T1
GF00002873	TFCN17337P5_003662-T1, TFCN17337P5_008014-T1	DBVPG3775_001823-T1
GF00002874	TFCN17337P5_005701-T1, TFCN17337P5_008637-T1	DBVPG3775_006815-T1
GF00002875	TFCN17337P5_003664-T1, TFCN17337P5_008016-T1	DBVPG3775_001821-T1
GF00002876	TFCN17337P5_003665-T1, TFCN17337P5_008017-T1	DBVPG3775_001820-T1
GF00002877	TFCN17337P5_003666-T1, TFCN17337P5_008018-T1	DBVPG3775_001819-T1
GF00002878	TFCN17337P5_003669-T1, TFCN17337P5_008021-T1	DBVPG3775_001816-T1
GF00002879	TFCN17337P5_003670-T1, TFCN17337P5_008022-T1	DBVPG3775_001815-T1
GF00002880	TFCN17337P5_003673-T1, TFCN17337P5_008025-T1	DBVPG3775_001812-T1
GF00002881	TFCN17337P5_003674-T1, TFCN17337P5_008026-T1	DBVPG3775_001811-T1
GF00002882	TFCN17337P5_003676-T1, TFCN17337P5_008028-T1	DBVPG3775_001809-T1
GF00002883	TFCN17337P5_003677-T1, TFCN17337P5_008029-T1	DBVPG3775_001808-T1
GF00002884	TFCN17337P5_003678-T1, TFCN17337P5_008030-T1	DBVPG3775_001807-T1
GF00002885	TFCN17337P5_003680-T1, TFCN17337P5_008032-T1	DBVPG3775_001805-T1
GF00002886	TFCN17337P5_003682-T1, TFCN17337P5_008034-T1	DBVPG3775_001803-T1
GF00002887	TFCN17337P5_003683-T1, TFCN17337P5_008035-T1	DBVPG3775_001802-T1
GF00002888	TFCN17337P5_003685-T1, TFCN17337P5_008037-T1	DBVPG3775_001800-T1
GF00002889	TFCN17337P5_003691-T1, TFCN17337P5_008042-T1	DBVPG3775_001794-T1
GF00002890	TFCN17337P5_003693-T1, TFCN17337P5_008044-T1	DBVPG3775_001791-T1
GF00002891	TFCN17337P5_003695-T1, TFCN17337P5_008045-T1	DBVPG3775_001790-T1
GF00002892	TFCN17337P5_003696-T1, TFCN17337P5_008046-T1	DBVPG3775_001789-T1
GF00002893	TFCN17337P5_003697-T1, TFCN17337P5_008047-T1	DBVPG3775_001788-T1
GF00002894	TFCN17337P5_003698-T1, TFCN17337P5_008048-T1	DBVPG3775_001787-T1
GF00002895	TFCN17337P5_003699-T1, TFCN17337P5_008049-T1	DBVPG3775_001786-T1
GF00002896	TFCN17337P5_003700-T1, TFCN17337P5_008050-T1	DBVPG3775_001784-T1
GF00002897	TFCN17337P5_003702-T1, TFCN17337P5_008052-T1	DBVPG3775_001782-T1
GF00002898	TFCN17337P5_003703-T1, TFCN17337P5_008053-T1	DBVPG3775_001781-T1
GF00002899	TFCN17337P5_003704-T1, TFCN17337P5_008054-T1	DBVPG3775_001780-T1
GF00002900	TFCN17337P5_003705-T1, TFCN17337P5_008055-T1	DBVPG3775_001779-T1
GF00002901	TFCN17337P5_003706-T1, TFCN17337P5_008056-T1	DBVPG3775_001778-T1
GF00002902	TFCN17337P5_003707-T1, TFCN17337P5_008057-T1	DBVPG3775_001777-T1
GF00002903	TFCN17337P5_003708-T1, TFCN17337P5_008058-T1	DBVPG3775_001776-T1
GF00002904	TFCN17337P5_003709-T1, TFCN17337P5_008059-T1	DBVPG3775_001775-T1
GF00002905	TFCN17337P5_003710-T1, TFCN17337P5_008060-T1	DBVPG3775_001774-T1
GF00002906	TFCN17337P5_003713-T1, TFCN17337P5_014538-T1	DBVPG3775_001771-T1
GF00002907	TFCN17337P5_003714-T1, TFCN17337P5_014539-T1	DBVPG3775_001770-T1
GF00002908	TFCN17337P5_003715-T1, TFCN17337P5_014540-T1	DBVPG3775_001769-T1
GF00002909	TFCN17337P5_003716-T1, TFCN17337P5_014541-T1	DBVPG3775_001768-T1
GF00002910	TFCN17337P5_003845-T1, TFCN17337P5_005127-T1	DBVPG3775_003049-T1
GF00002911	TFCN17337P5_003846-T1, TFCN17337P5_005126-T1	DBVPG3775_003050-T1
GF00002912	TFCN17337P5_003848-T1, TFCN17337P5_005121-T1	DBVPG3775_003052-T1
GF00002913	TFCN17337P5_003849-T1, TFCN17337P5_005120-T1	DBVPG3775_003053-T1
GF00002914	TFCN17337P5_003850-T1, TFCN17337P5_005119-T1	DBVPG3775_003054-T1
GF00002915	TFCN17337P5_003851-T1, TFCN17337P5_005118-T1	DBVPG3775_003055-T1
GF00002916	TFCN17337P5_003852-T1, TFCN17337P5_005117-T1	DBVPG3775_003056-T1
GF00002917	TFCN17337P5_003853-T1, TFCN17337P5_005116-T1	DBVPG3775_003057-T1
GF00002918	TFCN17337P5_003854-T1, TFCN17337P5_005115-T1	DBVPG3775_003058-T1
GF00002919	TFCN17337P5_003855-T1, TFCN17337P5_005114-T1	DBVPG3775_003059-T1
GF00002920	TFCN17337P5_003856-T1, TFCN17337P5_005113-T1	DBVPG3775_003060-T1
GF00002921	TFCN17337P5_003857-T1, TFCN17337P5_005112-T1	DBVPG3775_003061-T1
GF00002922	TFCN17337P5_003859-T1, TFCN17337P5_005111-T1	DBVPG3775_003063-T1
GF00002923	TFCN17337P5_010857-T1, TFCN17337P5_011085-T1	DBVPG3775_001891-T1
GF00002924	TFCN17337P5_003863-T1, TFCN17337P5_005107-T1	DBVPG3775_003067-T1
GF00002925	TFCN17337P5_003864-T1, TFCN17337P5_005106-T1	DBVPG3775_003068-T1
GF00002926	TFCN17337P5_003865-T1, TFCN17337P5_005105-T1	DBVPG3775_003069-T1
GF00002927	TFCN17337P5_003866-T1, TFCN17337P5_005104-T1	DBVPG3775_003070-T1
GF00002928	TFCN17337P5_003868-T1, TFCN17337P5_005102-T1	DBVPG3775_003072-T1
GF00002929	TFCN17337P5_003869-T1, TFCN17337P5_005101-T1	DBVPG3775_003073-T1
GF00002930	TFCN17337P5_003870-T1, TFCN17337P5_005099-T1	DBVPG3775_003074-T1
GF00002931	TFCN17337P5_003874-T1, TFCN17337P5_005093-T1	DBVPG3775_003079-T1
GF00002932	TFCN17337P5_008529-T1, TFCN17337P5_013464-T1	DBVPG3775_002542-T1
GF00002933	TFCN17337P5_012771-T1, TFCN17337P5_005977-T1	DBVPG3775_003668-T1
GF00002934	TFCN17337P5_003877-T1, TFCN17337P5_005089-T1	DBVPG3775_003082-T1
GF00002935	TFCN17337P5_003878-T1, TFCN17337P5_005088-T1	DBVPG3775_003083-T1
GF00002936	TFCN17337P5_003880-T1, TFCN17337P5_005086-T1	DBVPG3775_003085-T1
GF00002937	TFCN17337P5_003881-T1, TFCN17337P5_005085-T1	DBVPG3775_003086-T1
GF00002938	TFCN17337P5_003883-T1, TFCN17337P5_005083-T1	DBVPG3775_003088-T1
GF00002939	TFCN17337P5_003884-T1, TFCN17337P5_005082-T1	DBVPG3775_003089-T1
GF00002940	TFCN17337P5_003886-T1, TFCN17337P5_005080-T1	DBVPG3775_003091-T1
GF00002941	TFCN17337P5_003887-T1, TFCN17337P5_005079-T1	DBVPG3775_003092-T1
GF00002942	TFCN17337P5_003888-T1, TFCN17337P5_005078-T1	DBVPG3775_003093-T1
GF00002943	TFCN17337P5_003890-T1, TFCN17337P5_005077-T1	DBVPG3775_003094-T1
GF00002944	TFCN17337P5_003893-T1, TFCN17337P5_005074-T1	DBVPG3775_003097-T1
GF00002945	TFCN17337P5_003895-T1, TFCN17337P5_005072-T1	DBVPG3775_003099-T1
GF00002946	TFCN17337P5_003897-T1, TFCN17337P5_005070-T1	DBVPG3775_003101-T1
GF00002947	TFCN17337P5_003898-T1, TFCN17337P5_005069-T1	DBVPG3775_003102-T1
GF00002948	TFCN17337P5_003899-T1, TFCN17337P5_005068-T1	DBVPG3775_003103-T1
GF00002949	TFCN17337P5_003902-T1, TFCN17337P5_005066-T1	DBVPG3775_003106-T1
GF00002950	TFCN17337P5_003905-T1, TFCN17337P5_005063-T1	DBVPG3775_003109-T1
GF00002951	TFCN17337P5_003906-T1, TFCN17337P5_005062-T1	DBVPG3775_003110-T1
GF00002952	TFCN17337P5_003907-T1, TFCN17337P5_005061-T1	DBVPG3775_003111-T1
GF00002953	TFCN17337P5_003911-T1, TFCN17337P5_005057-T1	DBVPG3775_003116-T1
GF00002954	TFCN17337P5_003912-T1, TFCN17337P5_005056-T1	DBVPG3775_003117-T1
GF00002955	TFCN17337P5_003913-T1, TFCN17337P5_005055-T1	DBVPG3775_003118-T1
