	Rhodotorula_mucilaginosa_CHIFNET_13H1268.cds.fa
GF00002382	CHIFNET13H1268_000246-T1, CHIFNET13H1268_007354-T1
GF00002383	CHIFNET13H1268_003528-T1, CHIFNET13H1268_002231-T1
GF00002384	CHIFNET13H1268_003252-T1, CHIFNET13H1268_005382-T1
GF00002385	CHIFNET13H1268_009928-T1, CHIFNET13H1268_009840-T1
GF00002386	CHIFNET13H1268_006052-T1, CHIFNET13H1268_012786-T1
GF00002387	CHIFNET13H1268_011421-T1, CHIFNET13H1268_001236-T1
GF00002388	CHIFNET13H1268_007702-T1, CHIFNET13H1268_006475-T1
GF00002389	CHIFNET13H1268_014421-T1, CHIFNET13H1268_014497-T1
GF00002390	CHIFNET13H1268_012090-T1, CHIFNET13H1268_007759-T1
GF00002391	CHIFNET13H1268_008696-T1, CHIFNET13H1268_003957-T1
GF00002392	CHIFNET13H1268_000841-T1, CHIFNET13H1268_003147-T1
GF00002393	CHIFNET13H1268_013528-T1, CHIFNET13H1268_004721-T1
GF00002394	CHIFNET13H1268_008606-T1, CHIFNET13H1268_004858-T1
GF00002395	CHIFNET13H1268_000530-T1, CHIFNET13H1268_010990-T1
GF00002396	CHIFNET13H1268_004234-T1, CHIFNET13H1268_008886-T1
GF00002397	CHIFNET13H1268_014444-T1, CHIFNET13H1268_010206-T1
GF00002398	CHIFNET13H1268_002763-T1, CHIFNET13H1268_006303-T1
GF00002399	CHIFNET13H1268_003137-T1, CHIFNET13H1268_000851-T1
GF00002400	CHIFNET13H1268_007621-T1, CHIFNET13H1268_007423-T1
GF00002401	CHIFNET13H1268_006510-T1, CHIFNET13H1268_014162-T1
GF00002402	CHIFNET13H1268_001777-T1, CHIFNET13H1268_001335-T1
GF00002403	CHIFNET13H1268_010902-T1, CHIFNET13H1268_007964-T1
GF00002404	CHIFNET13H1268_012828-T1, CHIFNET13H1268_013171-T1
GF00002405	CHIFNET13H1268_012661-T1, CHIFNET13H1268_004909-T1
GF00002406	CHIFNET13H1268_002283-T1, CHIFNET13H1268_003481-T1
GF00002407	CHIFNET13H1268_008238-T1, CHIFNET13H1268_014193-T1
GF00002408	CHIFNET13H1268_007212-T1, CHIFNET13H1268_013601-T1
GF00002409	CHIFNET13H1268_000567-T1, CHIFNET13H1268_008330-T1
GF00002410	CHIFNET13H1268_004842-T1, CHIFNET13H1268_008623-T1
GF00002411	CHIFNET13H1268_013989-T1, CHIFNET13H1268_001263-T1
GF00002412	CHIFNET13H1268_008805-T1, CHIFNET13H1268_009008-T1
GF00002413	CHIFNET13H1268_010870-T1, CHIFNET13H1268_007935-T1
GF00002414	CHIFNET13H1268_013357-T1, CHIFNET13H1268_014369-T1
GF00002415	CHIFNET13H1268_010998-T1, CHIFNET13H1268_014028-T1
GF00002416	CHIFNET13H1268_004822-T1, CHIFNET13H1268_013862-T1
GF00002417	CHIFNET13H1268_007963-T1, CHIFNET13H1268_010901-T1
GF00002418	CHIFNET13H1268_010138-T1, CHIFNET13H1268_011754-T1
GF00002419	CHIFNET13H1268_009681-T1, CHIFNET13H1268_008213-T1
GF00002420	CHIFNET13H1268_010718-T1, CHIFNET13H1268_010604-T1
GF00002421	CHIFNET13H1268_012415-T1, CHIFNET13H1268_006098-T1
GF00002422	CHIFNET13H1268_013619-T1, CHIFNET13H1268_003169-T1
GF00002423	CHIFNET13H1268_009213-T1, CHIFNET13H1268_010510-T1
GF00002424	CHIFNET13H1268_005826-T1, CHIFNET13H1268_006951-T1
GF00002425	CHIFNET13H1268_008041-T1, CHIFNET13H1268_014737-T1
GF00002426	CHIFNET13H1268_003215-T1, CHIFNET13H1268_005344-T1
GF00002427	CHIFNET13H1268_000541-T1, CHIFNET13H1268_008304-T1
GF00002428	CHIFNET13H1268_013361-T1, CHIFNET13H1268_014365-T1
GF00002429	CHIFNET13H1268_006887-T1, CHIFNET13H1268_013796-T1
GF00002430	CHIFNET13H1268_005536-T1, CHIFNET13H1268_010469-T1
GF00002431	CHIFNET13H1268_010688-T1, CHIFNET13H1268_010841-T1
GF00002432	CHIFNET13H1268_000639-T1, CHIFNET13H1268_007006-T1
GF00002433	CHIFNET13H1268_011813-T1, CHIFNET13H1268_012890-T1
GF00002434	CHIFNET13H1268_000066-T1, CHIFNET13H1268_004204-T1
GF00002435	CHIFNET13H1268_013554-T1, CHIFNET13H1268_013789-T1
GF00002436	CHIFNET13H1268_002699-T1, CHIFNET13H1268_006258-T1
GF00002437	CHIFNET13H1268_007350-T1, CHIFNET13H1268_000242-T1
GF00002438	CHIFNET13H1268_004510-T1, CHIFNET13H1268_006799-T1
GF00002439	CHIFNET13H1268_014492-T1, CHIFNET13H1268_014426-T1
GF00002440	CHIFNET13H1268_006507-T1, CHIFNET13H1268_014158-T1
GF00002441	CHIFNET13H1268_002218-T1, CHIFNET13H1268_003542-T1
GF00002442	CHIFNET13H1268_008381-T1, CHIFNET13H1268_012513-T1
GF00002443	CHIFNET13H1268_008785-T1, CHIFNET13H1268_008987-T1
GF00002444	CHIFNET13H1268_012132-T1, CHIFNET13H1268_009306-T1
GF00002445	CHIFNET13H1268_008325-T1, CHIFNET13H1268_000562-T1
GF00002446	CHIFNET13H1268_008914-T1, CHIFNET13H1268_011856-T1
GF00002447	CHIFNET13H1268_012530-T1, CHIFNET13H1268_003939-T1
GF00002448	CHIFNET13H1268_012453-T1, CHIFNET13H1268_004326-T1
GF00002449	CHIFNET13H1268_003498-T1, CHIFNET13H1268_002264-T1
GF00002450	CHIFNET13H1268_001725-T1, CHIFNET13H1268_001282-T1
GF00002451	CHIFNET13H1268_010971-T1, CHIFNET13H1268_000512-T1
GF00002452	CHIFNET13H1268_006992-T1, CHIFNET13H1268_000626-T1
GF00002453	CHIFNET13H1268_001073-T1, CHIFNET13H1268_008744-T1
GF00002454	CHIFNET13H1268_012558-T1, CHIFNET13H1268_001597-T1
GF00002455	CHIFNET13H1268_010478-T1, CHIFNET13H1268_005546-T1
GF00002456	CHIFNET13H1268_003277-T1, CHIFNET13H1268_005318-T1
GF00002457	CHIFNET13H1268_008983-T1, CHIFNET13H1268_008781-T1
GF00002458	CHIFNET13H1268_000026-T1, CHIFNET13H1268_007578-T1
GF00002459	CHIFNET13H1268_005092-T1, CHIFNET13H1268_005761-T1
GF00002460	CHIFNET13H1268_011709-T1, CHIFNET13H1268_002483-T1
GF00002461	CHIFNET13H1268_011945-T1, CHIFNET13H1268_006524-T1
GF00002462	CHIFNET13H1268_006499-T1, CHIFNET13H1268_013540-T1
GF00002463	CHIFNET13H1268_012362-T1, CHIFNET13H1268_012309-T1
GF00002464	CHIFNET13H1268_010040-T1, CHIFNET13H1268_003456-T1
GF00002465	CHIFNET13H1268_013151-T1, CHIFNET13H1268_012853-T1
GF00002466	CHIFNET13H1268_005644-T1, CHIFNET13H1268_004776-T1
GF00002467	CHIFNET13H1268_006234-T1, CHIFNET13H1268_002204-T1
GF00002468	CHIFNET13H1268_008971-T1, CHIFNET13H1268_008768-T1
GF00002469	CHIFNET13H1268_008348-T1, CHIFNET13H1268_000584-T1
GF00002470	CHIFNET13H1268_012521-T1, CHIFNET13H1268_003947-T1
GF00002471	CHIFNET13H1268_012933-T1, CHIFNET13H1268_005591-T1
GF00002472	CHIFNET13H1268_013021-T1, CHIFNET13H1268_013405-T1
GF00002473	CHIFNET13H1268_006548-T1, CHIFNET13H1268_012282-T1
GF00002474	CHIFNET13H1268_009217-T1, CHIFNET13H1268_010507-T1
GF00002475	CHIFNET13H1268_014893-T1, CHIFNET13H1268_005884-T1
GF00002476	CHIFNET13H1268_010603-T1, CHIFNET13H1268_010719-T1
GF00002477	CHIFNET13H1268_014650-T1, CHIFNET13H1268_014131-T1
GF00002478	CHIFNET13H1268_009706-T1, CHIFNET13H1268_002100-T1
GF00002479	CHIFNET13H1268_005695-T1, CHIFNET13H1268_004725-T1
GF00002480	CHIFNET13H1268_012575-T1, CHIFNET13H1268_008962-T1
GF00002481	CHIFNET13H1268_011416-T1, CHIFNET13H1268_001242-T1
GF00002482	CHIFNET13H1268_009182-T1, CHIFNET13H1268_010538-T1
GF00002483	CHIFNET13H1268_004232-T1, CHIFNET13H1268_008884-T1
GF00002484	CHIFNET13H1268_008979-T1, CHIFNET13H1268_008777-T1
GF00002485	CHIFNET13H1268_011838-T1, CHIFNET13H1268_008933-T1
GF00002486	CHIFNET13H1268_006842-T1, CHIFNET13H1268_004304-T1
GF00002487	CHIFNET13H1268_008033-T1, CHIFNET13H1268_011184-T1
GF00002488	CHIFNET13H1268_009163-T1, CHIFNET13H1268_006721-T1
GF00002489	CHIFNET13H1268_003883-T1, CHIFNET13H1268_010294-T1
GF00002490	CHIFNET13H1268_010071-T1, CHIFNET13H1268_005494-T1
GF00002491	CHIFNET13H1268_000828-T1, CHIFNET13H1268_010458-T1
GF00002492	CHIFNET13H1268_003342-T1, CHIFNET13H1268_002375-T1
GF00002493	CHIFNET13H1268_004574-T1, CHIFNET13H1268_006731-T1
GF00002494	CHIFNET13H1268_002730-T1, CHIFNET13H1268_006278-T1
GF00002495	CHIFNET13H1268_011091-T1, CHIFNET13H1268_012608-T1
GF00002496	CHIFNET13H1268_010886-T1, CHIFNET13H1268_007950-T1
GF00002497	CHIFNET13H1268_008901-T1, CHIFNET13H1268_004268-T1
GF00002498	CHIFNET13H1268_008018-T1, CHIFNET13H1268_011200-T1
GF00002499	CHIFNET13H1268_000832-T1, CHIFNET13H1268_010462-T1
GF00002500	CHIFNET13H1268_000796-T1, CHIFNET13H1268_010426-T1
GF00002501	CHIFNET13H1268_009139-T1, CHIFNET13H1268_006699-T1
GF00002502	CHIFNET13H1268_010247-T1, CHIFNET13H1268_002809-T1
GF00002503	CHIFNET13H1268_008807-T1, CHIFNET13H1268_009010-T1
GF00002504	CHIFNET13H1268_011293-T1, CHIFNET13H1268_008406-T1
GF00002505	CHIFNET13H1268_011106-T1, CHIFNET13H1268_010006-T1
GF00002506	CHIFNET13H1268_010541-T1, CHIFNET13H1268_009179-T1
GF00002507	CHIFNET13H1268_002801-T1, CHIFNET13H1268_013460-T1
GF00002508	CHIFNET13H1268_002061-T1, CHIFNET13H1268_009869-T1
GF00002509	CHIFNET13H1268_003198-T1, CHIFNET13H1268_005330-T1
GF00002510	CHIFNET13H1268_009252-T1, CHIFNET13H1268_001668-T1
GF00002511	CHIFNET13H1268_003508-T1, CHIFNET13H1268_002253-T1
GF00002512	CHIFNET13H1268_011207-T1, CHIFNET13H1268_008010-T1
GF00002513	CHIFNET13H1268_010477-T1, CHIFNET13H1268_005545-T1
GF00002514	CHIFNET13H1268_010082-T1, CHIFNET13H1268_005484-T1
GF00002515	CHIFNET13H1268_009690-T1, CHIFNET13H1268_008224-T1
GF00002516	CHIFNET13H1268_008136-T1, CHIFNET13H1268_009092-T1
GF00002517	CHIFNET13H1268_014498-T1, CHIFNET13H1268_014420-T1
GF00002518	CHIFNET13H1268_006228-T1, CHIFNET13H1268_002198-T1
GF00002519	CHIFNET13H1268_002584-T1, CHIFNET13H1268_011178-T1
GF00002520	CHIFNET13H1268_006826-T1, CHIFNET13H1268_004290-T1
GF00002521	CHIFNET13H1268_013996-T1, CHIFNET13H1268_001269-T1
GF00002522	CHIFNET13H1268_008485-T1, CHIFNET13H1268_013309-T1
GF00002523	CHIFNET13H1268_008216-T1, CHIFNET13H1268_009684-T1
GF00002524	CHIFNET13H1268_010038-T1, CHIFNET13H1268_003454-T1
GF00002525	CHIFNET13H1268_013178-T1, CHIFNET13H1268_013730-T1
GF00002526	CHIFNET13H1268_010741-T1, CHIFNET13H1268_010581-T1
GF00002527	CHIFNET13H1268_012120-T1, CHIFNET13H1268_004402-T1
GF00002528	CHIFNET13H1268_010389-T1, CHIFNET13H1268_007836-T1
GF00002529	CHIFNET13H1268_003364-T1, CHIFNET13H1268_002352-T1
GF00002530	CHIFNET13H1268_003505-T1, CHIFNET13H1268_002255-T1
GF00002531	CHIFNET13H1268_012527-T1, CHIFNET13H1268_003942-T1
GF00002532	CHIFNET13H1268_000604-T1, CHIFNET13H1268_006974-T1
GF00002533	CHIFNET13H1268_008415-T1, CHIFNET13H1268_005006-T1
GF00002534	CHIFNET13H1268_000202-T1, CHIFNET13H1268_010359-T1
GF00002535	CHIFNET13H1268_006211-T1, CHIFNET13H1268_002181-T1
GF00002536	CHIFNET13H1268_012215-T1, CHIFNET13H1268_001560-T1
GF00002537	CHIFNET13H1268_004472-T1, CHIFNET13H1268_006348-T1
GF00002538	CHIFNET13H1268_006274-T1, CHIFNET13H1268_002734-T1
GF00002539	CHIFNET13H1268_011731-T1, CHIFNET13H1268_002505-T1
GF00002540	CHIFNET13H1268_007306-T1, CHIFNET13H1268_011274-T1
GF00002541	CHIFNET13H1268_005847-T1, CHIFNET13H1268_011253-T1
GF00002542	CHIFNET13H1268_013258-T1, CHIFNET13H1268_006666-T1
GF00002543	CHIFNET13H1268_007147-T1, CHIFNET13H1268_012424-T1
GF00002544	CHIFNET13H1268_003603-T1, CHIFNET13H1268_000285-T1
GF00002545	CHIFNET13H1268_001589-T1, CHIFNET13H1268_012566-T1
GF00002546	CHIFNET13H1268_013013-T1, CHIFNET13H1268_013931-T1
GF00002547	CHIFNET13H1268_001357-T1, CHIFNET13H1268_001802-T1
GF00002548	CHIFNET13H1268_011863-T1, CHIFNET13H1268_001105-T1
GF00002549	CHIFNET13H1268_001835-T1, CHIFNET13H1268_001387-T1
GF00002550	CHIFNET13H1268_006594-T1, CHIFNET13H1268_000119-T1
GF00002551	CHIFNET13H1268_006357-T1, CHIFNET13H1268_004477-T1
GF00002552	CHIFNET13H1268_009516-T1, CHIFNET13H1268_002869-T1
GF00002553	CHIFNET13H1268_012319-T1, CHIFNET13H1268_012352-T1
GF00002554	CHIFNET13H1268_001679-T1, CHIFNET13H1268_009261-T1
GF00002555	CHIFNET13H1268_010428-T1, CHIFNET13H1268_000798-T1
GF00002556	CHIFNET13H1268_013090-T1, CHIFNET13H1268_007376-T1
GF00002557	CHIFNET13H1268_013213-T1, CHIFNET13H1268_009424-T1
GF00002558	CHIFNET13H1268_011992-T1, CHIFNET13H1268_011389-T1
GF00002559	CHIFNET13H1268_011903-T1, CHIFNET13H1268_012053-T1
GF00002560	CHIFNET13H1268_003909-T1, CHIFNET13H1268_010268-T1
GF00002561	CHIFNET13H1268_002360-T1, CHIFNET13H1268_003360-T1
GF00002562	CHIFNET13H1268_005567-T1, CHIFNET13H1268_010499-T1
GF00002563	CHIFNET13H1268_012308-T1, CHIFNET13H1268_012363-T1
GF00002564	CHIFNET13H1268_003180-T1, CHIFNET13H1268_005412-T1
GF00002565	CHIFNET13H1268_000186-T1, CHIFNET13H1268_006648-T1
GF00002566	CHIFNET13H1268_009499-T1, CHIFNET13H1268_002889-T1
GF00002567	CHIFNET13H1268_006783-T1, CHIFNET13H1268_004523-T1
GF00002568	CHIFNET13H1268_012750-T1, CHIFNET13H1268_010771-T1
GF00002569	CHIFNET13H1268_004509-T1, CHIFNET13H1268_006800-T1
GF00002570	CHIFNET13H1268_010073-T1, CHIFNET13H1268_005492-T1
GF00002571	CHIFNET13H1268_008984-T1, CHIFNET13H1268_008782-T1
GF00002572	CHIFNET13H1268_000546-T1, CHIFNET13H1268_008309-T1
GF00002573	CHIFNET13H1268_005024-T1, CHIFNET13H1268_008825-T1
GF00002574	CHIFNET13H1268_003576-T1, CHIFNET13H1268_014007-T1
GF00002575	CHIFNET13H1268_010418-T1, CHIFNET13H1268_007807-T1
GF00002576	CHIFNET13H1268_000237-T1, CHIFNET13H1268_007344-T1
GF00002577	CHIFNET13H1268_012541-T1, CHIFNET13H1268_001614-T1
GF00002578	CHIFNET13H1268_001859-T1, CHIFNET13H1268_014142-T1
GF00002579	CHIFNET13H1268_013815-T1, CHIFNET13H1268_013964-T1
GF00002580	CHIFNET13H1268_004184-T1, CHIFNET13H1268_000047-T1
GF00002581	CHIFNET13H1268_003079-T1, CHIFNET13H1268_010136-T1
GF00002582	CHIFNET13H1268_002844-T1, CHIFNET13H1268_009539-T1
GF00002583	CHIFNET13H1268_008706-T1, CHIFNET13H1268_007547-T1
GF00002584	CHIFNET13H1268_013116-T1, CHIFNET13H1268_013241-T1
GF00002585	CHIFNET13H1268_007011-T1, CHIFNET13H1268_000644-T1
GF00002586	CHIFNET13H1268_009428-T1, CHIFNET13H1268_013217-T1
GF00002587	CHIFNET13H1268_009834-T1, CHIFNET13H1268_009923-T1
GF00002588	CHIFNET13H1268_011142-T1, CHIFNET13H1268_002627-T1
GF00002589	CHIFNET13H1268_013229-T1, CHIFNET13H1268_009439-T1
GF00002590	CHIFNET13H1268_007389-T1, CHIFNET13H1268_013105-T1
GF00002591	CHIFNET13H1268_006621-T1, CHIFNET13H1268_000159-T1
GF00002592	CHIFNET13H1268_011094-T1, CHIFNET13H1268_012604-T1
GF00002593	CHIFNET13H1268_008713-T1, CHIFNET13H1268_007539-T1
GF00002594	CHIFNET13H1268_004393-T1, CHIFNET13H1268_012111-T1
GF00002595	CHIFNET13H1268_012439-T1, CHIFNET13H1268_007132-T1
GF00002596	CHIFNET13H1268_000553-T1, CHIFNET13H1268_008316-T1
GF00002597	CHIFNET13H1268_012511-T1, CHIFNET13H1268_008379-T1
GF00002598	CHIFNET13H1268_012666-T1, CHIFNET13H1268_004904-T1
GF00002599	CHIFNET13H1268_003491-T1, CHIFNET13H1268_002271-T1
GF00002600	CHIFNET13H1268_001202-T1, CHIFNET13H1268_010558-T1
GF00002601	CHIFNET13H1268_004443-T1, CHIFNET13H1268_006383-T1
GF00002602	CHIFNET13H1268_013561-T1, CHIFNET13H1268_013653-T1
GF00002603	CHIFNET13H1268_004549-T1, CHIFNET13H1268_006756-T1
GF00002604	CHIFNET13H1268_013338-T1, CHIFNET13H1268_004643-T1
GF00002605	CHIFNET13H1268_004084-T1, CHIFNET13H1268_011366-T1
GF00002606	CHIFNET13H1268_002193-T1, CHIFNET13H1268_006223-T1
GF00002607	CHIFNET13H1268_009511-T1, CHIFNET13H1268_002874-T1
GF00002608	CHIFNET13H1268_006118-T1, CHIFNET13H1268_012396-T1
GF00002609	CHIFNET13H1268_012712-T1, CHIFNET13H1268_011597-T1
GF00002610	CHIFNET13H1268_010101-T1, CHIFNET13H1268_005465-T1
GF00002611	CHIFNET13H1268_004098-T1, CHIFNET13H1268_011380-T1
GF00002612	CHIFNET13H1268_012866-T1, CHIFNET13H1268_005521-T1
GF00002613	CHIFNET13H1268_010319-T1, CHIFNET13H1268_007494-T1
GF00002614	CHIFNET13H1268_006828-T1, CHIFNET13H1268_004292-T1
GF00002615	CHIFNET13H1268_014208-T1, CHIFNET13H1268_011559-T1
GF00002616	CHIFNET13H1268_000868-T1, CHIFNET13H1268_003120-T1
GF00002617	CHIFNET13H1268_005797-T1, CHIFNET13H1268_013145-T1
GF00002618	CHIFNET13H1268_007713-T1, CHIFNET13H1268_006485-T1
GF00002619	CHIFNET13H1268_002405-T1, CHIFNET13H1268_003312-T1
GF00002620	CHIFNET13H1268_007524-T1, CHIFNET13H1268_008728-T1
GF00002621	CHIFNET13H1268_002094-T1, CHIFNET13H1268_009712-T1
GF00002622	CHIFNET13H1268_012915-T1, CHIFNET13H1268_008840-T1
GF00002623	CHIFNET13H1268_013518-T1, CHIFNET13H1268_012811-T1
GF00002624	CHIFNET13H1268_013843-T1, CHIFNET13H1268_007777-T1
GF00002625	CHIFNET13H1268_002989-T1, CHIFNET13H1268_009375-T1
GF00002626	CHIFNET13H1268_012006-T1, CHIFNET13H1268_011407-T1
GF00002627	CHIFNET13H1268_012602-T1, CHIFNET13H1268_011092-T1
GF00002628	CHIFNET13H1268_006623-T1, CHIFNET13H1268_000161-T1
GF00002629	CHIFNET13H1268_011907-T1, CHIFNET13H1268_012057-T1
GF00002630	CHIFNET13H1268_001800-T1, CHIFNET13H1268_001355-T1
GF00002631	CHIFNET13H1268_011183-T1, CHIFNET13H1268_008034-T1
GF00002632	CHIFNET13H1268_005469-T1, CHIFNET13H1268_010097-T1
GF00002633	CHIFNET13H1268_014250-T1, CHIFNET13H1268_010158-T1
GF00002634	CHIFNET13H1268_000596-T1, CHIFNET13H1268_011569-T1
GF00002635	CHIFNET13H1268_000774-T1, CHIFNET13H1268_013943-T1
GF00002636	CHIFNET13H1268_007662-T1, CHIFNET13H1268_006434-T1
GF00002637	CHIFNET13H1268_008921-T1, CHIFNET13H1268_011850-T1
GF00002638	CHIFNET13H1268_000636-T1, CHIFNET13H1268_007003-T1
GF00002639	CHIFNET13H1268_013977-T1, CHIFNET13H1268_005117-T1
GF00002640	CHIFNET13H1268_009835-T1, CHIFNET13H1268_009924-T1
GF00002641	CHIFNET13H1268_001617-T1, CHIFNET13H1268_013335-T1
GF00002642	CHIFNET13H1268_008890-T1, CHIFNET13H1268_004279-T1
GF00002643	CHIFNET13H1268_005508-T1, CHIFNET13H1268_011071-T1
GF00002644	CHIFNET13H1268_001281-T1, CHIFNET13H1268_001724-T1
GF00002645	CHIFNET13H1268_001473-T1, CHIFNET13H1268_005258-T1
GF00002646	CHIFNET13H1268_005500-T1, CHIFNET13H1268_010065-T1
GF00002647	CHIFNET13H1268_001049-T1, CHIFNET13H1268_010625-T1
GF00002648	CHIFNET13H1268_009023-T1, CHIFNET13H1268_009940-T1
GF00002649	CHIFNET13H1268_005522-T1, CHIFNET13H1268_012865-T1
GF00002650	CHIFNET13H1268_007089-T1, CHIFNET13H1268_005133-T1
GF00002651	CHIFNET13H1268_009608-T1, CHIFNET13H1268_002672-T1
GF00002652	CHIFNET13H1268_009208-T1, CHIFNET13H1268_010514-T1
GF00002653	CHIFNET13H1268_010884-T1, CHIFNET13H1268_007948-T1
GF00002654	CHIFNET13H1268_014209-T1, CHIFNET13H1268_011558-T1
GF00002655	CHIFNET13H1268_006216-T1, CHIFNET13H1268_002186-T1
GF00002656	CHIFNET13H1268_011342-T1, CHIFNET13H1268_011513-T1
GF00002657	CHIFNET13H1268_013890-T1, CHIFNET13H1268_014020-T1
GF00002658	CHIFNET13H1268_007062-T1, CHIFNET13H1268_003799-T1
GF00002659	CHIFNET13H1268_012669-T1, CHIFNET13H1268_004901-T1
GF00002660	CHIFNET13H1268_003108-T1, CHIFNET13H1268_000880-T1
GF00002661	CHIFNET13H1268_009967-T1, CHIFNET13H1268_009051-T1
GF00002662	CHIFNET13H1268_013702-T1, CHIFNET13H1268_002597-T1
GF00002663	CHIFNET13H1268_008711-T1, CHIFNET13H1268_007541-T1
GF00002664	CHIFNET13H1268_010357-T1, CHIFNET13H1268_000200-T1
GF00002665	CHIFNET13H1268_003950-T1, CHIFNET13H1268_012518-T1
GF00002666	CHIFNET13H1268_000165-T1, CHIFNET13H1268_006627-T1
GF00002667	CHIFNET13H1268_013329-T1, CHIFNET13H1268_001624-T1
GF00002668	CHIFNET13H1268_000012-T1, CHIFNET13H1268_004415-T1
GF00002669	CHIFNET13H1268_003053-T1, CHIFNET13H1268_010114-T1
GF00002670	CHIFNET13H1268_008709-T1, CHIFNET13H1268_007543-T1
GF00002671	CHIFNET13H1268_007071-T1, CHIFNET13H1268_003805-T1
GF00002672	CHIFNET13H1268_006649-T1, CHIFNET13H1268_000187-T1
GF00002673	CHIFNET13H1268_011613-T1, CHIFNET13H1268_004608-T1
GF00002674	CHIFNET13H1268_004455-T1, CHIFNET13H1268_006372-T1
GF00002675	CHIFNET13H1268_000252-T1, CHIFNET13H1268_007360-T1
GF00002676	CHIFNET13H1268_012321-T1, CHIFNET13H1268_012350-T1
GF00002677	CHIFNET13H1268_002431-T1, CHIFNET13H1268_003286-T1
GF00002678	CHIFNET13H1268_003592-T1, CHIFNET13H1268_000275-T1
GF00002679	CHIFNET13H1268_012620-T1, CHIFNET13H1268_004343-T1
GF00002680	CHIFNET13H1268_011240-T1, CHIFNET13H1268_005863-T1
GF00002681	CHIFNET13H1268_010049-T1, CHIFNET13H1268_003465-T1
GF00002682	CHIFNET13H1268_003764-T1, CHIFNET13H1268_014325-T1
GF00002683	CHIFNET13H1268_007174-T1, CHIFNET13H1268_006010-T1
GF00002684	CHIFNET13H1268_010012-T1, CHIFNET13H1268_014474-T1
GF00002685	CHIFNET13H1268_001951-T1, CHIFNET13H1268_000376-T1
GF00002686	CHIFNET13H1268_009742-T1, CHIFNET13H1268_002118-T1
GF00002687	CHIFNET13H1268_000134-T1, CHIFNET13H1268_006578-T1
GF00002688	CHIFNET13H1268_005512-T1, CHIFNET13H1268_012875-T1
GF00002689	CHIFNET13H1268_014438-T1, CHIFNET13H1268_011388-T1
GF00002690	CHIFNET13H1268_012105-T1, CHIFNET13H1268_004386-T1
GF00002691	CHIFNET13H1268_002807-T1, CHIFNET13H1268_010249-T1
GF00002692	CHIFNET13H1268_003141-T1, CHIFNET13H1268_000847-T1
GF00002693	CHIFNET13H1268_003680-T1, CHIFNET13H1268_000916-T1
GF00002694	CHIFNET13H1268_013122-T1, CHIFNET13H1268_013235-T1
GF00002695	CHIFNET13H1268_004992-T1, CHIFNET13H1268_008430-T1
GF00002696	CHIFNET13H1268_008111-T1, CHIFNET13H1268_009069-T1
GF00002697	CHIFNET13H1268_008371-T1, CHIFNET13H1268_012502-T1
GF00002698	CHIFNET13H1268_010496-T1, CHIFNET13H1268_005564-T1
GF00002699	CHIFNET13H1268_013885-T1, CHIFNET13H1268_014015-T1
GF00002700	CHIFNET13H1268_000106-T1, CHIFNET13H1268_006608-T1
GF00002701	CHIFNET13H1268_008332-T1, CHIFNET13H1268_000569-T1
GF00002702	CHIFNET13H1268_012586-T1, CHIFNET13H1268_008951-T1
GF00002703	CHIFNET13H1268_010698-T1, CHIFNET13H1268_010831-T1
GF00002704	CHIFNET13H1268_010339-T1, CHIFNET13H1268_007514-T1
GF00002705	CHIFNET13H1268_011997-T1, CHIFNET13H1268_011395-T1
GF00002706	CHIFNET13H1268_005643-T1, CHIFNET13H1268_004777-T1
GF00002707	CHIFNET13H1268_000063-T1, CHIFNET13H1268_004200-T1
GF00002708	CHIFNET13H1268_007385-T1, CHIFNET13H1268_013101-T1
GF00002709	CHIFNET13H1268_009628-T1, CHIFNET13H1268_002654-T1
GF00002710	CHIFNET13H1268_010025-T1, CHIFNET13H1268_003440-T1
GF00002711	CHIFNET13H1268_014451-T1, CHIFNET13H1268_004583-T1
GF00002712	CHIFNET13H1268_002137-T1, CHIFNET13H1268_013393-T1
GF00002713	CHIFNET13H1268_011284-T1, CHIFNET13H1268_007315-T1
GF00002714	CHIFNET13H1268_003825-T1, CHIFNET13H1268_000720-T1
GF00002715	CHIFNET13H1268_004768-T1, CHIFNET13H1268_005652-T1
GF00002716	CHIFNET13H1268_012499-T1, CHIFNET13H1268_008368-T1
GF00002717	CHIFNET13H1268_004046-T1, CHIFNET13H1268_011043-T1
GF00002718	CHIFNET13H1268_013724-T1, CHIFNET13H1268_013184-T1
GF00002719	CHIFNET13H1268_007156-T1, CHIFNET13H1268_005995-T1
GF00002720	CHIFNET13H1268_005497-T1, CHIFNET13H1268_010068-T1
GF00002721	CHIFNET13H1268_011633-T1, CHIFNET13H1268_004630-T1
GF00002722	CHIFNET13H1268_009273-T1, CHIFNET13H1268_001691-T1
GF00002723	CHIFNET13H1268_005498-T1, CHIFNET13H1268_010067-T1
GF00002724	CHIFNET13H1268_011585-T1, CHIFNET13H1268_012705-T1
GF00002725	CHIFNET13H1268_014403-T1, CHIFNET13H1268_011961-T1
GF00002726	CHIFNET13H1268_007107-T1, CHIFNET13H1268_005156-T1
GF00002727	CHIFNET13H1268_009775-T1, CHIFNET13H1268_009466-T1
GF00002728	CHIFNET13H1268_003192-T1, CHIFNET13H1268_005398-T1
GF00002729	CHIFNET13H1268_002433-T1, CHIFNET13H1268_003284-T1
GF00002730	CHIFNET13H1268_011245-T1, CHIFNET13H1268_005853-T1
