	Rhodotorula_mucilaginosa_TFCN_25-331D-1.cds.fa
GF00002412	TFCN25331D1_009219-T1, TFCN25331D1_006266-T1
GF00002413	TFCN25331D1_007743-T1, TFCN25331D1_005663-T1
GF00002414	TFCN25331D1_010493-T1, TFCN25331D1_003340-T1
GF00002415	TFCN25331D1_007203-T1, TFCN25331D1_005573-T1
GF00002416	TFCN25331D1_012582-T1, TFCN25331D1_011334-T1
GF00002417	TFCN25331D1_013634-T1, TFCN25331D1_009421-T1
GF00002418	TFCN25331D1_008684-T1, TFCN25331D1_009052-T1
GF00002419	TFCN25331D1_005808-T1, TFCN25331D1_012370-T1
GF00002420	TFCN25331D1_001686-T1, TFCN25331D1_004963-T1
GF00002421	TFCN25331D1_007984-T1, TFCN25331D1_005965-T1
GF00002422	TFCN25331D1_011183-T1, TFCN25331D1_003574-T1
GF00002423	TFCN25331D1_007818-T1, TFCN25331D1_000897-T1
GF00002424	TFCN25331D1_006143-T1, TFCN25331D1_010404-T1
GF00002425	TFCN25331D1_001026-T1, TFCN25331D1_004811-T1
GF00002426	TFCN25331D1_008631-T1, TFCN25331D1_005793-T1
GF00002427	TFCN25331D1_001287-T1, TFCN25331D1_001369-T1
GF00002428	TFCN25331D1_013207-T1, TFCN25331D1_005438-T1
GF00002429	TFCN25331D1_012615-T1, TFCN25331D1_006902-T1
GF00002430	TFCN25331D1_010135-T1, TFCN25331D1_009553-T1
GF00002431	TFCN25331D1_002513-T1, TFCN25331D1_009240-T1
GF00002432	TFCN25331D1_006047-T1, TFCN25331D1_011503-T1
GF00002433	TFCN25331D1_012152-T1, TFCN25331D1_006833-T1
GF00002434	TFCN25331D1_007388-T1, TFCN25331D1_009694-T1
GF00002435	TFCN25331D1_004936-T1, TFCN25331D1_001713-T1
GF00002436	TFCN25331D1_007290-T1, TFCN25331D1_003285-T1
GF00002437	TFCN25331D1_003678-T1, TFCN25331D1_006305-T1
GF00002438	TFCN25331D1_003273-T1, TFCN25331D1_007276-T1
GF00002439	TFCN25331D1_000487-T1, TFCN25331D1_008031-T1
GF00002440	TFCN25331D1_008572-T1, TFCN25331D1_005742-T1
GF00002441	TFCN25331D1_012753-T1, TFCN25331D1_004361-T1
GF00002442	TFCN25331D1_003104-T1, TFCN25331D1_004441-T1
GF00002443	TFCN25331D1_006023-T1, TFCN25331D1_007996-T1
GF00002444	TFCN25331D1_009355-T1, TFCN25331D1_011212-T1
GF00002445	TFCN25331D1_004859-T1, TFCN25331D1_001076-T1
GF00002446	TFCN25331D1_002284-T1, TFCN25331D1_009917-T1
GF00002447	TFCN25331D1_011058-T1, TFCN25331D1_007508-T1
GF00002448	TFCN25331D1_007003-T1, TFCN25331D1_000032-T1
GF00002449	TFCN25331D1_003782-T1, TFCN25331D1_011978-T1
GF00002450	TFCN25331D1_002360-T1, TFCN25331D1_007146-T1
GF00002451	TFCN25331D1_011874-T1, TFCN25331D1_009022-T1
GF00002452	TFCN25331D1_009994-T1, TFCN25331D1_007040-T1
GF00002453	TFCN25331D1_004593-T1, TFCN25331D1_004348-T1
GF00002454	TFCN25331D1_006317-T1, TFCN25331D1_003690-T1
GF00002455	TFCN25331D1_009485-T1, TFCN25331D1_012537-T1
GF00002456	TFCN25331D1_009495-T1, TFCN25331D1_012526-T1
GF00002457	TFCN25331D1_004273-T1, TFCN25331D1_004662-T1
GF00002458	TFCN25331D1_012071-T1, TFCN25331D1_006548-T1
GF00002459	TFCN25331D1_012037-T1, TFCN25331D1_012456-T1
GF00002460	TFCN25331D1_007143-T1, TFCN25331D1_002357-T1
GF00002461	TFCN25331D1_009405-T1, TFCN25331D1_013246-T1
GF00002462	TFCN25331D1_011742-T1, TFCN25331D1_006526-T1
GF00002463	TFCN25331D1_008187-T1, TFCN25331D1_000240-T1
GF00002464	TFCN25331D1_000440-T1, TFCN25331D1_008082-T1
GF00002465	TFCN25331D1_008027-T1, TFCN25331D1_000492-T1
GF00002466	TFCN25331D1_001480-T1, TFCN25331D1_001183-T1
GF00002467	TFCN25331D1_003195-T1, TFCN25331D1_010585-T1
GF00002468	TFCN25331D1_009728-T1, TFCN25331D1_011698-T1
GF00002469	TFCN25331D1_002516-T1, TFCN25331D1_009238-T1
GF00002470	TFCN25331D1_006768-T1, TFCN25331D1_000707-T1
GF00002471	TFCN25331D1_011482-T1, TFCN25331D1_005973-T1
GF00002472	TFCN25331D1_009506-T1, TFCN25331D1_012514-T1
GF00002473	TFCN25331D1_000661-T1, TFCN25331D1_006729-T1
GF00002474	TFCN25331D1_001246-T1, TFCN25331D1_001407-T1
GF00002475	TFCN25331D1_007827-T1, TFCN25331D1_000906-T1
GF00002476	TFCN25331D1_002178-T1, TFCN25331D1_001967-T1
GF00002477	TFCN25331D1_001111-T1, TFCN25331D1_001543-T1
GF00002478	TFCN25331D1_009606-T1, TFCN25331D1_003365-T1
GF00002479	TFCN25331D1_003346-T1, TFCN25331D1_010499-T1
GF00002480	TFCN25331D1_012169-T1, TFCN25331D1_007660-T1
GF00002481	TFCN25331D1_000317-T1, TFCN25331D1_004173-T1
GF00002482	TFCN25331D1_003558-T1, TFCN25331D1_011168-T1
GF00002483	TFCN25331D1_009364-T1, TFCN25331D1_013479-T1
GF00002484	TFCN25331D1_002108-T1, TFCN25331D1_001892-T1
GF00002485	TFCN25331D1_001055-T1, TFCN25331D1_004841-T1
GF00002486	TFCN25331D1_003452-T1, TFCN25331D1_010459-T1
GF00002487	TFCN25331D1_008622-T1, TFCN25331D1_005784-T1
GF00002488	TFCN25331D1_007576-T1, TFCN25331D1_008320-T1
GF00002489	TFCN25331D1_001048-T1, TFCN25331D1_004833-T1
GF00002490	TFCN25331D1_004707-T1, TFCN25331D1_004229-T1
GF00002491	TFCN25331D1_008084-T1, TFCN25331D1_000438-T1
GF00002492	TFCN25331D1_004730-T1, TFCN25331D1_004206-T1
GF00002493	TFCN25331D1_010474-T1, TFCN25331D1_013532-T1
GF00002494	TFCN25331D1_011702-T1, TFCN25331D1_009733-T1
GF00002495	TFCN25331D1_000136-T1, TFCN25331D1_002773-T1
GF00002496	TFCN25331D1_009612-T1, TFCN25331D1_003371-T1
GF00002497	TFCN25331D1_013561-T1, TFCN25331D1_001977-T1
GF00002498	TFCN25331D1_000481-T1, TFCN25331D1_008038-T1
GF00002499	TFCN25331D1_013490-T1, TFCN25331D1_013590-T1
GF00002500	TFCN25331D1_001088-T1, TFCN25331D1_012000-T1
GF00002501	TFCN25331D1_005418-T1, TFCN25331D1_013081-T1
GF00002502	TFCN25331D1_007866-T1, TFCN25331D1_000942-T1
GF00002503	TFCN25331D1_000310-T1, TFCN25331D1_004180-T1
GF00002504	TFCN25331D1_004183-T1, TFCN25331D1_000307-T1
GF00002505	TFCN25331D1_001380-T1, TFCN25331D1_001275-T1
GF00002506	TFCN25331D1_006961-T1, TFCN25331D1_007426-T1
GF00002507	TFCN25331D1_010412-T1, TFCN25331D1_006151-T1
GF00002508	TFCN25331D1_003697-T1, TFCN25331D1_006324-T1
GF00002509	TFCN25331D1_010576-T1, TFCN25331D1_003204-T1
GF00002510	TFCN25331D1_001294-T1, TFCN25331D1_001363-T1
GF00002511	TFCN25331D1_003209-T1, TFCN25331D1_010571-T1
GF00002512	TFCN25331D1_007864-T1, TFCN25331D1_000940-T1
GF00002513	TFCN25331D1_007536-T1, TFCN25331D1_011026-T1
GF00002514	TFCN25331D1_012994-T1, TFCN25331D1_005388-T1
GF00002515	TFCN25331D1_000397-T1, TFCN25331D1_004090-T1
GF00002516	TFCN25331D1_010488-T1, TFCN25331D1_003336-T1
GF00002517	TFCN25331D1_010434-T1, TFCN25331D1_003478-T1
GF00002518	TFCN25331D1_001899-T1, TFCN25331D1_002115-T1
GF00002519	TFCN25331D1_008705-T1, TFCN25331D1_005126-T1
GF00002520	TFCN25331D1_004516-T1, TFCN25331D1_006609-T1
GF00002521	TFCN25331D1_010369-T1, TFCN25331D1_010505-T1
GF00002522	TFCN25331D1_005871-T1, TFCN25331D1_002639-T1
GF00002523	TFCN25331D1_007330-T1, TFCN25331D1_010811-T1
GF00002524	TFCN25331D1_012372-T1, TFCN25331D1_005806-T1
GF00002525	TFCN25331D1_005949-T1, TFCN25331D1_007966-T1
GF00002526	TFCN25331D1_001962-T1, TFCN25331D1_002173-T1
GF00002527	TFCN25331D1_004498-T1, TFCN25331D1_005491-T1
GF00002528	TFCN25331D1_001594-T1, TFCN25331D1_006175-T1
GF00002529	TFCN25331D1_013314-T1, TFCN25331D1_003456-T1
GF00002530	TFCN25331D1_013195-T1, TFCN25331D1_005427-T1
GF00002531	TFCN25331D1_005224-T1, TFCN25331D1_007913-T1
GF00002532	TFCN25331D1_007962-T1, TFCN25331D1_005945-T1
GF00002533	TFCN25331D1_004157-T1, TFCN25331D1_000332-T1
GF00002534	TFCN25331D1_012457-T1, TFCN25331D1_012038-T1
GF00002535	TFCN25331D1_011160-T1, TFCN25331D1_003549-T1
GF00002536	TFCN25331D1_007994-T1, TFCN25331D1_006025-T1
GF00002537	TFCN25331D1_004861-T1, TFCN25331D1_001074-T1
GF00002538	TFCN25331D1_004089-T1, TFCN25331D1_000398-T1
GF00002539	TFCN25331D1_000565-T1, TFCN25331D1_012126-T1
GF00002540	TFCN25331D1_008658-T1, TFCN25331D1_009075-T1
GF00002541	TFCN25331D1_004956-T1, TFCN25331D1_001693-T1
GF00002542	TFCN25331D1_009614-T1, TFCN25331D1_003374-T1
GF00002543	TFCN25331D1_001313-T1, TFCN25331D1_001341-T1
GF00002544	TFCN25331D1_002393-T1, TFCN25331D1_010096-T1
GF00002545	TFCN25331D1_000441-T1, TFCN25331D1_008081-T1
GF00002546	TFCN25331D1_009302-T1, TFCN25331D1_002452-T1
GF00002547	TFCN25331D1_005536-T1, TFCN25331D1_007167-T1
GF00002548	TFCN25331D1_004583-T1, TFCN25331D1_006679-T1
GF00002549	TFCN25331D1_003364-T1, TFCN25331D1_009605-T1
GF00002550	TFCN25331D1_011918-T1, TFCN25331D1_008864-T1
GF00002551	TFCN25331D1_011464-T1, TFCN25331D1_005990-T1
GF00002552	TFCN25331D1_010359-T1, TFCN25331D1_010515-T1
GF00002553	TFCN25331D1_003551-T1, TFCN25331D1_011162-T1
GF00002554	TFCN25331D1_001950-T1, TFCN25331D1_002162-T1
GF00002555	TFCN25331D1_006889-T1, TFCN25331D1_012732-T1
GF00002556	TFCN25331D1_004323-T1, TFCN25331D1_004616-T1
GF00002557	TFCN25331D1_000404-T1, TFCN25331D1_004080-T1
GF00002558	TFCN25331D1_005560-T1, TFCN25331D1_007191-T1
GF00002559	TFCN25331D1_007971-T1, TFCN25331D1_005954-T1
GF00002560	TFCN25331D1_004059-T1, TFCN25331D1_011200-T1
GF00002561	TFCN25331D1_013039-T1, TFCN25331D1_011508-T1
GF00002562	TFCN25331D1_001615-T1, TFCN25331D1_012873-T1
GF00002563	TFCN25331D1_013453-T1, TFCN25331D1_013500-T1
GF00002564	TFCN25331D1_002220-T1, TFCN25331D1_011303-T1
GF00002565	TFCN25331D1_000647-T1, TFCN25331D1_006715-T1
GF00002566	TFCN25331D1_005931-T1, TFCN25331D1_002581-T1
GF00002567	TFCN25331D1_007903-T1, TFCN25331D1_005213-T1
GF00002568	TFCN25331D1_013624-T1, TFCN25331D1_008547-T1
GF00002569	TFCN25331D1_007758-T1, TFCN25331D1_005649-T1
GF00002570	TFCN25331D1_007820-T1, TFCN25331D1_000899-T1
GF00002571	TFCN25331D1_010054-T1, TFCN25331D1_013126-T1
GF00002572	TFCN25331D1_001847-T1, TFCN25331D1_002064-T1
GF00002573	TFCN25331D1_011302-T1, TFCN25331D1_002219-T1
GF00002574	TFCN25331D1_009257-T1, TFCN25331D1_002496-T1
GF00002575	TFCN25331D1_004062-T1, TFCN25331D1_011203-T1
GF00002576	TFCN25331D1_006822-T1, TFCN25331D1_012141-T1
GF00002577	TFCN25331D1_012010-T1, TFCN25331D1_001098-T1
GF00002578	TFCN25331D1_011797-T1, TFCN25331D1_009310-T1
GF00002579	TFCN25331D1_003681-T1, TFCN25331D1_006308-T1
GF00002580	TFCN25331D1_004077-T1, TFCN25331D1_000409-T1
GF00002581	TFCN25331D1_013342-T1, TFCN25331D1_007662-T1
GF00002582	TFCN25331D1_012731-T1, TFCN25331D1_006888-T1
GF00002583	TFCN25331D1_001138-T1, TFCN25331D1_001507-T1
GF00002584	TFCN25331D1_005844-T1, TFCN25331D1_002666-T1
GF00002585	TFCN25331D1_008626-T1, TFCN25331D1_005788-T1
GF00002586	TFCN25331D1_006483-T1, TFCN25331D1_010967-T1
GF00002587	TFCN25331D1_013558-T1, TFCN25331D1_012393-T1
GF00002588	TFCN25331D1_011214-T1, TFCN25331D1_009353-T1
GF00002589	TFCN25331D1_008464-T1, TFCN25331D1_013145-T1
GF00002590	TFCN25331D1_005118-T1, TFCN25331D1_008713-T1
GF00002591	TFCN25331D1_009322-T1, TFCN25331D1_011788-T1
GF00002592	TFCN25331D1_012229-T1, TFCN25331D1_007322-T1
GF00002593	TFCN25331D1_000457-T1, TFCN25331D1_008064-T1
GF00002594	TFCN25331D1_008792-T1, TFCN25331D1_013173-T1
GF00002595	TFCN25331D1_013673-T1, TFCN25331D1_006238-T1
GF00002596	TFCN25331D1_006850-T1, TFCN25331D1_012167-T1
GF00002597	TFCN25331D1_006438-T1, TFCN25331D1_013430-T1
GF00002598	TFCN25331D1_000752-T1, TFCN25331D1_012206-T1
GF00002599	TFCN25331D1_001511-T1, TFCN25331D1_001134-T1
GF00002600	TFCN25331D1_002348-T1, TFCN25331D1_007134-T1
GF00002601	TFCN25331D1_007787-T1, TFCN25331D1_010542-T1
GF00002602	TFCN25331D1_000479-T1, TFCN25331D1_008040-T1
GF00002603	TFCN25331D1_002287-T1, TFCN25331D1_007075-T1
GF00002604	TFCN25331D1_004803-T1, TFCN25331D1_001018-T1
GF00002605	TFCN25331D1_010180-T1, TFCN25331D1_006877-T1
GF00002606	TFCN25331D1_007110-T1, TFCN25331D1_002323-T1
GF00002607	TFCN25331D1_012686-T1, TFCN25331D1_009756-T1
GF00002608	TFCN25331D1_011176-T1, TFCN25331D1_003567-T1
GF00002609	TFCN25331D1_005194-T1, TFCN25331D1_007884-T1
GF00002610	TFCN25331D1_010743-T1, TFCN25331D1_006404-T1
GF00002611	TFCN25331D1_011912-T1, TFCN25331D1_008871-T1
GF00002612	TFCN25331D1_012234-T1, TFCN25331D1_007318-T1
GF00002613	TFCN25331D1_006285-T1, TFCN25331D1_003660-T1
GF00002614	TFCN25331D1_006642-T1, TFCN25331D1_004529-T1
GF00002615	TFCN25331D1_011708-T1, TFCN25331D1_009739-T1
GF00002616	TFCN25331D1_006295-T1, TFCN25331D1_003668-T1
GF00002617	TFCN25331D1_011307-T1, TFCN25331D1_002225-T1
GF00002618	TFCN25331D1_013485-T1, TFCN25331D1_009370-T1
GF00002619	TFCN25331D1_004901-T1, TFCN25331D1_001754-T1
GF00002620	TFCN25331D1_000676-T1, TFCN25331D1_006742-T1
GF00002621	TFCN25331D1_008515-T1, TFCN25331D1_011375-T1
GF00002622	TFCN25331D1_003534-T1, TFCN25331D1_009819-T1
GF00002623	TFCN25331D1_013577-T1, TFCN25331D1_013578-T1
GF00002624	TFCN25331D1_009298-T1, TFCN25331D1_002458-T1
GF00002625	TFCN25331D1_008716-T1, TFCN25331D1_005115-T1
GF00002626	TFCN25331D1_002841-T1, TFCN25331D1_000205-T1
GF00002627	TFCN25331D1_013322-T1, TFCN25331D1_011989-T1
GF00002628	TFCN25331D1_011286-T1, TFCN25331D1_002203-T1
GF00002629	TFCN25331D1_008507-T1, TFCN25331D1_011269-T1
GF00002630	TFCN25331D1_012228-T1, TFCN25331D1_007323-T1
GF00002631	TFCN25331D1_007269-T1, TFCN25331D1_003264-T1
GF00002632	TFCN25331D1_000664-T1, TFCN25331D1_006731-T1
GF00002633	TFCN25331D1_009533-T1, TFCN25331D1_012249-T1
GF00002634	TFCN25331D1_008287-T1, TFCN25331D1_012778-T1
GF00002635	TFCN25331D1_000566-T1, TFCN25331D1_012127-T1
GF00002636	TFCN25331D1_002560-T1, TFCN25331D1_010248-T1
GF00002637	TFCN25331D1_012300-T1, TFCN25331D1_003621-T1
GF00002638	TFCN25331D1_002584-T1, TFCN25331D1_005928-T1
GF00002639	TFCN25331D1_004526-T1, TFCN25331D1_006619-T1
GF00002640	TFCN25331D1_006071-T1, TFCN25331D1_009146-T1
GF00002641	TFCN25331D1_007405-T1, TFCN25331D1_012637-T1
GF00002642	TFCN25331D1_008940-T1, TFCN25331D1_009466-T1
GF00002643	TFCN25331D1_006018-T1, TFCN25331D1_008001-T1
GF00002644	TFCN25331D1_006615-T1, TFCN25331D1_004522-T1
GF00002645	TFCN25331D1_003132-T1, TFCN25331D1_010877-T1
GF00002646	TFCN25331D1_009475-T1, TFCN25331D1_008931-T1
GF00002647	TFCN25331D1_002589-T1, TFCN25331D1_005923-T1
GF00002648	TFCN25331D1_001513-T1, TFCN25331D1_001132-T1
GF00002649	TFCN25331D1_007228-T1, TFCN25331D1_005599-T1
GF00002650	TFCN25331D1_007831-T1, TFCN25331D1_000910-T1
GF00002651	TFCN25331D1_012696-T1, TFCN25331D1_009746-T1
GF00002652	TFCN25331D1_012389-T1, TFCN25331D1_013554-T1
GF00002653	TFCN25331D1_006590-T1, TFCN25331D1_013519-T1
GF00002654	TFCN25331D1_003520-T1, TFCN25331D1_009843-T1
GF00002655	TFCN25331D1_013528-T1, TFCN25331D1_006234-T1
GF00002656	TFCN25331D1_010819-T1, TFCN25331D1_012257-T1
GF00002657	TFCN25331D1_002070-T1, TFCN25331D1_001853-T1
GF00002658	TFCN25331D1_000448-T1, TFCN25331D1_008074-T1
GF00002659	TFCN25331D1_000951-T1, TFCN25331D1_007877-T1
GF00002660	TFCN25331D1_004453-T1, TFCN25331D1_003115-T1
GF00002661	TFCN25331D1_008197-T1, TFCN25331D1_000249-T1
GF00002662	TFCN25331D1_005403-T1, TFCN25331D1_012484-T1
GF00002663	TFCN25331D1_007262-T1, TFCN25331D1_003256-T1
GF00002664	TFCN25331D1_002732-T1, TFCN25331D1_000098-T1
GF00002665	TFCN25331D1_004891-T1, TFCN25331D1_001762-T1
GF00002666	TFCN25331D1_003024-T1, TFCN25331D1_004371-T1
GF00002667	TFCN25331D1_005170-T1, TFCN25331D1_011088-T1
GF00002668	TFCN25331D1_003032-T1, TFCN25331D1_004378-T1
GF00002669	TFCN25331D1_013719-T1, TFCN25331D1_010064-T1
GF00002670	TFCN25331D1_005916-T1, TFCN25331D1_002596-T1
GF00002671	TFCN25331D1_012651-T1, TFCN25331D1_003594-T1
GF00002672	TFCN25331D1_012733-T1, TFCN25331D1_006890-T1
GF00002673	TFCN25331D1_004703-T1, TFCN25331D1_004233-T1
GF00002674	TFCN25331D1_004774-T1, TFCN25331D1_000993-T1
GF00002675	TFCN25331D1_003502-T1, TFCN25331D1_009860-T1
GF00002676	TFCN25331D1_013385-T1, TFCN25331D1_012342-T1
GF00002677	TFCN25331D1_003246-T1, TFCN25331D1_007252-T1
GF00002678	TFCN25331D1_012706-T1, TFCN25331D1_009392-T1
GF00002679	TFCN25331D1_009608-T1, TFCN25331D1_003367-T1
GF00002680	TFCN25331D1_005136-T1, TFCN25331D1_008697-T1
GF00002681	TFCN25331D1_004939-T1, TFCN25331D1_001710-T1
GF00002682	TFCN25331D1_006937-T1, TFCN25331D1_007449-T1
GF00002683	TFCN25331D1_011664-T1, TFCN25331D1_012819-T1
GF00002684	TFCN25331D1_011466-T1, TFCN25331D1_005988-T1
GF00002685	TFCN25331D1_009311-T1, TFCN25331D1_011796-T1
GF00002686	TFCN25331D1_009720-T1, TFCN25331D1_011691-T1
GF00002687	TFCN25331D1_012883-T1, TFCN25331D1_001624-T1
GF00002688	TFCN25331D1_012852-T1, TFCN25331D1_013209-T1
GF00002689	TFCN25331D1_008803-T1, TFCN25331D1_003637-T1
GF00002690	TFCN25331D1_001617-T1, TFCN25331D1_012875-T1
GF00002691	TFCN25331D1_012047-T1, TFCN25331D1_006577-T1
GF00002692	TFCN25331D1_002624-T1, TFCN25331D1_005886-T1
GF00002693	TFCN25331D1_010829-T1, TFCN25331D1_012252-T1
GF00002694	TFCN25331D1_004704-T1, TFCN25331D1_004232-T1
GF00002695	TFCN25331D1_010152-T1, TFCN25331D1_009569-T1
GF00002696	TFCN25331D1_002719-T1, TFCN25331D1_000084-T1
GF00002697	TFCN25331D1_003431-T1, TFCN25331D1_010441-T1
GF00002698	TFCN25331D1_013728-T1, TFCN25331D1_011647-T1
GF00002699	TFCN25331D1_004906-T1, TFCN25331D1_001749-T1
GF00002700	TFCN25331D1_005657-T1, TFCN25331D1_007749-T1
GF00002701	TFCN25331D1_006536-T1, TFCN25331D1_013364-T1
GF00002702	TFCN25331D1_009023-T1, TFCN25331D1_011873-T1
GF00002703	TFCN25331D1_001300-T1, TFCN25331D1_001354-T1
GF00002704	TFCN25331D1_005443-T1, TFCN25331D1_008818-T1
GF00002705	TFCN25331D1_000736-T1, TFCN25331D1_012221-T1
GF00002706	TFCN25331D1_004619-T1, TFCN25331D1_004319-T1
GF00002707	TFCN25331D1_002712-T1, TFCN25331D1_000077-T1
GF00002708	TFCN25331D1_009530-T1, TFCN25331D1_012245-T1
GF00002709	TFCN25331D1_009126-T1, TFCN25331D1_006089-T1
GF00002710	TFCN25331D1_011233-T1, TFCN25331D1_009335-T1
GF00002711	TFCN25331D1_000537-T1, TFCN25331D1_007718-T1
GF00002712	TFCN25331D1_009229-T1, TFCN25331D1_006256-T1
GF00002713	TFCN25331D1_009103-T1, TFCN25331D1_006106-T1
GF00002714	TFCN25331D1_000340-T1, TFCN25331D1_004148-T1
GF00002715	TFCN25331D1_011158-T1, TFCN25331D1_003547-T1
GF00002716	TFCN25331D1_004129-T1, TFCN25331D1_000359-T1
GF00002717	TFCN25331D1_004429-T1, TFCN25331D1_003090-T1
GF00002718	TFCN25331D1_003571-T1, TFCN25331D1_011180-T1
GF00002719	TFCN25331D1_006519-T1, TFCN25331D1_011735-T1
GF00002720	TFCN25331D1_004942-T1, TFCN25331D1_001707-T1
GF00002721	TFCN25331D1_012063-T1, TFCN25331D1_006557-T1
GF00002722	TFCN25331D1_013644-T1, TFCN25331D1_013629-T1
GF00002723	TFCN25331D1_003497-T1, TFCN25331D1_009865-T1
GF00002724	TFCN25331D1_006459-T1, TFCN25331D1_010991-T1
GF00002725	TFCN25331D1_008345-T1, TFCN25331D1_007605-T1
GF00002726	TFCN25331D1_008125-T1, TFCN25331D1_011546-T1
GF00002727	TFCN25331D1_005643-T1, TFCN25331D1_007764-T1
GF00002728	TFCN25331D1_006254-T1, TFCN25331D1_009231-T1
GF00002729	TFCN25331D1_013562-T1, TFCN25331D1_001978-T1
GF00002730	TFCN25331D1_003080-T1, TFCN25331D1_004420-T1
GF00002731	TFCN25331D1_006594-T1, TFCN25331D1_004502-T1
GF00002732	TFCN25331D1_007086-T1, TFCN25331D1_002299-T1
GF00002733	TFCN25331D1_007304-T1, TFCN25331D1_003299-T1
GF00002734	TFCN25331D1_001133-T1, TFCN25331D1_001512-T1
GF00002735	TFCN25331D1_001628-T1, TFCN25331D1_012887-T1
GF00002736	TFCN25331D1_004470-T1, TFCN25331D1_003131-T1
GF00002737	TFCN25331D1_002657-T1, TFCN25331D1_005853-T1
GF00002738	TFCN25331D1_004945-T1, TFCN25331D1_001704-T1
GF00002739	TFCN25331D1_001659-T1, TFCN25331D1_004993-T1
GF00002740	TFCN25331D1_007279-T1, TFCN25331D1_003274-T1
GF00002741	TFCN25331D1_011296-T1, TFCN25331D1_002213-T1
GF00002742	TFCN25331D1_002413-T1, TFCN25331D1_010118-T1
GF00002743	TFCN25331D1_000212-T1, TFCN25331D1_002847-T1
GF00002744	TFCN25331D1_004816-T1, TFCN25331D1_001031-T1
GF00002745	TFCN25331D1_008103-T1, TFCN25331D1_010959-T1
GF00002746	TFCN25331D1_001238-T1, TFCN25331D1_001417-T1
GF00002747	TFCN25331D1_008371-T1, TFCN25331D1_007639-T1
GF00002748	TFCN25331D1_013631-T1, TFCN25331D1_013646-T1
GF00002749	TFCN25331D1_002741-T1, TFCN25331D1_000107-T1
GF00002750	TFCN25331D1_006656-T1, TFCN25331D1_004567-T1
GF00002751	TFCN25331D1_012470-T1, TFCN25331D1_005395-T1
GF00002752	TFCN25331D1_000795-T1, TFCN25331D1_013283-T1
GF00002753	TFCN25331D1_000904-T1, TFCN25331D1_007825-T1
GF00002754	TFCN25331D1_004978-T1, TFCN25331D1_001674-T1
GF00002755	TFCN25331D1_005191-T1, TFCN25331D1_007881-T1
GF00002756	TFCN25331D1_011655-T1, TFCN25331D1_012829-T1
GF00002757	TFCN25331D1_008545-T1, TFCN25331D1_013626-T1
GF00002758	TFCN25331D1_011338-T1, TFCN25331D1_012578-T1
GF00002759	TFCN25331D1_003347-T1, TFCN25331D1_010500-T1
GF00002760	TFCN25331D1_006095-T1, TFCN25331D1_009117-T1
GF00002761	TFCN25331D1_007024-T1, TFCN25331D1_000052-T1
GF00002762	TFCN25331D1_002676-T1, TFCN25331D1_005833-T1
GF00002763	TFCN25331D1_004381-T1, TFCN25331D1_003036-T1
GF00002764	TFCN25331D1_005664-T1, TFCN25331D1_007742-T1
GF00002765	TFCN25331D1_006293-T1, TFCN25331D1_003666-T1
GF00002766	TFCN25331D1_001441-T1, TFCN25331D1_001214-T1
GF00002767	TFCN25331D1_011311-T1, TFCN25331D1_002230-T1
GF00002768	TFCN25331D1_000970-T1, TFCN25331D1_000950-T1
GF00002769	TFCN25331D1_009018-T1, TFCN25331D1_011878-T1
GF00002770	TFCN25331D1_006884-T1, TFCN25331D1_012726-T1
GF00002771	TFCN25331D1_013506-T1, TFCN25331D1_013460-T1
GF00002772	TFCN25331D1_004928-T1, TFCN25331D1_001721-T1
GF00002773	TFCN25331D1_010580-T1, TFCN25331D1_003200-T1
GF00002774	TFCN25331D1_009141-T1, TFCN25331D1_006075-T1
GF00002775	TFCN25331D1_003380-T1, TFCN25331D1_009621-T1
GF00002776	TFCN25331D1_009633-T1, TFCN25331D1_003393-T1
GF00002777	TFCN25331D1_007712-T1, TFCN25331D1_000531-T1
GF00002778	TFCN25331D1_006907-T1, TFCN25331D1_012610-T1
GF00002779	TFCN25331D1_003657-T1, TFCN25331D1_006282-T1
GF00002780	TFCN25331D1_003248-T1, TFCN25331D1_007254-T1
GF00002781	TFCN25331D1_006477-T1, TFCN25331D1_010973-T1
GF00002782	TFCN25331D1_008997-T1, TFCN25331D1_011898-T1
GF00002783	TFCN25331D1_011919-T1, TFCN25331D1_008863-T1
GF00002784	TFCN25331D1_008527-T1, TFCN25331D1_011363-T1
GF00002785	TFCN25331D1_001046-T1, TFCN25331D1_004831-T1
GF00002786	TFCN25331D1_005511-T1, TFCN25331D1_004479-T1
GF00002787	TFCN25331D1_002134-T1, TFCN25331D1_001919-T1
GF00002788	TFCN25331D1_003686-T1, TFCN25331D1_006313-T1
GF00002789	TFCN25331D1_003444-T1, TFCN25331D1_010454-T1
GF00002790	TFCN25331D1_001117-T1, TFCN25331D1_001528-T1
GF00002791	TFCN25331D1_004854-T1, TFCN25331D1_001081-T1
GF00002792	TFCN25331D1_011113-T1, TFCN25331D1_003964-T1
GF00002793	TFCN25331D1_011245-T1, TFCN25331D1_008480-T1
GF00002794	TFCN25331D1_008073-T1, TFCN25331D1_000449-T1
GF00002795	TFCN25331D1_007258-T1, TFCN25331D1_003252-T1
GF00002796	TFCN25331D1_004265-T1, TFCN25331D1_004670-T1
GF00002797	TFCN25331D1_013748-T1, TFCN25331D1_005142-T1
GF00002798	TFCN25331D1_001598-T1, TFCN25331D1_006171-T1
