	Rhodotorula_mucilaginosa_TFCN_22C-4.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00003250	TFCN22C4_005187-T1	DBVPG3775_004620-T1
GF00003251	TFCN22C4_010557-T1	DBVPG3775_004621-T1
GF00003252	TFCN22C4_008388-T1	DBVPG3775_006599-T1
GF00003253	TFCN22C4_008386-T1	DBVPG3775_006602-T1
GF00003254	TFCN22C4_005195-T1	DBVPG3775_006603-T1
GF00003255	TFCN22C4_008382-T1	DBVPG3775_006606-T1
GF00003256	TFCN22C4_005198-T1	DBVPG3775_006607-T1
GF00003257	TFCN22C4_008380-T1	DBVPG3775_006608-T1
GF00003258	TFCN22C4_005200-T1	DBVPG3775_006609-T1
GF00003259	TFCN22C4_008376-T1	DBVPG3775_006612-T1
GF00003260	TFCN22C4_005203-T1	DBVPG3775_006613-T1
GF00003261	TFCN22C4_008374-T1	DBVPG3775_006614-T1
GF00003262	TFCN22C4_008373-T1	DBVPG3775_006615-T1
GF00003263	TFCN22C4_005206-T1	DBVPG3775_006616-T1
GF00003264	TFCN22C4_005210-T1	DBVPG3775_006620-T1
GF00003265	TFCN22C4_008367-T1	DBVPG3775_006621-T1
GF00003266	TFCN22C4_005212-T1	DBVPG3775_006622-T1
GF00003267	TFCN22C4_008361-T1	DBVPG3775_006627-T1
GF00003268	TFCN22C4_008360-T1	DBVPG3775_006628-T1
GF00003269	TFCN22C4_008359-T1	DBVPG3775_006629-T1
GF00003270	TFCN22C4_005219-T1	DBVPG3775_006630-T1
GF00003271	TFCN22C4_008357-T1	DBVPG3775_006631-T1
GF00003272	TFCN22C4_005221-T1	DBVPG3775_006632-T1
GF00003273	TFCN22C4_005222-T1	DBVPG3775_006633-T1
GF00003274	TFCN22C4_008354-T1	DBVPG3775_006634-T1
GF00003275	TFCN22C4_005224-T1	DBVPG3775_006635-T1
GF00003276	TFCN22C4_005225-T1	DBVPG3775_006636-T1
GF00003277	TFCN22C4_008351-T1	DBVPG3775_006637-T1
GF00003278	TFCN22C4_008350-T1	DBVPG3775_006638-T1
GF00003279	TFCN22C4_008349-T1	DBVPG3775_006639-T1
GF00003280	TFCN22C4_008348-T1	DBVPG3775_006640-T1
GF00003281	TFCN22C4_008347-T1	DBVPG3775_006641-T1
GF00003282	TFCN22C4_005233-T1	DBVPG3775_003972-T1
GF00003283	TFCN22C4_013474-T1	DBVPG3775_003971-T1
GF00003284	TFCN22C4_005238-T1	DBVPG3775_003967-T1
GF00003285	TFCN22C4_013469-T1	DBVPG3775_003966-T1
GF00003286	TFCN22C4_005243-T1	DBVPG3775_003962-T1
GF00003287	TFCN22C4_005246-T1	DBVPG3775_003960-T1
GF00003288	TFCN22C4_005247-T1	DBVPG3775_003959-T1
GF00003289	TFCN22C4_005248-T1	DBVPG3775_003958-T1
GF00003290	TFCN22C4_010344-T1	DBVPG3775_003957-T1
GF00003291	TFCN22C4_005250-T1	DBVPG3775_003956-T1
GF00003292	TFCN22C4_005251-T1	DBVPG3775_003955-T1
GF00003293	TFCN22C4_005252-T1	DBVPG3775_003954-T1
GF00003294	TFCN22C4_009321-T1	DBVPG3775_006247-T1
GF00003295	TFCN22C4_010348-T1	DBVPG3775_003953-T1
GF00003296	TFCN22C4_010350-T1	DBVPG3775_003951-T1
GF00003297	TFCN22C4_005256-T1	DBVPG3775_003950-T1
GF00003298	TFCN22C4_010354-T1	DBVPG3775_003947-T1
GF00003299	TFCN22C4_010355-T1	DBVPG3775_003946-T1
GF00003300	TFCN22C4_005261-T1	DBVPG3775_003945-T1
GF00003301	TFCN22C4_005262-T1	DBVPG3775_003944-T1
GF00003302	TFCN22C4_005263-T1	DBVPG3775_003943-T1
GF00003303	TFCN22C4_005265-T1	DBVPG3775_003939-T1
GF00003304	TFCN22C4_010362-T1	DBVPG3775_003938-T1
GF00003305	TFCN22C4_010363-T1	DBVPG3775_003937-T1
GF00003306	TFCN22C4_010364-T1	DBVPG3775_003936-T1
GF00003307	TFCN22C4_012269-T1	DBVPG3775_001639-T1
GF00003308	TFCN22C4_012271-T1	DBVPG3775_001641-T1
GF00003309	TFCN22C4_012272-T1	DBVPG3775_001642-T1
GF00003310	TFCN22C4_005274-T1	DBVPG3775_001643-T1
GF00003311	TFCN22C4_012274-T1	DBVPG3775_001644-T1
GF00003312	TFCN22C4_012275-T1	DBVPG3775_001645-T1
GF00003313	TFCN22C4_012276-T1	DBVPG3775_001646-T1
GF00003314	TFCN22C4_005278-T1	DBVPG3775_001647-T1
GF00003315	TFCN22C4_012278-T1	DBVPG3775_001648-T1
GF00003316	TFCN22C4_013053-T1	DBVPG3775_007038-T1
GF00003317	TFCN22C4_012282-T1	DBVPG3775_001651-T1
GF00003318	TFCN22C4_012283-T1	DBVPG3775_001652-T1
GF00003319	TFCN22C4_012284-T1	DBVPG3775_001653-T1
GF00003320	TFCN22C4_012285-T1	DBVPG3775_001654-T1
GF00003321	TFCN22C4_012288-T1	DBVPG3775_001656-T1
GF00003322	TFCN22C4_012290-T1	DBVPG3775_001658-T1
GF00003323	TFCN22C4_012291-T1	DBVPG3775_001659-T1
GF00003324	TFCN22C4_012292-T1	DBVPG3775_001660-T1
GF00003325	TFCN22C4_012293-T1	DBVPG3775_001661-T1
GF00003326	TFCN22C4_012295-T1	DBVPG3775_001663-T1
GF00003327	TFCN22C4_012296-T1	DBVPG3775_001664-T1
GF00003328	TFCN22C4_012297-T1	DBVPG3775_001665-T1
GF00003329	TFCN22C4_012298-T1	DBVPG3775_001666-T1
GF00003330	TFCN22C4_008880-T1	DBVPG3775_001672-T1
GF00003331	TFCN22C4_005303-T1	DBVPG3775_001673-T1
GF00003332	TFCN22C4_005304-T1	DBVPG3775_001674-T1
GF00003333	TFCN22C4_008873-T1	DBVPG3775_001678-T1
GF00003334	TFCN22C4_008872-T1	DBVPG3775_001679-T1
GF00003335	TFCN22C4_008871-T1	DBVPG3775_001680-T1
GF00003336	TFCN22C4_008870-T1	DBVPG3775_001681-T1
GF00003337	TFCN22C4_005312-T1	DBVPG3775_001682-T1
GF00003338	TFCN22C4_008868-T1	DBVPG3775_001683-T1
GF00003339	TFCN22C4_008867-T1	DBVPG3775_001684-T1
GF00003340	TFCN22C4_008856-T1	DBVPG3775_001694-T1
GF00003341	TFCN22C4_008857-T1	DBVPG3775_001693-T1
GF00003342	TFCN22C4_005320-T1	DBVPG3775_001689-T1
GF00003343	TFCN22C4_005323-T1	DBVPG3775_001695-T1
GF00003344	TFCN22C4_008854-T1	DBVPG3775_001696-T1
GF00003345	TFCN22C4_008853-T1	DBVPG3775_001697-T1
GF00003346	TFCN22C4_008850-T1	DBVPG3775_001700-T1
GF00003347	TFCN22C4_008849-T1	DBVPG3775_001701-T1
GF00003348	TFCN22C4_008845-T1	DBVPG3775_001703-T1
GF00003349	TFCN22C4_005331-T1	DBVPG3775_001704-T1
GF00003350	TFCN22C4_005335-T1	DBVPG3775_001707-T1
GF00003351	TFCN22C4_005336-T1	DBVPG3775_001708-T1
GF00003352	TFCN22C4_008838-T1	DBVPG3775_001709-T1
GF00003353	TFCN22C4_005338-T1	DBVPG3775_001710-T1
GF00003354	TFCN22C4_008836-T1	DBVPG3775_001711-T1
GF00003355	TFCN22C4_008835-T1	DBVPG3775_001712-T1
GF00003356	TFCN22C4_008832-T1	DBVPG3775_001715-T1
GF00003357	TFCN22C4_005344-T1	DBVPG3775_001716-T1
GF00003358	TFCN22C4_008825-T1	DBVPG3775_001721-T1
GF00003359	TFCN22C4_008822-T1	DBVPG3775_001724-T1
GF00003360	TFCN22C4_005352-T1	DBVPG3775_001725-T1
GF00003361	TFCN22C4_008820-T1	DBVPG3775_001726-T1
GF00003362	TFCN22C4_005354-T1	DBVPG3775_001727-T1
GF00003363	TFCN22C4_005356-T1	DBVPG3775_001729-T1
GF00003364	TFCN22C4_008816-T1	DBVPG3775_001730-T1
GF00003365	TFCN22C4_005359-T1	DBVPG3775_001732-T1
GF00003366	TFCN22C4_005360-T1	DBVPG3775_001733-T1
GF00003367	TFCN22C4_005362-T1	DBVPG3775_001735-T1
GF00003368	TFCN22C4_012973-T1	DBVPG3775_001736-T1
GF00003369	TFCN22C4_005364-T1	DBVPG3775_001737-T1
GF00003370	TFCN22C4_005365-T1	DBVPG3775_001738-T1
GF00003371	TFCN22C4_005366-T1	DBVPG3775_001739-T1
GF00003372	TFCN22C4_012978-T1	DBVPG3775_001742-T1
GF00003373	TFCN22C4_005372-T1	DBVPG3775_001745-T1
GF00003374	TFCN22C4_005373-T1	DBVPG3775_001746-T1
GF00003375	TFCN22C4_005376-T1	DBVPG3775_001749-T1
GF00003376	TFCN22C4_005380-T1	DBVPG3775_004046-T1
GF00003377	TFCN22C4_005381-T1	DBVPG3775_004047-T1
GF00003378	TFCN22C4_009590-T1	DBVPG3775_004048-T1
GF00003379	TFCN22C4_009591-T1	DBVPG3775_004049-T1
GF00003380	TFCN22C4_009592-T1	DBVPG3775_004050-T1
GF00003381	TFCN22C4_008174-T1	DBVPG3775_005817-T1
GF00003382	TFCN22C4_009594-T1	DBVPG3775_004052-T1
GF00003383	TFCN22C4_005387-T1	DBVPG3775_004053-T1
GF00003384	TFCN22C4_005388-T1	DBVPG3775_004054-T1
GF00003385	TFCN22C4_005390-T1	DBVPG3775_004056-T1
GF00003386	TFCN22C4_005392-T1	DBVPG3775_004058-T1
GF00003387	TFCN22C4_005393-T1	DBVPG3775_004059-T1
GF00003388	TFCN22C4_013221-T1	DBVPG3775_003152-T1
GF00003389	TFCN22C4_005396-T1	DBVPG3775_004062-T1
GF00003390	TFCN22C4_005397-T1	DBVPG3775_004063-T1
GF00003391	TFCN22C4_009606-T1	DBVPG3775_004064-T1
GF00003392	TFCN22C4_005399-T1	DBVPG3775_004065-T1
GF00003393	TFCN22C4_005400-T1	DBVPG3775_004066-T1
GF00003394	TFCN22C4_009610-T1	DBVPG3775_004067-T1
GF00003395	TFCN22C4_009611-T1	DBVPG3775_004068-T1
GF00003396	TFCN22C4_005403-T1	DBVPG3775_004069-T1
GF00003397	TFCN22C4_009613-T1	DBVPG3775_004070-T1
GF00003398	TFCN22C4_005405-T1	DBVPG3775_004071-T1
GF00003399	TFCN22C4_005407-T1	DBVPG3775_004075-T1
GF00003400	TFCN22C4_005410-T1	DBVPG3775_004077-T1
GF00003401	TFCN22C4_005411-T1	DBVPG3775_004078-T1
GF00003402	TFCN22C4_009621-T1	DBVPG3775_004079-T1
GF00003403	TFCN22C4_009623-T1	DBVPG3775_004081-T1
GF00003404	TFCN22C4_009624-T1	DBVPG3775_004082-T1
GF00003405	TFCN22C4_005416-T1	DBVPG3775_004083-T1
GF00003406	TFCN22C4_007620-T1	DBVPG3775_003142-T1
GF00003407	TFCN22C4_005417-T1	DBVPG3775_004084-T1
GF00003408	TFCN22C4_005419-T1	DBVPG3775_004086-T1
GF00003409	TFCN22C4_009629-T1	DBVPG3775_004087-T1
GF00003410	TFCN22C4_005421-T1	DBVPG3775_004088-T1
GF00003411	TFCN22C4_009631-T1	DBVPG3775_004089-T1
GF00003412	TFCN22C4_009632-T1	DBVPG3775_004090-T1
GF00003413	TFCN22C4_009633-T1	DBVPG3775_004091-T1
GF00003414	TFCN22C4_005425-T1	DBVPG3775_004092-T1
GF00003415	TFCN22C4_005427-T1	DBVPG3775_004094-T1
GF00003416	TFCN22C4_009638-T1	DBVPG3775_004095-T1
GF00003417	TFCN22C4_005429-T1	DBVPG3775_004096-T1
GF00003418	TFCN22C4_005431-T1	DBVPG3775_004098-T1
GF00003419	TFCN22C4_009642-T1	DBVPG3775_004099-T1
GF00003420	TFCN22C4_009643-T1	DBVPG3775_004100-T1
GF00003421	TFCN22C4_009644-T1	DBVPG3775_004101-T1
GF00003422	TFCN22C4_005435-T1	DBVPG3775_004102-T1
GF00003423	TFCN22C4_009648-T1	DBVPG3775_004104-T1
GF00003424	TFCN22C4_005438-T1	DBVPG3775_004105-T1
GF00003425	TFCN22C4_009650-T1	DBVPG3775_004106-T1
GF00003426	TFCN22C4_009653-T1	DBVPG3775_004109-T1
GF00003427	TFCN22C4_005445-T1	DBVPG3775_004110-T1
GF00003428	TFCN22C4_007223-T1	DBVPG3775_004111-T1
GF00003429	TFCN22C4_005447-T1	DBVPG3775_004112-T1
GF00003430	TFCN22C4_007226-T1	DBVPG3775_004349-T1
GF00003431	TFCN22C4_007228-T1	DBVPG3775_004347-T1
GF00003432	TFCN22C4_007229-T1	DBVPG3775_004346-T1
GF00003433	TFCN22C4_005453-T1	DBVPG3775_004345-T1
GF00003434	TFCN22C4_007231-T1	DBVPG3775_004344-T1
GF00003435	TFCN22C4_007237-T1	DBVPG3775_004337-T1
GF00003436	TFCN22C4_005461-T1	DBVPG3775_004332-T1
GF00003437	TFCN22C4_007240-T1	DBVPG3775_004334-T1
GF00003438	TFCN22C4_005465-T1	DBVPG3775_004330-T1
GF00003439	TFCN22C4_007246-T1	DBVPG3775_004328-T1
GF00003440	TFCN22C4_007248-T1	DBVPG3775_004325-T1
GF00003441	TFCN22C4_007249-T1	DBVPG3775_004324-T1
GF00003442	TFCN22C4_005471-T1	DBVPG3775_004323-T1
GF00003443	TFCN22C4_007251-T1	DBVPG3775_004322-T1
GF00003444	TFCN22C4_005473-T1	DBVPG3775_004321-T1
GF00003445	TFCN22C4_007256-T1	DBVPG3775_004317-T1
GF00003446	TFCN22C4_007257-T1	DBVPG3775_004316-T1
GF00003447	TFCN22C4_005479-T1	DBVPG3775_004315-T1
GF00003448	TFCN22C4_007259-T1	DBVPG3775_004314-T1
GF00003449	TFCN22C4_007260-T1	DBVPG3775_004313-T1
GF00003450	TFCN22C4_007261-T1	DBVPG3775_004312-T1
GF00003451	TFCN22C4_007269-T1	DBVPG3775_004305-T1
GF00003452	TFCN22C4_007270-T1	DBVPG3775_004304-T1
GF00003453	TFCN22C4_013829-T1	DBVPG3775_006340-T1
GF00003454	TFCN22C4_005587-T1	DBVPG3775_003805-T1
GF00003455	TFCN22C4_005588-T1	DBVPG3775_003806-T1
GF00003456	TFCN22C4_011360-T1	DBVPG3775_003807-T1
GF00003457	TFCN22C4_005590-T1	DBVPG3775_003808-T1
GF00003458	TFCN22C4_005591-T1	DBVPG3775_003809-T1
GF00003459	TFCN22C4_011357-T1	DBVPG3775_003810-T1
GF00003460	TFCN22C4_005593-T1	DBVPG3775_003811-T1
GF00003461	TFCN22C4_005594-T1	DBVPG3775_003812-T1
GF00003462	TFCN22C4_005595-T1	DBVPG3775_003813-T1
GF00003463	TFCN22C4_011353-T1	DBVPG3775_003814-T1
GF00003464	TFCN22C4_005597-T1	DBVPG3775_003815-T1
GF00003465	TFCN22C4_011351-T1	DBVPG3775_003816-T1
GF00003466	TFCN22C4_005599-T1	DBVPG3775_003817-T1
GF00003467	TFCN22C4_005600-T1	DBVPG3775_003818-T1
GF00003468	TFCN22C4_005602-T1	DBVPG3775_003820-T1
GF00003469	TFCN22C4_005604-T1	DBVPG3775_003824-T1
GF00003470	TFCN22C4_005605-T1	DBVPG3775_003825-T1
GF00003471	TFCN22C4_005606-T1	DBVPG3775_003826-T1
GF00003472	TFCN22C4_005607-T1	DBVPG3775_003827-T1
GF00003473	TFCN22C4_008076-T1	DBVPG3775_003828-T1
GF00003474	TFCN22C4_005609-T1	DBVPG3775_003829-T1
GF00003475	TFCN22C4_005610-T1	DBVPG3775_003830-T1
GF00003476	TFCN22C4_005611-T1	DBVPG3775_003831-T1
GF00003477	TFCN22C4_008081-T1	DBVPG3775_003833-T1
GF00003478	TFCN22C4_005614-T1	DBVPG3775_003834-T1
GF00003479	TFCN22C4_005615-T1	DBVPG3775_003835-T1
GF00003480	TFCN22C4_005616-T1	DBVPG3775_003836-T1
GF00003481	TFCN22C4_008085-T1	DBVPG3775_003837-T1
GF00003482	TFCN22C4_005621-T1	DBVPG3775_006333-T1
GF00003483	TFCN22C4_005622-T1	DBVPG3775_006332-T1
GF00003484	TFCN22C4_005623-T1	DBVPG3775_006331-T1
GF00003485	TFCN22C4_005624-T1	DBVPG3775_006330-T1
GF00003486	TFCN22C4_005625-T1	DBVPG3775_006329-T1
GF00003487	TFCN22C4_005626-T1	DBVPG3775_006328-T1
GF00003488	TFCN22C4_005631-T1	DBVPG3775_006323-T1
GF00003489	TFCN22C4_005632-T1	DBVPG3775_006322-T1
GF00003490	TFCN22C4_008103-T1	DBVPG3775_006321-T1
GF00003491	TFCN22C4_005634-T1	DBVPG3775_006320-T1
GF00003492	TFCN22C4_005635-T1	DBVPG3775_006319-T1
GF00003493	TFCN22C4_008106-T1	DBVPG3775_006318-T1
GF00003494	TFCN22C4_008108-T1	DBVPG3775_006316-T1
GF00003495	TFCN22C4_005639-T1	DBVPG3775_006315-T1
GF00003496	TFCN22C4_008110-T1	DBVPG3775_006314-T1
GF00003497	TFCN22C4_008111-T1	DBVPG3775_006313-T1
GF00003498	TFCN22C4_005642-T1	DBVPG3775_006312-T1
GF00003499	TFCN22C4_011319-T1	DBVPG3775_006310-T1
GF00003500	TFCN22C4_005645-T1	DBVPG3775_006309-T1
GF00003501	TFCN22C4_011321-T1	DBVPG3775_006308-T1
GF00003502	TFCN22C4_005647-T1	DBVPG3775_006306-T1
GF00003503	TFCN22C4_005648-T1	DBVPG3775_006305-T1
GF00003504	TFCN22C4_005650-T1	DBVPG3775_006303-T1
GF00003505	TFCN22C4_011326-T1	DBVPG3775_006302-T1
GF00003506	TFCN22C4_005652-T1	DBVPG3775_006301-T1
GF00003507	TFCN22C4_011328-T1	DBVPG3775_006300-T1
GF00003508	TFCN22C4_005654-T1	DBVPG3775_006299-T1
GF00003509	TFCN22C4_005655-T1	DBVPG3775_006298-T1
GF00003510	TFCN22C4_005656-T1	DBVPG3775_006297-T1
GF00003511	TFCN22C4_005657-T1	DBVPG3775_006296-T1
GF00003512	TFCN22C4_005659-T1	DBVPG3775_006294-T1
GF00003513	TFCN22C4_005660-T1	DBVPG3775_006293-T1
GF00003514	TFCN22C4_011337-T1	DBVPG3775_006292-T1
GF00003515	TFCN22C4_005662-T1	DBVPG3775_006291-T1
GF00003516	TFCN22C4_011339-T1	DBVPG3775_006290-T1
GF00003517	TFCN22C4_005665-T1	DBVPG3775_006285-T1
GF00003518	TFCN22C4_005666-T1	DBVPG3775_006284-T1
GF00003519	TFCN22C4_005668-T1	DBVPG3775_006282-T1
GF00003520	TFCN22C4_005669-T1	DBVPG3775_006281-T1
GF00003521	TFCN22C4_005671-T1	DBVPG3775_007124-T1
GF00003522	TFCN22C4_005672-T1	DBVPG3775_007123-T1
GF00003523	TFCN22C4_008064-T1	DBVPG3775_007122-T1
GF00003524	TFCN22C4_005674-T1	DBVPG3775_007121-T1
GF00003525	TFCN22C4_005675-T1	DBVPG3775_007120-T1
GF00003526	TFCN22C4_005679-T1	DBVPG3775_007117-T1
GF00003527	TFCN22C4_008058-T1	DBVPG3775_007116-T1
GF00003528	TFCN22C4_005681-T1	DBVPG3775_007115-T1
GF00003529	TFCN22C4_005682-T1	DBVPG3775_007114-T1
GF00003530	TFCN22C4_005683-T1	DBVPG3775_007113-T1
GF00003531	TFCN22C4_005684-T1	DBVPG3775_007112-T1
GF00003532	TFCN22C4_005687-T1	DBVPG3775_007109-T1
GF00003533	TFCN22C4_005688-T1	DBVPG3775_007108-T1
GF00003534	TFCN22C4_005689-T1	DBVPG3775_007107-T1
GF00003535	TFCN22C4_008048-T1	DBVPG3775_007106-T1
GF00003536	TFCN22C4_008046-T1	DBVPG3775_007104-T1
GF00003537	TFCN22C4_005695-T1	DBVPG3775_007100-T1
GF00003538	TFCN22C4_005701-T1	DBVPG3775_007095-T1
GF00003539	TFCN22C4_011020-T1	DBVPG3775_005960-T1
GF00003540	TFCN22C4_013560-T1	DBVPG3775_007421-T1
GF00003541	TFCN22C4_013314-T1	DBVPG3775_000706-T1
GF00003542	TFCN22C4_012503-T1	DBVPG3775_004828-T1
GF00003543	TFCN22C4_005801-T1	DBVPG3775_004827-T1
GF00003544	TFCN22C4_005802-T1	DBVPG3775_004826-T1
GF00003545	TFCN22C4_012506-T1	DBVPG3775_004824-T1
GF00003546	TFCN22C4_012507-T1	DBVPG3775_004823-T1
GF00003547	TFCN22C4_005806-T1	DBVPG3775_004821-T1
GF00003548	TFCN22C4_005807-T1	DBVPG3775_004820-T1
GF00003549	TFCN22C4_012513-T1	DBVPG3775_004817-T1
GF00003550	TFCN22C4_012514-T1	DBVPG3775_004816-T1
GF00003551	TFCN22C4_005812-T1	DBVPG3775_004815-T1
GF00003552	TFCN22C4_005813-T1	DBVPG3775_004814-T1
GF00003553	TFCN22C4_005814-T1	DBVPG3775_004813-T1
GF00003554	TFCN22C4_005815-T1	DBVPG3775_004812-T1
GF00003555	TFCN22C4_005816-T1	DBVPG3775_004811-T1
GF00003556	TFCN22C4_005820-T1	DBVPG3775_004807-T1
GF00003557	TFCN22C4_012524-T1	DBVPG3775_004806-T1
GF00003558	TFCN22C4_012525-T1	DBVPG3775_004805-T1
GF00003559	TFCN22C4_005826-T1	DBVPG3775_004802-T1
GF00003560	TFCN22C4_013345-T1	DBVPG3775_004800-T1
GF00003561	TFCN22C4_013343-T1	DBVPG3775_004798-T1
GF00003562	TFCN22C4_013342-T1	DBVPG3775_004797-T1
GF00003563	TFCN22C4_005832-T1	DBVPG3775_004796-T1
GF00003564	TFCN22C4_005834-T1	DBVPG3775_004794-T1
GF00003565	TFCN22C4_005835-T1	DBVPG3775_004793-T1
GF00003566	TFCN22C4_005837-T1	DBVPG3775_004790-T1
GF00003567	TFCN22C4_008342-T1	DBVPG3775_004789-T1
GF00003568	TFCN22C4_008340-T1	DBVPG3775_004787-T1
GF00003569	TFCN22C4_008338-T1	DBVPG3775_004785-T1
GF00003570	TFCN22C4_008333-T1	DBVPG3775_004779-T1
GF00003571	TFCN22C4_005845-T1	DBVPG3775_004778-T1
GF00003572	TFCN22C4_005846-T1	DBVPG3775_004776-T1
GF00003573	TFCN22C4_005847-T1	DBVPG3775_004775-T1
GF00003574	TFCN22C4_008326-T1	DBVPG3775_004773-T1
GF00003575	TFCN22C4_005851-T1	DBVPG3775_004771-T1
GF00003576	TFCN22C4_005852-T1	DBVPG3775_004770-T1
GF00003577	TFCN22C4_005856-T1	DBVPG3775_004764-T1
GF00003578	TFCN22C4_005858-T1	DBVPG3775_004762-T1
GF00003579	TFCN22C4_008312-T1	DBVPG3775_004759-T1
GF00003580	TFCN22C4_008311-T1	DBVPG3775_004758-T1
GF00003581	TFCN22C4_005866-T1	DBVPG3775_004750-T1
GF00003582	TFCN22C4_005868-T1	DBVPG3775_004748-T1
GF00003583	TFCN22C4_005869-T1	DBVPG3775_004747-T1
GF00003584	TFCN22C4_005871-T1	DBVPG3775_004745-T1
GF00003585	TFCN22C4_008298-T1	DBVPG3775_004744-T1
GF00003586	TFCN22C4_005873-T1	DBVPG3775_004743-T1
GF00003587	TFCN22C4_008296-T1	DBVPG3775_004742-T1
GF00003588	TFCN22C4_008294-T1	DBVPG3775_004740-T1
GF00003589	TFCN22C4_008292-T1	DBVPG3775_004738-T1
GF00003590	TFCN22C4_008286-T1	DBVPG3775_004733-T1
GF00003591	TFCN22C4_005889-T1	DBVPG3775_004728-T1
GF00003592	TFCN22C4_008279-T1	DBVPG3775_004727-T1
GF00003593	TFCN22C4_005892-T1	DBVPG3775_004724-T1
GF00003594	TFCN22C4_008275-T1	DBVPG3775_004723-T1
GF00003595	TFCN22C4_008272-T1	DBVPG3775_004720-T1
GF00003596	TFCN22C4_008271-T1	DBVPG3775_004719-T1
GF00003597	TFCN22C4_008270-T1	DBVPG3775_004718-T1
GF00003598	TFCN22C4_005900-T1	DBVPG3775_004716-T1
GF00003599	TFCN22C4_005902-T1	DBVPG3775_004714-T1
GF00003600	TFCN22C4_005903-T1	DBVPG3775_004713-T1
GF00003601	TFCN22C4_005904-T1	DBVPG3775_004712-T1
GF00003602	TFCN22C4_008261-T1	DBVPG3775_004710-T1
GF00003603	TFCN22C4_009926-T1	DBVPG3775_006978-T1
GF00003604	TFCN22C4_005913-T1	DBVPG3775_006981-T1
GF00003605	TFCN22C4_005915-T1	DBVPG3775_006983-T1
GF00003606	TFCN22C4_009922-T1	DBVPG3775_006984-T1
GF00003607	TFCN22C4_009921-T1	DBVPG3775_006985-T1
GF00003608	TFCN22C4_005918-T1	DBVPG3775_006986-T1
GF00003609	TFCN22C4_005919-T1	DBVPG3775_006987-T1
GF00003610	TFCN22C4_009917-T1	DBVPG3775_006989-T1
GF00003611	TFCN22C4_005922-T1	DBVPG3775_006990-T1
GF00003612	TFCN22C4_005923-T1	DBVPG3775_006991-T1
GF00003613	TFCN22C4_009913-T1	DBVPG3775_006994-T1
GF00003614	TFCN22C4_005927-T1	DBVPG3775_006995-T1
GF00003615	TFCN22C4_005928-T1	DBVPG3775_006996-T1
GF00003616	TFCN22C4_008931-T1	DBVPG3775_003378-T1
GF00003617	TFCN22C4_005929-T1	DBVPG3775_006997-T1
GF00003618	TFCN22C4_005931-T1	DBVPG3775_006999-T1
GF00003619	TFCN22C4_009906-T1	DBVPG3775_007001-T1
GF00003620	TFCN22C4_005935-T1	DBVPG3775_007002-T1
GF00003621	TFCN22C4_009904-T1	DBVPG3775_007003-T1
GF00003622	TFCN22C4_005938-T1	DBVPG3775_007005-T1
GF00003623	TFCN22C4_009901-T1	DBVPG3775_007006-T1
GF00003624	TFCN22C4_009900-T1	DBVPG3775_007007-T1
GF00003625	TFCN22C4_005942-T1	DBVPG3775_007009-T1
GF00003626	TFCN22C4_009895-T1	DBVPG3775_007508-T1
GF00003627	TFCN22C4_009894-T1	DBVPG3775_007509-T1
GF00003628	TFCN22C4_005949-T1	DBVPG3775_007512-T1
GF00003629	TFCN22C4_009890-T1	DBVPG3775_007513-T1
GF00003630	TFCN22C4_005952-T1	DBVPG3775_007515-T1
GF00003631	TFCN22C4_005953-T1	DBVPG3775_007516-T1
GF00003632	TFCN22C4_009884-T1	DBVPG3775_007547-T1
GF00003633	TFCN22C4_005961-T1	DBVPG3775_006645-T1
GF00003634	TFCN22C4_005962-T1	DBVPG3775_006646-T1
GF00003635	TFCN22C4_013422-T1	DBVPG3775_006650-T1
GF00003636	TFCN22C4_013423-T1	DBVPG3775_006651-T1
GF00003637	TFCN22C4_005969-T1	DBVPG3775_006653-T1
GF00003638	TFCN22C4_005973-T1	DBVPG3775_006657-T1
GF00003639	TFCN22C4_011059-T1	DBVPG3775_006660-T1
GF00003640	TFCN22C4_011058-T1	DBVPG3775_006661-T1
GF00003641	TFCN22C4_005978-T1	DBVPG3775_006663-T1
GF00003642	TFCN22C4_005979-T1	DBVPG3775_006664-T1
GF00003643	TFCN22C4_005980-T1	DBVPG3775_006665-T1
GF00003644	TFCN22C4_011053-T1	DBVPG3775_006666-T1
GF00003645	TFCN22C4_005983-T1	DBVPG3775_006668-T1
GF00003646	TFCN22C4_005986-T1	DBVPG3775_006671-T1
GF00003647	TFCN22C4_011047-T1	DBVPG3775_006672-T1
GF00003648	TFCN22C4_005989-T1	DBVPG3775_006674-T1
GF00003649	TFCN22C4_005990-T1	DBVPG3775_006675-T1
GF00003650	TFCN22C4_005991-T1	DBVPG3775_006676-T1
GF00003651	TFCN22C4_005993-T1	DBVPG3775_006678-T1
GF00003652	TFCN22C4_005994-T1	DBVPG3775_006679-T1
GF00003653	TFCN22C4_005995-T1	DBVPG3775_006680-T1
GF00003654	TFCN22C4_005996-T1	DBVPG3775_006681-T1
GF00003655	TFCN22C4_005997-T1	DBVPG3775_006682-T1
GF00003656	TFCN22C4_005998-T1	DBVPG3775_006683-T1
GF00003657	TFCN22C4_011034-T1	DBVPG3775_006686-T1
GF00003658	TFCN22C4_006002-T1	DBVPG3775_006687-T1
