	Rhodotorula_mucilaginosa_TFCN_17Y-278-1.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00002405	TFCN17Y2781_002171-T1, TFCN17Y2781_002941-T1	DBVPG3775_002268-T1
GF00002406	TFCN17Y2781_002174-T1, TFCN17Y2781_002943-T1	DBVPG3775_002265-T1
GF00002407	TFCN17Y2781_002175-T1, TFCN17Y2781_002944-T1	DBVPG3775_002264-T1
GF00002408	TFCN17Y2781_002176-T1, TFCN17Y2781_002945-T1	DBVPG3775_002263-T1
GF00002409	TFCN17Y2781_002177-T1, TFCN17Y2781_002946-T1	DBVPG3775_002262-T1
GF00002410	TFCN17Y2781_002178-T1, TFCN17Y2781_002947-T1	DBVPG3775_002261-T1
GF00002411	TFCN17Y2781_002180-T1, TFCN17Y2781_002949-T1	DBVPG3775_002258-T1
GF00002412	TFCN17Y2781_002183-T1, TFCN17Y2781_002952-T1	DBVPG3775_002255-T1
GF00002413	TFCN17Y2781_002184-T1, TFCN17Y2781_002953-T1	DBVPG3775_002254-T1
GF00002414	TFCN17Y2781_002185-T1, TFCN17Y2781_002954-T1	DBVPG3775_002253-T1
GF00002415	TFCN17Y2781_002186-T1, TFCN17Y2781_002955-T1	DBVPG3775_002252-T1
GF00002416	TFCN17Y2781_002187-T1, TFCN17Y2781_002956-T1	DBVPG3775_002251-T1
GF00002417	TFCN17Y2781_002188-T1, TFCN17Y2781_002957-T1	DBVPG3775_002250-T1
GF00002418	TFCN17Y2781_002189-T1, TFCN17Y2781_002958-T1	DBVPG3775_002249-T1
GF00002419	TFCN17Y2781_002190-T1, TFCN17Y2781_002959-T1	DBVPG3775_002248-T1
GF00002420	TFCN17Y2781_002191-T1, TFCN17Y2781_002960-T1	DBVPG3775_002247-T1
GF00002421	TFCN17Y2781_002192-T1, TFCN17Y2781_002961-T1	DBVPG3775_002246-T1
GF00002422	TFCN17Y2781_002193-T1, TFCN17Y2781_002962-T1	DBVPG3775_002245-T1
GF00002423	TFCN17Y2781_002194-T1, TFCN17Y2781_002963-T1	DBVPG3775_002244-T1
GF00002424	TFCN17Y2781_002195-T1, TFCN17Y2781_002964-T1	DBVPG3775_002243-T1
GF00002425	TFCN17Y2781_002196-T1, TFCN17Y2781_002965-T1	DBVPG3775_002242-T1
GF00002426	TFCN17Y2781_002197-T1, TFCN17Y2781_002966-T1	DBVPG3775_002241-T1
GF00002427	TFCN17Y2781_002200-T1, TFCN17Y2781_002969-T1	DBVPG3775_002237-T1
GF00002428	TFCN17Y2781_002202-T1, TFCN17Y2781_002971-T1	DBVPG3775_002235-T1
GF00002429	TFCN17Y2781_002204-T1, TFCN17Y2781_002972-T1	DBVPG3775_002233-T1
GF00002430	TFCN17Y2781_002205-T1, TFCN17Y2781_002973-T1	DBVPG3775_002232-T1
GF00002431	TFCN17Y2781_002206-T1, TFCN17Y2781_002974-T1	DBVPG3775_002231-T1
GF00002432	TFCN17Y2781_002209-T1, TFCN17Y2781_002977-T1	DBVPG3775_002228-T1
GF00002433	TFCN17Y2781_002210-T1, TFCN17Y2781_002978-T1	DBVPG3775_002227-T1
GF00002434	TFCN17Y2781_002214-T1, TFCN17Y2781_002983-T1	DBVPG3775_002223-T1
GF00002435	TFCN17Y2781_002215-T1, TFCN17Y2781_002984-T1	DBVPG3775_002222-T1
GF00002436	TFCN17Y2781_002216-T1, TFCN17Y2781_002985-T1	DBVPG3775_002221-T1
GF00002437	TFCN17Y2781_002221-T1, TFCN17Y2781_002989-T1	DBVPG3775_002217-T1
GF00002438	TFCN17Y2781_002224-T1, TFCN17Y2781_002992-T1	DBVPG3775_002214-T1
GF00002439	TFCN17Y2781_002225-T1, TFCN17Y2781_002993-T1	DBVPG3775_002213-T1
GF00002440	TFCN17Y2781_002233-T1, TFCN17Y2781_002997-T1	DBVPG3775_002204-T1
GF00002441	TFCN17Y2781_002234-T1, TFCN17Y2781_002998-T1	DBVPG3775_002203-T1
GF00002442	TFCN17Y2781_002237-T1, TFCN17Y2781_003000-T1	DBVPG3775_002201-T1
GF00002443	TFCN17Y2781_002238-T1, TFCN17Y2781_003001-T1	DBVPG3775_002200-T1
GF00002444	TFCN17Y2781_002239-T1, TFCN17Y2781_003002-T1	DBVPG3775_002199-T1
GF00002445	TFCN17Y2781_002240-T1, TFCN17Y2781_003003-T1	DBVPG3775_002198-T1
GF00002446	TFCN17Y2781_002241-T1, TFCN17Y2781_003004-T1	DBVPG3775_002197-T1
GF00002447	TFCN17Y2781_002246-T1, TFCN17Y2781_003009-T1	DBVPG3775_002187-T1
GF00002448	TFCN17Y2781_002247-T1, TFCN17Y2781_003010-T1	DBVPG3775_002186-T1
GF00002449	TFCN17Y2781_002248-T1, TFCN17Y2781_003011-T1	DBVPG3775_002185-T1
GF00002450	TFCN17Y2781_002249-T1, TFCN17Y2781_003012-T1	DBVPG3775_002184-T1
GF00002451	TFCN17Y2781_002250-T1, TFCN17Y2781_003013-T1	DBVPG3775_002183-T1
GF00002452	TFCN17Y2781_002251-T1, TFCN17Y2781_003014-T1	DBVPG3775_002182-T1
GF00002453	TFCN17Y2781_002254-T1, TFCN17Y2781_003018-T1	DBVPG3775_002176-T1
GF00002454	TFCN17Y2781_002255-T1, TFCN17Y2781_003019-T1	DBVPG3775_002175-T1
GF00002455	TFCN17Y2781_002257-T1, TFCN17Y2781_003021-T1	DBVPG3775_002173-T1
GF00002456	TFCN17Y2781_002258-T1, TFCN17Y2781_003022-T1	DBVPG3775_002172-T1
GF00002457	TFCN17Y2781_002259-T1, TFCN17Y2781_003023-T1	DBVPG3775_002171-T1
GF00002458	TFCN17Y2781_002260-T1, TFCN17Y2781_003024-T1	DBVPG3775_002170-T1
GF00002459	TFCN17Y2781_002264-T1, TFCN17Y2781_003027-T1	DBVPG3775_002166-T1
GF00002460	TFCN17Y2781_002266-T1, TFCN17Y2781_003029-T1	DBVPG3775_002164-T1
GF00002461	TFCN17Y2781_002267-T1, TFCN17Y2781_003030-T1	DBVPG3775_002163-T1
GF00002462	TFCN17Y2781_002269-T1, TFCN17Y2781_003032-T1	DBVPG3775_002161-T1
GF00002463	TFCN17Y2781_002275-T1, TFCN17Y2781_003040-T1	DBVPG3775_002154-T1
GF00002464	TFCN17Y2781_002276-T1, TFCN17Y2781_003041-T1	DBVPG3775_002153-T1
GF00002465	TFCN17Y2781_002277-T1, TFCN17Y2781_003042-T1	DBVPG3775_002152-T1
GF00002466	TFCN17Y2781_002278-T1, TFCN17Y2781_003043-T1	DBVPG3775_002151-T1
GF00002467	TFCN17Y2781_002279-T1, TFCN17Y2781_003044-T1	DBVPG3775_002150-T1
GF00002468	TFCN17Y2781_002280-T1, TFCN17Y2781_003045-T1	DBVPG3775_002149-T1
GF00002469	TFCN17Y2781_002281-T1, TFCN17Y2781_003046-T1	DBVPG3775_002148-T1
GF00002470	TFCN17Y2781_002282-T1, TFCN17Y2781_003047-T1	DBVPG3775_002147-T1
GF00002471	TFCN17Y2781_002285-T1, TFCN17Y2781_003051-T1	DBVPG3775_002143-T1
GF00002472	TFCN17Y2781_002286-T1, TFCN17Y2781_003052-T1	DBVPG3775_002142-T1
GF00002473	TFCN17Y2781_002287-T1, TFCN17Y2781_003053-T1	DBVPG3775_002141-T1
GF00002474	TFCN17Y2781_002288-T1, TFCN17Y2781_003054-T1	DBVPG3775_002140-T1
GF00002475	TFCN17Y2781_002289-T1, TFCN17Y2781_003055-T1	DBVPG3775_002139-T1
GF00002476	TFCN17Y2781_002293-T1, TFCN17Y2781_003059-T1	DBVPG3775_002134-T1
GF00002477	TFCN17Y2781_002294-T1, TFCN17Y2781_003060-T1	DBVPG3775_002133-T1
GF00002478	TFCN17Y2781_002295-T1, TFCN17Y2781_003061-T1	DBVPG3775_002132-T1
GF00002479	TFCN17Y2781_002296-T1, TFCN17Y2781_003062-T1	DBVPG3775_002131-T1
GF00002480	TFCN17Y2781_002297-T1, TFCN17Y2781_003063-T1	DBVPG3775_002130-T1
GF00002481	TFCN17Y2781_002298-T1, TFCN17Y2781_003064-T1	DBVPG3775_002129-T1
GF00002482	TFCN17Y2781_002342-T1, TFCN17Y2781_011114-T1	DBVPG3775_000303-T1
GF00002483	TFCN17Y2781_002343-T1, TFCN17Y2781_011115-T1	DBVPG3775_000304-T1
GF00002484	TFCN17Y2781_002344-T1, TFCN17Y2781_011116-T1	DBVPG3775_000305-T1
GF00002485	TFCN17Y2781_010712-T1, TFCN17Y2781_002431-T1	DBVPG3775_000401-T1
GF00002486	TFCN17Y2781_002346-T1, TFCN17Y2781_011118-T1	DBVPG3775_000307-T1
GF00002487	TFCN17Y2781_002347-T1, TFCN17Y2781_011119-T1	DBVPG3775_000308-T1
GF00002488	TFCN17Y2781_002348-T1, TFCN17Y2781_011120-T1	DBVPG3775_000309-T1
GF00002489	TFCN17Y2781_002350-T1, TFCN17Y2781_011122-T1	DBVPG3775_000311-T1
GF00002490	TFCN17Y2781_002352-T1, TFCN17Y2781_011124-T1	DBVPG3775_000313-T1
GF00002491	TFCN17Y2781_002353-T1, TFCN17Y2781_011125-T1	DBVPG3775_000314-T1
GF00002492	TFCN17Y2781_002355-T1, TFCN17Y2781_011127-T1	DBVPG3775_000316-T1
GF00002493	TFCN17Y2781_002357-T1, TFCN17Y2781_011129-T1	DBVPG3775_000318-T1
GF00002494	TFCN17Y2781_002358-T1, TFCN17Y2781_011130-T1	DBVPG3775_000319-T1
GF00002495	TFCN17Y2781_002359-T1, TFCN17Y2781_011131-T1	DBVPG3775_000320-T1
GF00002496	TFCN17Y2781_002360-T1, TFCN17Y2781_011132-T1	DBVPG3775_000321-T1
GF00002497	TFCN17Y2781_002361-T1, TFCN17Y2781_011133-T1	DBVPG3775_000322-T1
GF00002498	TFCN17Y2781_002362-T1, TFCN17Y2781_011134-T1	DBVPG3775_000323-T1
GF00002499	TFCN17Y2781_002363-T1, TFCN17Y2781_011135-T1	DBVPG3775_000324-T1
GF00002500	TFCN17Y2781_002364-T1, TFCN17Y2781_011136-T1	DBVPG3775_000325-T1
GF00002501	TFCN17Y2781_002365-T1, TFCN17Y2781_011137-T1	DBVPG3775_000326-T1
GF00002502	TFCN17Y2781_002370-T1, TFCN17Y2781_011140-T1	DBVPG3775_000331-T1
GF00002503	TFCN17Y2781_002371-T1, TFCN17Y2781_011141-T1	DBVPG3775_000332-T1
GF00002504	TFCN17Y2781_002374-T1, TFCN17Y2781_011144-T1	DBVPG3775_000336-T1
GF00002505	TFCN17Y2781_002375-T1, TFCN17Y2781_011145-T1	DBVPG3775_000337-T1
GF00002506	TFCN17Y2781_002376-T1, TFCN17Y2781_011146-T1	DBVPG3775_000338-T1
GF00002507	TFCN17Y2781_002378-T1, TFCN17Y2781_011149-T1	DBVPG3775_000341-T1
GF00002508	TFCN17Y2781_002379-T1, TFCN17Y2781_011150-T1	DBVPG3775_000342-T1
GF00002509	TFCN17Y2781_002384-T1, TFCN17Y2781_012634-T1	DBVPG3775_000347-T1
GF00002510	TFCN17Y2781_002385-T1, TFCN17Y2781_012635-T1	DBVPG3775_000348-T1
GF00002511	TFCN17Y2781_002386-T1, TFCN17Y2781_012636-T1	DBVPG3775_000349-T1
GF00002512	TFCN17Y2781_002389-T1, TFCN17Y2781_010706-T1	DBVPG3775_000352-T1
GF00002513	TFCN17Y2781_002390-T1, TFCN17Y2781_010705-T1	DBVPG3775_000353-T1
GF00002514	TFCN17Y2781_002392-T1, TFCN17Y2781_010703-T1	DBVPG3775_000355-T1
GF00002515	TFCN17Y2781_002393-T1, TFCN17Y2781_010702-T1	DBVPG3775_000356-T1
GF00002516	TFCN17Y2781_002395-T1, TFCN17Y2781_010700-T1	DBVPG3775_000358-T1
GF00002517	TFCN17Y2781_002396-T1, TFCN17Y2781_010699-T1	DBVPG3775_000359-T1
GF00002518	TFCN17Y2781_002399-T1, TFCN17Y2781_010696-T1	DBVPG3775_000362-T1
GF00002519	TFCN17Y2781_002400-T1, TFCN17Y2781_010695-T1	DBVPG3775_000363-T1
GF00002520	TFCN17Y2781_002404-T1, TFCN17Y2781_013144-T1	DBVPG3775_000370-T1
GF00002521	TFCN17Y2781_002405-T1, TFCN17Y2781_013143-T1	DBVPG3775_000372-T1
GF00002522	TFCN17Y2781_002411-T1, TFCN17Y2781_013139-T1	DBVPG3775_000380-T1
GF00002523	TFCN17Y2781_002412-T1, TFCN17Y2781_012651-T1	DBVPG3775_000381-T1
GF00002524	TFCN17Y2781_002413-T1, TFCN17Y2781_012650-T1	DBVPG3775_000382-T1
GF00002525	TFCN17Y2781_002414-T1, TFCN17Y2781_012649-T1	DBVPG3775_000383-T1
GF00002526	TFCN17Y2781_002415-T1, TFCN17Y2781_012648-T1	DBVPG3775_000384-T1
GF00002527	TFCN17Y2781_002416-T1, TFCN17Y2781_012647-T1	DBVPG3775_000385-T1
GF00002528	TFCN17Y2781_002417-T1, TFCN17Y2781_012646-T1	DBVPG3775_000386-T1
GF00002529	TFCN17Y2781_002420-T1, TFCN17Y2781_012644-T1	DBVPG3775_000389-T1
GF00002530	TFCN17Y2781_002421-T1, TFCN17Y2781_012643-T1	DBVPG3775_000390-T1
GF00002531	TFCN17Y2781_002422-T1, TFCN17Y2781_012642-T1	DBVPG3775_000391-T1
GF00002532	TFCN17Y2781_002423-T1, TFCN17Y2781_012641-T1	DBVPG3775_000392-T1
GF00002533	TFCN17Y2781_002424-T1, TFCN17Y2781_012640-T1	DBVPG3775_000393-T1
GF00002534	TFCN17Y2781_002425-T1, TFCN17Y2781_012639-T1	DBVPG3775_000394-T1
GF00002535	TFCN17Y2781_002427-T1, TFCN17Y2781_010708-T1	DBVPG3775_000396-T1
GF00002536	TFCN17Y2781_002432-T1, TFCN17Y2781_010713-T1	DBVPG3775_000402-T1
GF00002537	TFCN17Y2781_002435-T1, TFCN17Y2781_010718-T1	DBVPG3775_000407-T1
GF00002538	TFCN17Y2781_002436-T1, TFCN17Y2781_010719-T1	DBVPG3775_000408-T1
GF00002539	TFCN17Y2781_002437-T1, TFCN17Y2781_010720-T1	DBVPG3775_000409-T1
GF00002540	TFCN17Y2781_002438-T1, TFCN17Y2781_010721-T1	DBVPG3775_000410-T1
GF00002541	TFCN17Y2781_002440-T1, TFCN17Y2781_010723-T1	DBVPG3775_000412-T1
GF00002542	TFCN17Y2781_002441-T1, TFCN17Y2781_010724-T1	DBVPG3775_000413-T1
GF00002543	TFCN17Y2781_002443-T1, TFCN17Y2781_010726-T1	DBVPG3775_000415-T1
GF00002544	TFCN17Y2781_002458-T1, TFCN17Y2781_010933-T1	DBVPG3775_003467-T1
GF00002545	TFCN17Y2781_002459-T1, TFCN17Y2781_010934-T1	DBVPG3775_003468-T1
GF00002546	TFCN17Y2781_002460-T1, TFCN17Y2781_010935-T1	DBVPG3775_003469-T1
GF00002547	TFCN17Y2781_002463-T1, TFCN17Y2781_010940-T1	DBVPG3775_003472-T1
GF00002548	TFCN17Y2781_002464-T1, TFCN17Y2781_010941-T1	DBVPG3775_003473-T1
GF00002549	TFCN17Y2781_002465-T1, TFCN17Y2781_010942-T1	DBVPG3775_003474-T1
GF00002550	TFCN17Y2781_002466-T1, TFCN17Y2781_010943-T1	DBVPG3775_003475-T1
GF00002551	TFCN17Y2781_002467-T1, TFCN17Y2781_010944-T1	DBVPG3775_003476-T1
GF00002552	TFCN17Y2781_002468-T1, TFCN17Y2781_010945-T1	DBVPG3775_003477-T1
GF00002553	TFCN17Y2781_002480-T1, TFCN17Y2781_010958-T1	DBVPG3775_003490-T1
GF00002554	TFCN17Y2781_002470-T1, TFCN17Y2781_010948-T1	DBVPG3775_003480-T1
GF00002555	TFCN17Y2781_002472-T1, TFCN17Y2781_010950-T1	DBVPG3775_003482-T1
GF00002556	TFCN17Y2781_002473-T1, TFCN17Y2781_010951-T1	DBVPG3775_003483-T1
GF00002557	TFCN17Y2781_002474-T1, TFCN17Y2781_010952-T1	DBVPG3775_003484-T1
GF00002558	TFCN17Y2781_002475-T1, TFCN17Y2781_010953-T1	DBVPG3775_003485-T1
GF00002559	TFCN17Y2781_002476-T1, TFCN17Y2781_010954-T1	DBVPG3775_003486-T1
GF00002560	TFCN17Y2781_002478-T1, TFCN17Y2781_010956-T1	DBVPG3775_003488-T1
GF00002561	TFCN17Y2781_002482-T1, TFCN17Y2781_012561-T1	DBVPG3775_003492-T1
GF00002562	TFCN17Y2781_002483-T1, TFCN17Y2781_012562-T1	DBVPG3775_003493-T1
GF00002563	TFCN17Y2781_002484-T1, TFCN17Y2781_012563-T1	DBVPG3775_003494-T1
GF00002564	TFCN17Y2781_002485-T1, TFCN17Y2781_012564-T1	DBVPG3775_003495-T1
GF00002565	TFCN17Y2781_002488-T1, TFCN17Y2781_012567-T1	DBVPG3775_003498-T1
GF00002566	TFCN17Y2781_002489-T1, TFCN17Y2781_012568-T1	DBVPG3775_003499-T1
GF00002567	TFCN17Y2781_002490-T1, TFCN17Y2781_012569-T1	DBVPG3775_003500-T1
GF00002568	TFCN17Y2781_002493-T1, TFCN17Y2781_012572-T1	DBVPG3775_003504-T1
GF00002569	TFCN17Y2781_002494-T1, TFCN17Y2781_012573-T1	DBVPG3775_003505-T1
GF00002570	TFCN17Y2781_002495-T1, TFCN17Y2781_012574-T1	DBVPG3775_003506-T1
GF00002571	TFCN17Y2781_002496-T1, TFCN17Y2781_012575-T1	DBVPG3775_003507-T1
GF00002572	TFCN17Y2781_002497-T1, TFCN17Y2781_012576-T1	DBVPG3775_003508-T1
GF00002573	TFCN17Y2781_002498-T1, TFCN17Y2781_012577-T1	DBVPG3775_003509-T1
GF00002574	TFCN17Y2781_002499-T1, TFCN17Y2781_010396-T1	DBVPG3775_003443-T1
GF00002575	TFCN17Y2781_002502-T1, TFCN17Y2781_013219-T1	DBVPG3775_003513-T1
GF00002576	TFCN17Y2781_002503-T1, TFCN17Y2781_013220-T1	DBVPG3775_003514-T1
GF00002577	TFCN17Y2781_006384-T1, TFCN17Y2781_009640-T1	DBVPG3775_001409-T1
GF00002578	TFCN17Y2781_002504-T1, TFCN17Y2781_013221-T1	DBVPG3775_003515-T1
GF00002579	TFCN17Y2781_002505-T1, TFCN17Y2781_013222-T1	DBVPG3775_003516-T1
GF00002580	TFCN17Y2781_002506-T1, TFCN17Y2781_013223-T1	DBVPG3775_003517-T1
GF00002581	TFCN17Y2781_002507-T1, TFCN17Y2781_013224-T1	DBVPG3775_003518-T1
GF00002582	TFCN17Y2781_002510-T1, TFCN17Y2781_007311-T1	DBVPG3775_003521-T1
GF00002583	TFCN17Y2781_002511-T1, TFCN17Y2781_007310-T1	DBVPG3775_003522-T1
GF00002584	TFCN17Y2781_002514-T1, TFCN17Y2781_007307-T1	DBVPG3775_003525-T1
GF00002585	TFCN17Y2781_002515-T1, TFCN17Y2781_007306-T1	DBVPG3775_003526-T1
GF00002586	TFCN17Y2781_002516-T1, TFCN17Y2781_007305-T1	DBVPG3775_003527-T1
GF00002587	TFCN17Y2781_002517-T1, TFCN17Y2781_007304-T1	DBVPG3775_003528-T1
GF00002588	TFCN17Y2781_002519-T1, TFCN17Y2781_007301-T1	DBVPG3775_003531-T1
GF00002589	TFCN17Y2781_002520-T1, TFCN17Y2781_007300-T1	DBVPG3775_003532-T1
GF00002590	TFCN17Y2781_002521-T1, TFCN17Y2781_007299-T1	DBVPG3775_003533-T1
GF00002591	TFCN17Y2781_002522-T1, TFCN17Y2781_007298-T1	DBVPG3775_003534-T1
GF00002592	TFCN17Y2781_002523-T1, TFCN17Y2781_007297-T1	DBVPG3775_003535-T1
GF00002593	TFCN17Y2781_002526-T1, TFCN17Y2781_007295-T1	DBVPG3775_003538-T1
GF00002594	TFCN17Y2781_009879-T1, TFCN17Y2781_009466-T1	DBVPG3775_001591-T1
GF00002595	TFCN17Y2781_007430-T1, TFCN17Y2781_004548-T1	DBVPG3775_001803-T1
GF00002596	TFCN17Y2781_002532-T1, TFCN17Y2781_007289-T1	DBVPG3775_005868-T1
GF00002597	TFCN17Y2781_002535-T1, TFCN17Y2781_007284-T1	DBVPG3775_005865-T1
GF00002598	TFCN17Y2781_002536-T1, TFCN17Y2781_007283-T1	DBVPG3775_005864-T1
GF00002599	TFCN17Y2781_002537-T1, TFCN17Y2781_007282-T1	DBVPG3775_005863-T1
GF00002600	TFCN17Y2781_002538-T1, TFCN17Y2781_007281-T1	DBVPG3775_005862-T1
GF00002601	TFCN17Y2781_002541-T1, TFCN17Y2781_007279-T1	DBVPG3775_005860-T1
GF00002602	TFCN17Y2781_002542-T1, TFCN17Y2781_007278-T1	DBVPG3775_005859-T1
GF00002603	TFCN17Y2781_002543-T1, TFCN17Y2781_007277-T1	DBVPG3775_005858-T1
GF00002604	TFCN17Y2781_002547-T1, TFCN17Y2781_007273-T1	DBVPG3775_005854-T1
GF00002605	TFCN17Y2781_002548-T1, TFCN17Y2781_007272-T1	DBVPG3775_005853-T1
GF00002606	TFCN17Y2781_002552-T1, TFCN17Y2781_007269-T1	DBVPG3775_005849-T1
GF00002607	TFCN17Y2781_002555-T1, TFCN17Y2781_007267-T1	DBVPG3775_005846-T1
GF00002608	TFCN17Y2781_002557-T1, TFCN17Y2781_007265-T1	DBVPG3775_005844-T1
GF00002609	TFCN17Y2781_002560-T1, TFCN17Y2781_007262-T1	DBVPG3775_005841-T1
GF00002610	TFCN17Y2781_002561-T1, TFCN17Y2781_007261-T1	DBVPG3775_005840-T1
GF00002611	TFCN17Y2781_002562-T1, TFCN17Y2781_007260-T1	DBVPG3775_005839-T1
GF00002612	TFCN17Y2781_002563-T1, TFCN17Y2781_007259-T1	DBVPG3775_005838-T1
GF00002613	TFCN17Y2781_002564-T1, TFCN17Y2781_007258-T1	DBVPG3775_005837-T1
GF00002614	TFCN17Y2781_002565-T1, TFCN17Y2781_007257-T1	DBVPG3775_005836-T1
GF00002615	TFCN17Y2781_002566-T1, TFCN17Y2781_007256-T1	DBVPG3775_005835-T1
GF00002616	TFCN17Y2781_002568-T1, TFCN17Y2781_007254-T1	DBVPG3775_005832-T1
GF00002617	TFCN17Y2781_002569-T1, TFCN17Y2781_007253-T1	DBVPG3775_005831-T1
GF00002618	TFCN17Y2781_002571-T1, TFCN17Y2781_012891-T1	DBVPG3775_005829-T1
GF00002619	TFCN17Y2781_002576-T1, TFCN17Y2781_007147-T1	DBVPG3775_005824-T1
GF00002620	TFCN17Y2781_002577-T1, TFCN17Y2781_007148-T1	DBVPG3775_005823-T1
GF00002621	TFCN17Y2781_002578-T1, TFCN17Y2781_007149-T1	DBVPG3775_005822-T1
GF00002622	TFCN17Y2781_002579-T1, TFCN17Y2781_007150-T1	DBVPG3775_005821-T1
GF00002623	TFCN17Y2781_002581-T1, TFCN17Y2781_007152-T1	DBVPG3775_005819-T1
GF00002624	TFCN17Y2781_002582-T1, TFCN17Y2781_007153-T1	DBVPG3775_005818-T1
GF00002625	TFCN17Y2781_002584-T1, TFCN17Y2781_007155-T1	DBVPG3775_005816-T1
GF00002626	TFCN17Y2781_002586-T1, TFCN17Y2781_007157-T1	DBVPG3775_005814-T1
GF00002627	TFCN17Y2781_002587-T1, TFCN17Y2781_007158-T1	DBVPG3775_005813-T1
GF00002628	TFCN17Y2781_002589-T1, TFCN17Y2781_007160-T1	DBVPG3775_005811-T1
GF00002629	TFCN17Y2781_002594-T1, TFCN17Y2781_005539-T1	DBVPG3775_005676-T1
GF00002630	TFCN17Y2781_002595-T1, TFCN17Y2781_005540-T1	DBVPG3775_005675-T1
GF00002631	TFCN17Y2781_002597-T1, TFCN17Y2781_005542-T1	DBVPG3775_005673-T1
GF00002632	TFCN17Y2781_002600-T1, TFCN17Y2781_005534-T1	DBVPG3775_005681-T1
GF00002633	TFCN17Y2781_002601-T1, TFCN17Y2781_005533-T1	DBVPG3775_005682-T1
GF00002634	TFCN17Y2781_002602-T1, TFCN17Y2781_005532-T1	DBVPG3775_005683-T1
GF00002635	TFCN17Y2781_002603-T1, TFCN17Y2781_005531-T1	DBVPG3775_005684-T1
GF00002636	TFCN17Y2781_002604-T1, TFCN17Y2781_005530-T1	DBVPG3775_005685-T1
GF00002637	TFCN17Y2781_002605-T1, TFCN17Y2781_005529-T1	DBVPG3775_005686-T1
GF00002638	TFCN17Y2781_002606-T1, TFCN17Y2781_005528-T1	DBVPG3775_005687-T1
GF00002639	TFCN17Y2781_002607-T1, TFCN17Y2781_005527-T1	DBVPG3775_005688-T1
GF00002640	TFCN17Y2781_002609-T1, TFCN17Y2781_005526-T1	DBVPG3775_005690-T1
GF00002641	TFCN17Y2781_003802-T1, TFCN17Y2781_010084-T1	DBVPG3775_004873-T1
GF00002642	TFCN17Y2781_002613-T1, TFCN17Y2781_005522-T1	DBVPG3775_005694-T1
GF00002643	TFCN17Y2781_002615-T1, TFCN17Y2781_005520-T1	DBVPG3775_005697-T1
GF00002644	TFCN17Y2781_002616-T1, TFCN17Y2781_005519-T1	DBVPG3775_005698-T1
GF00002645	TFCN17Y2781_002621-T1, TFCN17Y2781_005513-T1	DBVPG3775_005704-T1
GF00002646	TFCN17Y2781_002622-T1, TFCN17Y2781_005512-T1	DBVPG3775_005705-T1
GF00002647	TFCN17Y2781_002623-T1, TFCN17Y2781_005511-T1	DBVPG3775_005706-T1
GF00002648	TFCN17Y2781_002624-T1, TFCN17Y2781_005510-T1	DBVPG3775_005707-T1
GF00002649	TFCN17Y2781_002625-T1, TFCN17Y2781_005509-T1	DBVPG3775_005708-T1
GF00002650	TFCN17Y2781_002626-T1, TFCN17Y2781_005508-T1	DBVPG3775_005709-T1
GF00002651	TFCN17Y2781_002629-T1, TFCN17Y2781_005503-T1	DBVPG3775_005716-T1
GF00002652	TFCN17Y2781_002631-T1, TFCN17Y2781_005501-T1	DBVPG3775_005718-T1
GF00002653	TFCN17Y2781_002632-T1, TFCN17Y2781_005500-T1	DBVPG3775_005719-T1
GF00002654	TFCN17Y2781_002634-T1, TFCN17Y2781_005497-T1	DBVPG3775_005722-T1
GF00002655	TFCN17Y2781_002635-T1, TFCN17Y2781_005496-T1	DBVPG3775_005723-T1
GF00002656	TFCN17Y2781_002636-T1, TFCN17Y2781_005495-T1	DBVPG3775_005724-T1
GF00002657	TFCN17Y2781_002637-T1, TFCN17Y2781_005494-T1	DBVPG3775_005726-T1
GF00002658	TFCN17Y2781_002638-T1, TFCN17Y2781_005493-T1	DBVPG3775_005727-T1
GF00002659	TFCN17Y2781_002639-T1, TFCN17Y2781_005492-T1	DBVPG3775_004481-T1
GF00002660	TFCN17Y2781_002640-T1, TFCN17Y2781_005491-T1	DBVPG3775_004480-T1
GF00002661	TFCN17Y2781_002642-T1, TFCN17Y2781_005489-T1	DBVPG3775_004478-T1
GF00002662	TFCN17Y2781_002648-T1, TFCN17Y2781_005483-T1	DBVPG3775_004471-T1
GF00002663	TFCN17Y2781_002649-T1, TFCN17Y2781_005482-T1	DBVPG3775_004470-T1
GF00002664	TFCN17Y2781_002651-T1, TFCN17Y2781_005480-T1	DBVPG3775_004468-T1
GF00002665	TFCN17Y2781_002652-T1, TFCN17Y2781_005479-T1	DBVPG3775_004467-T1
GF00002666	TFCN17Y2781_002653-T1, TFCN17Y2781_005478-T1	DBVPG3775_004465-T1
GF00002667	TFCN17Y2781_002654-T1, TFCN17Y2781_005477-T1	DBVPG3775_004464-T1
GF00002668	TFCN17Y2781_002655-T1, TFCN17Y2781_005476-T1	DBVPG3775_004463-T1
GF00002669	TFCN17Y2781_002657-T1, TFCN17Y2781_005474-T1	DBVPG3775_004461-T1
GF00002670	TFCN17Y2781_002658-T1, TFCN17Y2781_005473-T1	DBVPG3775_004460-T1
GF00002671	TFCN17Y2781_002660-T1, TFCN17Y2781_005471-T1	DBVPG3775_004458-T1
