	Rhodotorula_mucilaginosa_CHIFNET_13H1268.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00003172	CHIFNET13H1268_011004-T1	DBVPG3775_005325-T1
GF00003173	CHIFNET13H1268_004031-T1	DBVPG3775_002980-T1
GF00003174	CHIFNET13H1268_011033-T1	DBVPG3775_002982-T1
GF00003175	CHIFNET13H1268_011034-T1	DBVPG3775_002983-T1
GF00003176	CHIFNET13H1268_004035-T1	DBVPG3775_002984-T1
GF00003177	CHIFNET13H1268_004041-T1	DBVPG3775_002989-T1
GF00003178	CHIFNET13H1268_004042-T1	DBVPG3775_002990-T1
GF00003179	CHIFNET13H1268_004045-T1	DBVPG3775_002993-T1
GF00003180	CHIFNET13H1268_004048-T1	DBVPG3775_002996-T1
GF00003181	CHIFNET13H1268_010329-T1	DBVPG3775_006562-T1
GF00003182	CHIFNET13H1268_004050-T1	DBVPG3775_002998-T1
GF00003183	CHIFNET13H1268_011050-T1	DBVPG3775_003001-T1
GF00003184	CHIFNET13H1268_004055-T1	DBVPG3775_003004-T1
GF00003185	CHIFNET13H1268_004058-T1	DBVPG3775_003006-T1
GF00003186	CHIFNET13H1268_004061-T1	DBVPG3775_003009-T1
GF00003187	CHIFNET13H1268_004062-T1	DBVPG3775_003010-T1
GF00003188	CHIFNET13H1268_004063-T1	DBVPG3775_003012-T1
GF00003189	CHIFNET13H1268_004064-T1	DBVPG3775_003013-T1
GF00003190	CHIFNET13H1268_011063-T1	DBVPG3775_003014-T1
GF00003191	CHIFNET13H1268_004067-T1	DBVPG3775_003016-T1
GF00003192	CHIFNET13H1268_004068-T1	DBVPG3775_003017-T1
GF00003193	CHIFNET13H1268_004072-T1	DBVPG3775_003021-T1
GF00003194	CHIFNET13H1268_004073-T1	DBVPG3775_003022-T1
GF00003195	CHIFNET13H1268_011356-T1	DBVPG3775_003025-T1
GF00003196	CHIFNET13H1268_004077-T1	DBVPG3775_003026-T1
GF00003197	CHIFNET13H1268_004079-T1	DBVPG3775_003028-T1
GF00003198	CHIFNET13H1268_004080-T1	DBVPG3775_003029-T1
GF00003199	CHIFNET13H1268_004081-T1	DBVPG3775_003030-T1
GF00003200	CHIFNET13H1268_004084-T1	DBVPG3775_003032-T1
GF00003201	CHIFNET13H1268_004085-T1	DBVPG3775_003033-T1
GF00003202	CHIFNET13H1268_004086-T1	DBVPG3775_003034-T1
GF00003203	CHIFNET13H1268_004088-T1	DBVPG3775_003036-T1
GF00003204	CHIFNET13H1268_011371-T1	DBVPG3775_003037-T1
GF00003205	CHIFNET13H1268_011374-T1	DBVPG3775_003041-T1
GF00003206	CHIFNET13H1268_004093-T1	DBVPG3775_003042-T1
GF00003207	CHIFNET13H1268_004098-T1	DBVPG3775_003046-T1
GF00003208	CHIFNET13H1268_004099-T1	DBVPG3775_003047-T1
GF00003209	CHIFNET13H1268_007909-T1	DBVPG3775_001570-T1
GF00003210	CHIFNET13H1268_007908-T1	DBVPG3775_001569-T1
GF00003211	CHIFNET13H1268_004102-T1	DBVPG3775_001568-T1
GF00003212	CHIFNET13H1268_007906-T1	DBVPG3775_001567-T1
GF00003213	CHIFNET13H1268_007905-T1	DBVPG3775_001566-T1
GF00003214	CHIFNET13H1268_004106-T1	DBVPG3775_001563-T1
GF00003215	CHIFNET13H1268_007902-T1	DBVPG3775_001562-T1
GF00003216	CHIFNET13H1268_007901-T1	DBVPG3775_001561-T1
GF00003217	CHIFNET13H1268_004109-T1	DBVPG3775_001560-T1
GF00003218	CHIFNET13H1268_004110-T1	DBVPG3775_001559-T1
GF00003219	CHIFNET13H1268_004111-T1	DBVPG3775_001558-T1
GF00003220	CHIFNET13H1268_007897-T1	DBVPG3775_001557-T1
GF00003221	CHIFNET13H1268_007895-T1	DBVPG3775_001555-T1
GF00003222	CHIFNET13H1268_004119-T1	DBVPG3775_001552-T1
GF00003223	CHIFNET13H1268_004120-T1	DBVPG3775_001551-T1
GF00003224	CHIFNET13H1268_004127-T1	DBVPG3775_001547-T1
GF00003225	CHIFNET13H1268_007885-T1	DBVPG3775_001545-T1
GF00003226	CHIFNET13H1268_004130-T1	DBVPG3775_001544-T1
GF00003227	CHIFNET13H1268_007883-T1	DBVPG3775_001543-T1
GF00003228	CHIFNET13H1268_004132-T1	DBVPG3775_001542-T1
GF00003229	CHIFNET13H1268_004140-T1	DBVPG3775_001532-T1
GF00003230	CHIFNET13H1268_007872-T1	DBVPG3775_001531-T1
GF00003231	CHIFNET13H1268_007871-T1	DBVPG3775_001530-T1
GF00003232	CHIFNET13H1268_004144-T1	DBVPG3775_001528-T1
GF00003233	CHIFNET13H1268_004145-T1	DBVPG3775_001527-T1
GF00003234	CHIFNET13H1268_007867-T1	DBVPG3775_001526-T1
GF00003235	CHIFNET13H1268_004147-T1	DBVPG3775_001524-T1
GF00003236	CHIFNET13H1268_007865-T1	DBVPG3775_001523-T1
GF00003237	CHIFNET13H1268_004149-T1	DBVPG3775_001522-T1
GF00003238	CHIFNET13H1268_004151-T1	DBVPG3775_001519-T1
GF00003239	CHIFNET13H1268_007859-T1	DBVPG3775_001516-T1
GF00003240	CHIFNET13H1268_004155-T1	DBVPG3775_001515-T1
GF00003241	CHIFNET13H1268_004156-T1	DBVPG3775_001514-T1
GF00003242	CHIFNET13H1268_004158-T1	DBVPG3775_001512-T1
GF00003243	CHIFNET13H1268_007854-T1	DBVPG3775_001511-T1
GF00003244	CHIFNET13H1268_007853-T1	DBVPG3775_001510-T1
GF00003245	CHIFNET13H1268_004162-T1	DBVPG3775_001508-T1
GF00003246	CHIFNET13H1268_004163-T1	DBVPG3775_001507-T1
GF00003247	CHIFNET13H1268_004164-T1	DBVPG3775_001506-T1
GF00003248	CHIFNET13H1268_006568-T1	DBVPG3775_001421-T1
GF00003249	CHIFNET13H1268_006567-T1	DBVPG3775_001422-T1
GF00003250	CHIFNET13H1268_004170-T1	DBVPG3775_001423-T1
GF00003251	CHIFNET13H1268_008870-T1	DBVPG3775_006468-T1
GF00003252	CHIFNET13H1268_008871-T1	DBVPG3775_006469-T1
GF00003253	CHIFNET13H1268_004220-T1	DBVPG3775_006470-T1
GF00003254	CHIFNET13H1268_004221-T1	DBVPG3775_006471-T1
GF00003255	CHIFNET13H1268_004223-T1	DBVPG3775_006473-T1
GF00003256	CHIFNET13H1268_004224-T1	DBVPG3775_006474-T1
GF00003257	CHIFNET13H1268_004225-T1	DBVPG3775_006475-T1
GF00003258	CHIFNET13H1268_007521-T1	DBVPG3775_004231-T1
GF00003259	CHIFNET13H1268_005928-T1	DBVPG3775_001636-T1
GF00003260	CHIFNET13H1268_004227-T1	DBVPG3775_006477-T1
GF00003261	CHIFNET13H1268_004228-T1	DBVPG3775_006478-T1
GF00003262	CHIFNET13H1268_004231-T1	DBVPG3775_006480-T1
GF00003263	CHIFNET13H1268_008884-T1	DBVPG3775_006481-T1
GF00003264	CHIFNET13H1268_008885-T1	DBVPG3775_006482-T1
GF00003265	CHIFNET13H1268_004234-T1	DBVPG3775_006483-T1
GF00003266	CHIFNET13H1268_004236-T1	DBVPG3775_005380-T1
GF00003267	CHIFNET13H1268_004238-T1	DBVPG3775_005378-T1
GF00003268	CHIFNET13H1268_004239-T1	DBVPG3775_005377-T1
GF00003269	CHIFNET13H1268_006863-T1	DBVPG3775_005376-T1
GF00003270	CHIFNET13H1268_006864-T1	DBVPG3775_005375-T1
GF00003271	CHIFNET13H1268_006866-T1	DBVPG3775_005373-T1
GF00003272	CHIFNET13H1268_006868-T1	DBVPG3775_005371-T1
GF00003273	CHIFNET13H1268_004247-T1	DBVPG3775_005369-T1
GF00003274	CHIFNET13H1268_004248-T1	DBVPG3775_005368-T1
GF00003275	CHIFNET13H1268_006872-T1	DBVPG3775_005367-T1
GF00003276	CHIFNET13H1268_006873-T1	DBVPG3775_005366-T1
GF00003277	CHIFNET13H1268_006874-T1	DBVPG3775_005365-T1
GF00003278	CHIFNET13H1268_004252-T1	DBVPG3775_005364-T1
GF00003279	CHIFNET13H1268_004253-T1	DBVPG3775_005363-T1
GF00003280	CHIFNET13H1268_006878-T1	DBVPG3775_005361-T1
GF00003281	CHIFNET13H1268_004256-T1	DBVPG3775_005360-T1
GF00003282	CHIFNET13H1268_006882-T1	DBVPG3775_005357-T1
GF00003283	CHIFNET13H1268_004260-T1	DBVPG3775_005356-T1
GF00003284	CHIFNET13H1268_008908-T1	DBVPG3775_006505-T1
GF00003285	CHIFNET13H1268_008907-T1	DBVPG3775_006504-T1
GF00003286	CHIFNET13H1268_008901-T1	DBVPG3775_006498-T1
GF00003287	CHIFNET13H1268_004269-T1	DBVPG3775_006497-T1
GF00003288	CHIFNET13H1268_008899-T1	DBVPG3775_006496-T1
GF00003289	CHIFNET13H1268_008898-T1	DBVPG3775_006495-T1
GF00003290	CHIFNET13H1268_008897-T1	DBVPG3775_006494-T1
GF00003291	CHIFNET13H1268_008895-T1	DBVPG3775_006492-T1
GF00003292	CHIFNET13H1268_004275-T1	DBVPG3775_006491-T1
GF00003293	CHIFNET13H1268_004276-T1	DBVPG3775_006490-T1
GF00003294	CHIFNET13H1268_004277-T1	DBVPG3775_006489-T1
GF00003295	CHIFNET13H1268_008890-T1	DBVPG3775_006487-T1
GF00003296	CHIFNET13H1268_004280-T1	DBVPG3775_006486-T1
GF00003297	CHIFNET13H1268_004282-T1	DBVPG3775_006484-T1
GF00003298	CHIFNET13H1268_006856-T1	DBVPG3775_005384-T1
GF00003299	CHIFNET13H1268_004286-T1	DBVPG3775_005385-T1
GF00003300	CHIFNET13H1268_004287-T1	DBVPG3775_005386-T1
GF00003301	CHIFNET13H1268_004290-T1	DBVPG3775_005413-T1
GF00003302	CHIFNET13H1268_004291-T1	DBVPG3775_005412-T1
GF00003303	CHIFNET13H1268_006831-T1	DBVPG3775_005408-T1
GF00003304	CHIFNET13H1268_006833-T1	DBVPG3775_005406-T1
GF00003305	CHIFNET13H1268_006834-T1	DBVPG3775_005405-T1
GF00003306	CHIFNET13H1268_004298-T1	DBVPG3775_005404-T1
GF00003307	CHIFNET13H1268_006836-T1	DBVPG3775_005403-T1
GF00003308	CHIFNET13H1268_006839-T1	DBVPG3775_005402-T1
GF00003309	CHIFNET13H1268_004301-T1	DBVPG3775_005401-T1
GF00003310	CHIFNET13H1268_004304-T1	DBVPG3775_005398-T1
GF00003311	CHIFNET13H1268_006843-T1	DBVPG3775_005397-T1
GF00003312	CHIFNET13H1268_004306-T1	DBVPG3775_005396-T1
GF00003313	CHIFNET13H1268_004307-T1	DBVPG3775_005395-T1
GF00003314	CHIFNET13H1268_006846-T1	DBVPG3775_005394-T1
GF00003315	CHIFNET13H1268_006847-T1	DBVPG3775_005393-T1
GF00003316	CHIFNET13H1268_004312-T1	DBVPG3775_005390-T1
GF00003317	CHIFNET13H1268_006851-T1	DBVPG3775_005389-T1
GF00003318	CHIFNET13H1268_006852-T1	DBVPG3775_005388-T1
GF00003319	CHIFNET13H1268_007078-T1	DBVPG3775_000343-T1
GF00003320	CHIFNET13H1268_012447-T1	DBVPG3775_005882-T1
GF00003321	CHIFNET13H1268_004321-T1	DBVPG3775_005881-T1
GF00003322	CHIFNET13H1268_004322-T1	DBVPG3775_005880-T1
GF00003323	CHIFNET13H1268_004323-T1	DBVPG3775_005879-T1
GF00003324	CHIFNET13H1268_012451-T1	DBVPG3775_005878-T1
GF00003325	CHIFNET13H1268_004325-T1	DBVPG3775_005877-T1
GF00003326	CHIFNET13H1268_004326-T1	DBVPG3775_005876-T1
GF00003327	CHIFNET13H1268_004328-T1	DBVPG3775_007091-T1
GF00003328	CHIFNET13H1268_004329-T1	DBVPG3775_007090-T1
GF00003329	CHIFNET13H1268_004332-T1	DBVPG3775_007087-T1
GF00003330	CHIFNET13H1268_004334-T1	DBVPG3775_007085-T1
GF00003331	CHIFNET13H1268_004335-T1	DBVPG3775_007084-T1
GF00003332	CHIFNET13H1268_012464-T1	DBVPG3775_007082-T1
GF00003333	CHIFNET13H1268_004338-T1	DBVPG3775_007081-T1
GF00003334	CHIFNET13H1268_004339-T1	DBVPG3775_007080-T1
GF00003335	CHIFNET13H1268_004342-T1	DBVPG3775_007077-T1
GF00003336	CHIFNET13H1268_004343-T1	DBVPG3775_007076-T1
GF00003337	CHIFNET13H1268_012621-T1	DBVPG3775_007075-T1
GF00003338	CHIFNET13H1268_012624-T1	DBVPG3775_007072-T1
GF00003339	CHIFNET13H1268_012625-T1	DBVPG3775_007071-T1
GF00003340	CHIFNET13H1268_004350-T1	DBVPG3775_007070-T1
GF00003341	CHIFNET13H1268_004351-T1	DBVPG3775_007069-T1
GF00003342	CHIFNET13H1268_004353-T1	DBVPG3775_007067-T1
GF00003343	CHIFNET13H1268_004354-T1	DBVPG3775_007066-T1
GF00003344	CHIFNET13H1268_012631-T1	DBVPG3775_007065-T1
GF00003345	CHIFNET13H1268_004356-T1	DBVPG3775_007064-T1
GF00003346	CHIFNET13H1268_004358-T1	DBVPG3775_007062-T1
GF00003347	CHIFNET13H1268_012635-T1	DBVPG3775_007061-T1
GF00003348	CHIFNET13H1268_012636-T1	DBVPG3775_007060-T1
GF00003349	CHIFNET13H1268_012638-T1	DBVPG3775_007058-T1
GF00003350	CHIFNET13H1268_004363-T1	DBVPG3775_007057-T1
GF00003351	CHIFNET13H1268_012641-T1	DBVPG3775_007055-T1
GF00003352	CHIFNET13H1268_004366-T1	DBVPG3775_007054-T1
GF00003353	CHIFNET13H1268_004367-T1	DBVPG3775_007053-T1
GF00003354	CHIFNET13H1268_004368-T1	DBVPG3775_007052-T1
GF00003355	CHIFNET13H1268_004369-T1	DBVPG3775_007051-T1
GF00003356	CHIFNET13H1268_004372-T1	DBVPG3775_004115-T1
GF00003357	CHIFNET13H1268_004374-T1	DBVPG3775_004118-T1
GF00003358	CHIFNET13H1268_014511-T1	DBVPG3775_004119-T1
GF00003359	CHIFNET13H1268_004376-T1	DBVPG3775_004120-T1
GF00003360	CHIFNET13H1268_004379-T1	DBVPG3775_004123-T1
GF00003361	CHIFNET13H1268_004381-T1	DBVPG3775_004125-T1
GF00003362	CHIFNET13H1268_008240-T1	DBVPG3775_002306-T1
GF00003363	CHIFNET13H1268_004382-T1	DBVPG3775_004126-T1
GF00003364	CHIFNET13H1268_004384-T1	DBVPG3775_004128-T1
GF00003365	CHIFNET13H1268_012104-T1	DBVPG3775_004129-T1
GF00003366	CHIFNET13H1268_004386-T1	DBVPG3775_004130-T1
GF00003367	CHIFNET13H1268_004387-T1	DBVPG3775_004131-T1
GF00003368	CHIFNET13H1268_004392-T1	DBVPG3775_004137-T1
GF00003369	CHIFNET13H1268_004393-T1	DBVPG3775_004138-T1
GF00003370	CHIFNET13H1268_004395-T1	DBVPG3775_004140-T1
GF00003371	CHIFNET13H1268_004398-T1	DBVPG3775_004143-T1
GF00003372	CHIFNET13H1268_012117-T1	DBVPG3775_004144-T1
GF00003373	CHIFNET13H1268_004401-T1	DBVPG3775_004146-T1
GF00003374	CHIFNET13H1268_012120-T1	DBVPG3775_004147-T1
GF00003375	CHIFNET13H1268_004421-T1	DBVPG3775_006851-T1
GF00003376	CHIFNET13H1268_004423-T1	DBVPG3775_006849-T1
GF00003377	CHIFNET13H1268_004424-T1	DBVPG3775_006847-T1
GF00003378	CHIFNET13H1268_006404-T1	DBVPG3775_006846-T1
GF00003379	CHIFNET13H1268_006398-T1	DBVPG3775_006840-T1
GF00003380	CHIFNET13H1268_004433-T1	DBVPG3775_006839-T1
GF00003381	CHIFNET13H1268_004434-T1	DBVPG3775_006838-T1
GF00003382	CHIFNET13H1268_006393-T1	DBVPG3775_006835-T1
GF00003383	CHIFNET13H1268_004437-T1	DBVPG3775_006834-T1
GF00003384	CHIFNET13H1268_004440-T1	DBVPG3775_006831-T1
GF00003385	CHIFNET13H1268_006383-T1	DBVPG3775_006824-T1
GF00003386	CHIFNET13H1268_004444-T1	DBVPG3775_006823-T1
GF00003387	CHIFNET13H1268_004447-T1	DBVPG3775_006820-T1
GF00003388	CHIFNET13H1268_004448-T1	DBVPG3775_006819-T1
GF00003389	CHIFNET13H1268_004450-T1	DBVPG3775_006817-T1
GF00003390	CHIFNET13H1268_006375-T1	DBVPG3775_006816-T1
GF00003391	CHIFNET13H1268_006373-T1	DBVPG3775_006900-T1
GF00003392	CHIFNET13H1268_006372-T1	DBVPG3775_006899-T1
GF00003393	CHIFNET13H1268_004459-T1	DBVPG3775_006895-T1
GF00003394	CHIFNET13H1268_006368-T1	DBVPG3775_006894-T1
GF00003395	CHIFNET13H1268_006367-T1	DBVPG3775_006893-T1
GF00003396	CHIFNET13H1268_006365-T1	DBVPG3775_006891-T1
GF00003397	CHIFNET13H1268_004466-T1	DBVPG3775_006868-T1
GF00003398	CHIFNET13H1268_004467-T1	DBVPG3775_006870-T1
GF00003399	CHIFNET13H1268_006344-T1	DBVPG3775_006871-T1
GF00003400	CHIFNET13H1268_004470-T1	DBVPG3775_006873-T1
GF00003401	CHIFNET13H1268_006348-T1	DBVPG3775_006875-T1
GF00003402	CHIFNET13H1268_004477-T1	DBVPG3775_006882-T1
GF00003403	CHIFNET13H1268_004478-T1	DBVPG3775_006883-T1
GF00003404	CHIFNET13H1268_004479-T1	DBVPG3775_006884-T1
GF00003405	CHIFNET13H1268_004486-T1	DBVPG3775_006861-T1
GF00003406	CHIFNET13H1268_006335-T1	DBVPG3775_006860-T1
GF00003407	CHIFNET13H1268_006334-T1	DBVPG3775_006859-T1
GF00003408	CHIFNET13H1268_012009-T1	DBVPG3775_007228-T1
GF00003409	CHIFNET13H1268_012010-T1	DBVPG3775_007227-T1
GF00003410	CHIFNET13H1268_012012-T1	DBVPG3775_007225-T1
GF00003411	CHIFNET13H1268_012015-T1	DBVPG3775_007222-T1
GF00003412	CHIFNET13H1268_012909-T1	DBVPG3775_000575-T1
GF00003413	CHIFNET13H1268_012017-T1	DBVPG3775_007220-T1
GF00003414	CHIFNET13H1268_004503-T1	DBVPG3775_007219-T1
GF00003415	CHIFNET13H1268_004505-T1	DBVPG3775_007216-T1
GF00003416	CHIFNET13H1268_004508-T1	DBVPG3775_003694-T1
GF00003417	CHIFNET13H1268_004509-T1	DBVPG3775_003695-T1
GF00003418	CHIFNET13H1268_004514-T1	DBVPG3775_003700-T1
GF00003419	CHIFNET13H1268_004515-T1	DBVPG3775_003701-T1
GF00003420	CHIFNET13H1268_004516-T1	DBVPG3775_003702-T1
GF00003421	CHIFNET13H1268_004518-T1	DBVPG3775_003705-T1
GF00003422	CHIFNET13H1268_006783-T1	DBVPG3775_003710-T1
GF00003423	CHIFNET13H1268_004525-T1	DBVPG3775_003712-T1
GF00003424	CHIFNET13H1268_004526-T1	DBVPG3775_003713-T1
GF00003425	CHIFNET13H1268_004527-T1	DBVPG3775_003714-T1
GF00003426	CHIFNET13H1268_006778-T1	DBVPG3775_003715-T1
GF00003427	CHIFNET13H1268_006777-T1	DBVPG3775_003716-T1
GF00003428	CHIFNET13H1268_006775-T1	DBVPG3775_003718-T1
GF00003429	CHIFNET13H1268_004532-T1	DBVPG3775_003719-T1
GF00003430	CHIFNET13H1268_004533-T1	DBVPG3775_003720-T1
GF00003431	CHIFNET13H1268_006771-T1	DBVPG3775_003721-T1
GF00003432	CHIFNET13H1268_004535-T1	DBVPG3775_003722-T1
GF00003433	CHIFNET13H1268_004541-T1	DBVPG3775_003727-T1
GF00003434	CHIFNET13H1268_004542-T1	DBVPG3775_003728-T1
GF00003435	CHIFNET13H1268_006761-T1	DBVPG3775_003730-T1
GF00003436	CHIFNET13H1268_006760-T1	DBVPG3775_003731-T1
GF00003437	CHIFNET13H1268_006758-T1	DBVPG3775_003733-T1
GF00003438	CHIFNET13H1268_004548-T1	DBVPG3775_003734-T1
GF00003439	CHIFNET13H1268_006756-T1	DBVPG3775_003735-T1
GF00003440	CHIFNET13H1268_004551-T1	DBVPG3775_003737-T1
GF00003441	CHIFNET13H1268_004554-T1	DBVPG3775_003740-T1
GF00003442	CHIFNET13H1268_004559-T1	DBVPG3775_003745-T1
GF00003443	CHIFNET13H1268_004560-T1	DBVPG3775_003746-T1
GF00003444	CHIFNET13H1268_004562-T1	DBVPG3775_003748-T1
GF00003445	CHIFNET13H1268_006741-T1	DBVPG3775_003749-T1
GF00003446	CHIFNET13H1268_004564-T1	DBVPG3775_003750-T1
GF00003447	CHIFNET13H1268_004565-T1	DBVPG3775_003751-T1
GF00003448	CHIFNET13H1268_004566-T1	DBVPG3775_003752-T1
GF00003449	CHIFNET13H1268_004567-T1	DBVPG3775_003753-T1
GF00003450	CHIFNET13H1268_006736-T1	DBVPG3775_003754-T1
GF00003451	CHIFNET13H1268_004570-T1	DBVPG3775_003756-T1
GF00003452	CHIFNET13H1268_006733-T1	DBVPG3775_003757-T1
GF00003453	CHIFNET13H1268_004572-T1	DBVPG3775_003758-T1
GF00003454	CHIFNET13H1268_004574-T1	DBVPG3775_003760-T1
GF00003455	CHIFNET13H1268_004575-T1	DBVPG3775_003761-T1
GF00003456	CHIFNET13H1268_004577-T1	DBVPG3775_003763-T1
GF00003457	CHIFNET13H1268_014455-T1	DBVPG3775_003765-T1
GF00003458	CHIFNET13H1268_009692-T1	DBVPG3775_005035-T1
GF00003459	CHIFNET13H1268_014451-T1	DBVPG3775_003769-T1
GF00003460	CHIFNET13H1268_004586-T1	DBVPG3775_003772-T1
GF00003461	CHIFNET13H1268_012165-T1	DBVPG3775_003774-T1
GF00003462	CHIFNET13H1268_004588-T1	DBVPG3775_003775-T1
GF00003463	CHIFNET13H1268_012162-T1	DBVPG3775_003777-T1
GF00003464	CHIFNET13H1268_004591-T1	DBVPG3775_003778-T1
GF00003465	CHIFNET13H1268_012159-T1	DBVPG3775_003780-T1
GF00003466	CHIFNET13H1268_004598-T1	DBVPG3775_003786-T1
GF00003467	CHIFNET13H1268_012150-T1	DBVPG3775_003787-T1
GF00003468	CHIFNET13H1268_012149-T1	DBVPG3775_003788-T1
GF00003469	CHIFNET13H1268_004603-T1	DBVPG3775_004428-T1
GF00003470	CHIFNET13H1268_004604-T1	DBVPG3775_004429-T1
GF00003471	CHIFNET13H1268_011612-T1	DBVPG3775_004431-T1
GF00003472	CHIFNET13H1268_004608-T1	DBVPG3775_004432-T1
GF00003473	CHIFNET13H1268_011614-T1	DBVPG3775_004433-T1
GF00003474	CHIFNET13H1268_004610-T1	DBVPG3775_004434-T1
GF00003475	CHIFNET13H1268_011617-T1	DBVPG3775_004437-T1
GF00003476	CHIFNET13H1268_004614-T1	DBVPG3775_004438-T1
GF00003477	CHIFNET13H1268_004615-T1	DBVPG3775_004439-T1
GF00003478	CHIFNET13H1268_004618-T1	DBVPG3775_004442-T1
GF00003479	CHIFNET13H1268_004619-T1	DBVPG3775_004443-T1
GF00003480	CHIFNET13H1268_004620-T1	DBVPG3775_004444-T1
GF00003481	CHIFNET13H1268_004621-T1	DBVPG3775_004445-T1
GF00003482	CHIFNET13H1268_011626-T1	DBVPG3775_004446-T1
GF00003483	CHIFNET13H1268_004623-T1	DBVPG3775_004447-T1
GF00003484	CHIFNET13H1268_011628-T1	DBVPG3775_004448-T1
GF00003485	CHIFNET13H1268_004627-T1	DBVPG3775_004451-T1
GF00003486	CHIFNET13H1268_011633-T1	DBVPG3775_004454-T1
GF00003487	CHIFNET13H1268_004632-T1	DBVPG3775_004456-T1
GF00003488	CHIFNET13H1268_011636-T1	DBVPG3775_004457-T1
GF00003489	CHIFNET13H1268_011637-T1	DBVPG3775_004458-T1
GF00003490	CHIFNET13H1268_004636-T1	DBVPG3775_004460-T1
GF00003491	CHIFNET13H1268_011640-T1	DBVPG3775_004461-T1
GF00003492	CHIFNET13H1268_011642-T1	DBVPG3775_004463-T1
GF00003493	CHIFNET13H1268_011643-T1	DBVPG3775_004464-T1
GF00003494	CHIFNET13H1268_004641-T1	DBVPG3775_004465-T1
GF00003495	CHIFNET13H1268_013338-T1	DBVPG3775_004467-T1
GF00003496	CHIFNET13H1268_004644-T1	DBVPG3775_004468-T1
GF00003497	CHIFNET13H1268_004646-T1	DBVPG3775_004470-T1
GF00003498	CHIFNET13H1268_004647-T1	DBVPG3775_004471-T1
GF00003499	CHIFNET13H1268_004649-T1	DBVPG3775_004473-T1
GF00003500	CHIFNET13H1268_004650-T1	DBVPG3775_004474-T1
GF00003501	CHIFNET13H1268_013346-T1	DBVPG3775_004475-T1
GF00003502	CHIFNET13H1268_004652-T1	DBVPG3775_004476-T1
GF00003503	CHIFNET13H1268_004653-T1	DBVPG3775_004477-T1
GF00003504	CHIFNET13H1268_004654-T1	DBVPG3775_004478-T1
GF00003505	CHIFNET13H1268_013351-T1	DBVPG3775_004480-T1
GF00003506	CHIFNET13H1268_013352-T1	DBVPG3775_004481-T1
GF00003507	CHIFNET13H1268_004658-T1	DBVPG3775_005727-T1
GF00003508	CHIFNET13H1268_013354-T1	DBVPG3775_005726-T1
GF00003509	CHIFNET13H1268_004662-T1	DBVPG3775_005723-T1
GF00003510	CHIFNET13H1268_010952-T1	DBVPG3775_005722-T1
GF00003511	CHIFNET13H1268_004666-T1	DBVPG3775_005719-T1
GF00003512	CHIFNET13H1268_004667-T1	DBVPG3775_005718-T1
GF00003513	CHIFNET13H1268_010946-T1	DBVPG3775_005716-T1
GF00003514	CHIFNET13H1268_004676-T1	DBVPG3775_005709-T1
GF00003515	CHIFNET13H1268_004677-T1	DBVPG3775_005708-T1
GF00003516	CHIFNET13H1268_010940-T1	DBVPG3775_005707-T1
GF00003517	CHIFNET13H1268_004679-T1	DBVPG3775_005706-T1
GF00003518	CHIFNET13H1268_010938-T1	DBVPG3775_005705-T1
GF00003519	CHIFNET13H1268_004681-T1	DBVPG3775_005704-T1
GF00003520	CHIFNET13H1268_004685-T1	DBVPG3775_005700-T1
GF00003521	CHIFNET13H1268_010932-T1	DBVPG3775_005699-T1
GF00003522	CHIFNET13H1268_004687-T1	DBVPG3775_005698-T1
GF00003523	CHIFNET13H1268_004688-T1	DBVPG3775_005697-T1
GF00003524	CHIFNET13H1268_010929-T1	DBVPG3775_005696-T1
GF00003525	CHIFNET13H1268_010927-T1	DBVPG3775_005694-T1
GF00003526	CHIFNET13H1268_010923-T1	DBVPG3775_005690-T1
GF00003527	CHIFNET13H1268_004696-T1	DBVPG3775_005689-T1
GF00003528	CHIFNET13H1268_010921-T1	DBVPG3775_005688-T1
GF00003529	CHIFNET13H1268_004698-T1	DBVPG3775_005687-T1
GF00003530	CHIFNET13H1268_004699-T1	DBVPG3775_005686-T1
GF00003531	CHIFNET13H1268_004700-T1	DBVPG3775_005685-T1
GF00003532	CHIFNET13H1268_004701-T1	DBVPG3775_005684-T1
GF00003533	CHIFNET13H1268_010916-T1	DBVPG3775_005683-T1
GF00003534	CHIFNET13H1268_004703-T1	DBVPG3775_005682-T1
GF00003535	CHIFNET13H1268_010914-T1	DBVPG3775_005681-T1
GF00003536	CHIFNET13H1268_004710-T1	DBVPG3775_005675-T1
GF00003537	CHIFNET13H1268_013981-T1	DBVPG3775_005673-T1
GF00003538	CHIFNET13H1268_004713-T1	DBVPG3775_005672-T1
GF00003539	CHIFNET13H1268_004717-T1	DBVPG3775_005889-T1
GF00003540	CHIFNET13H1268_013530-T1	DBVPG3775_005891-T1
GF00003541	CHIFNET13H1268_013529-T1	DBVPG3775_005892-T1
GF00003542	CHIFNET13H1268_004721-T1	DBVPG3775_005893-T1
GF00003543	CHIFNET13H1268_013526-T1	DBVPG3775_005895-T1
GF00003544	CHIFNET13H1268_004724-T1	DBVPG3775_005896-T1
GF00003545	CHIFNET13H1268_004725-T1	DBVPG3775_007184-T1
GF00003546	CHIFNET13H1268_004726-T1	DBVPG3775_007185-T1
GF00003547	CHIFNET13H1268_005693-T1	DBVPG3775_007186-T1
