	Rhodotorula_mucilaginosa_TFCN_17-333P-6.cds.fa
GF00002555	TFCN17333P6_004459-T1, TFCN17333P6_008870-T1
GF00002556	TFCN17333P6_006444-T1, TFCN17333P6_012860-T1
GF00002557	TFCN17333P6_001565-T1, TFCN17333P6_013455-T1
GF00002558	TFCN17333P6_001212-T1, TFCN17333P6_006621-T1
GF00002559	TFCN17333P6_012407-T1, TFCN17333P6_013132-T1
GF00002560	TFCN17333P6_011522-T1, TFCN17333P6_000652-T1
GF00002561	TFCN17333P6_003879-T1, TFCN17333P6_009405-T1
GF00002562	TFCN17333P6_005651-T1, TFCN17333P6_000808-T1
GF00002563	TFCN17333P6_003525-T1, TFCN17333P6_008125-T1
GF00002564	TFCN17333P6_001198-T1, TFCN17333P6_006630-T1
GF00002565	TFCN17333P6_007455-T1, TFCN17333P6_011388-T1
GF00002566	TFCN17333P6_006254-T1, TFCN17333P6_006180-T1
GF00002567	TFCN17333P6_002989-T1, TFCN17333P6_008755-T1
GF00002568	TFCN17333P6_013709-T1, TFCN17333P6_004150-T1
GF00002569	TFCN17333P6_012728-T1, TFCN17333P6_011630-T1
GF00002570	TFCN17333P6_012063-T1, TFCN17333P6_006546-T1
GF00002571	TFCN17333P6_014748-T1, TFCN17333P6_014800-T1
GF00002572	TFCN17333P6_005344-T1, TFCN17333P6_004047-T1
GF00002573	TFCN17333P6_007651-T1, TFCN17333P6_007273-T1
GF00002574	TFCN17333P6_003605-T1, TFCN17333P6_002618-T1
GF00002575	TFCN17333P6_007417-T1, TFCN17333P6_009107-T1
GF00002576	TFCN17333P6_002730-T1, TFCN17333P6_001277-T1
GF00002577	TFCN17333P6_003420-T1, TFCN17333P6_014473-T1
GF00002578	TFCN17333P6_002202-T1, TFCN17333P6_006406-T1
GF00002579	TFCN17333P6_008746-T1, TFCN17333P6_002998-T1
GF00002580	TFCN17333P6_011466-T1, TFCN17333P6_002280-T1
GF00002581	TFCN17333P6_004860-T1, TFCN17333P6_004890-T1
GF00002582	TFCN17333P6_009734-T1, TFCN17333P6_009654-T1
GF00002583	TFCN17333P6_010058-T1, TFCN17333P6_012054-T1
GF00002584	TFCN17333P6_011028-T1, TFCN17333P6_011121-T1
GF00002585	TFCN17333P6_007768-T1, TFCN17333P6_011164-T1
GF00002586	TFCN17333P6_005812-T1, TFCN17333P6_001514-T1
GF00002587	TFCN17333P6_014070-T1, TFCN17333P6_004666-T1
GF00002588	TFCN17333P6_010653-T1, TFCN17333P6_004320-T1
GF00002589	TFCN17333P6_014420-T1, TFCN17333P6_008273-T1
GF00002590	TFCN17333P6_006246-T1, TFCN17333P6_006172-T1
GF00002591	TFCN17333P6_008571-T1, TFCN17333P6_009204-T1
GF00002592	TFCN17333P6_012677-T1, TFCN17333P6_014683-T1
GF00002593	TFCN17333P6_003655-T1, TFCN17333P6_002570-T1
GF00002594	TFCN17333P6_007549-T1, TFCN17333P6_004608-T1
GF00002595	TFCN17333P6_002739-T1, TFCN17333P6_001268-T1
GF00002596	TFCN17333P6_013102-T1, TFCN17333P6_009710-T1
GF00002597	TFCN17333P6_013699-T1, TFCN17333P6_008456-T1
GF00002598	TFCN17333P6_010028-T1, TFCN17333P6_005837-T1
GF00002599	TFCN17333P6_006645-T1, TFCN17333P6_001183-T1
GF00002600	TFCN17333P6_005149-T1, TFCN17333P6_011578-T1
GF00002601	TFCN17333P6_010430-T1, TFCN17333P6_000278-T1
GF00002602	TFCN17333P6_006503-T1, TFCN17333P6_014739-T1
GF00002603	TFCN17333P6_013785-T1, TFCN17333P6_003371-T1
GF00002604	TFCN17333P6_012417-T1, TFCN17333P6_014774-T1
GF00002605	TFCN17333P6_003443-T1, TFCN17333P6_013905-T1
GF00002606	TFCN17333P6_008405-T1, TFCN17333P6_011544-T1
GF00002607	TFCN17333P6_010610-T1, TFCN17333P6_009511-T1
GF00002608	TFCN17333P6_009472-T1, TFCN17333P6_008028-T1
GF00002609	TFCN17333P6_000924-T1, TFCN17333P6_005020-T1
GF00002610	TFCN17333P6_009309-T1, TFCN17333P6_003410-T1
GF00002611	TFCN17333P6_003184-T1, TFCN17333P6_002415-T1
GF00002612	TFCN17333P6_003513-T1, TFCN17333P6_008136-T1
GF00002613	TFCN17333P6_004907-T1, TFCN17333P6_009146-T1
GF00002614	TFCN17333P6_013814-T1, TFCN17333P6_007950-T1
GF00002615	TFCN17333P6_008763-T1, TFCN17333P6_002310-T1
GF00002616	TFCN17333P6_000600-T1, TFCN17333P6_010336-T1
GF00002617	TFCN17333P6_008357-T1, TFCN17333P6_001906-T1
GF00002618	TFCN17333P6_003397-T1, TFCN17333P6_009323-T1
GF00002619	TFCN17333P6_006602-T1, TFCN17333P6_008552-T1
GF00002620	TFCN17333P6_013711-T1, TFCN17333P6_004148-T1
GF00002621	TFCN17333P6_014589-T1, TFCN17333P6_001616-T1
GF00002622	TFCN17333P6_011250-T1, TFCN17333P6_012503-T1
GF00002623	TFCN17333P6_008034-T1, TFCN17333P6_009478-T1
GF00002624	TFCN17333P6_012879-T1, TFCN17333P6_006425-T1
GF00002625	TFCN17333P6_004397-T1, TFCN17333P6_012392-T1
GF00002626	TFCN17333P6_004932-T1, TFCN17333P6_001125-T1
GF00002627	TFCN17333P6_003411-T1, TFCN17333P6_009308-T1
GF00002628	TFCN17333P6_012798-T1, TFCN17333P6_005913-T1
GF00002629	TFCN17333P6_006997-T1, TFCN17333P6_004557-T1
GF00002630	TFCN17333P6_010881-T1, TFCN17333P6_000205-T1
GF00002631	TFCN17333P6_001255-T1, TFCN17333P6_002751-T1
GF00002632	TFCN17333P6_007329-T1, TFCN17333P6_009944-T1
GF00002633	TFCN17333P6_008653-T1, TFCN17333P6_000702-T1
GF00002634	TFCN17333P6_010758-T1, TFCN17333P6_005118-T1
GF00002635	TFCN17333P6_001757-T1, TFCN17333P6_003954-T1
GF00002636	TFCN17333P6_014780-T1, TFCN17333P6_008683-T1
GF00002637	TFCN17333P6_013287-T1, TFCN17333P6_009024-T1
GF00002638	TFCN17333P6_005330-T1, TFCN17333P6_004035-T1
GF00002639	TFCN17333P6_004403-T1, TFCN17333P6_006939-T1
GF00002640	TFCN17333P6_002544-T1, TFCN17333P6_003681-T1
GF00002641	TFCN17333P6_003796-T1, TFCN17333P6_009381-T1
GF00002642	TFCN17333P6_013707-T1, TFCN17333P6_004152-T1
GF00002643	TFCN17333P6_000650-T1, TFCN17333P6_011524-T1
GF00002644	TFCN17333P6_001020-T1, TFCN17333P6_007203-T1
GF00002645	TFCN17333P6_005645-T1, TFCN17333P6_000816-T1
GF00002646	TFCN17333P6_013107-T1, TFCN17333P6_008982-T1
GF00002647	TFCN17333P6_004569-T1, TFCN17333P6_007012-T1
GF00002648	TFCN17333P6_008717-T1, TFCN17333P6_003027-T1
GF00002649	TFCN17333P6_012805-T1, TFCN17333P6_005919-T1
GF00002650	TFCN17333P6_006628-T1, TFCN17333P6_001200-T1
GF00002651	TFCN17333P6_004266-T1, TFCN17333P6_008491-T1
GF00002652	TFCN17333P6_005569-T1, TFCN17333P6_010126-T1
GF00002653	TFCN17333P6_010323-T1, TFCN17333P6_000610-T1
GF00002654	TFCN17333P6_013247-T1, TFCN17333P6_007471-T1
GF00002655	TFCN17333P6_000326-T1, TFCN17333P6_013740-T1
GF00002656	TFCN17333P6_013126-T1, TFCN17333P6_012400-T1
GF00002657	TFCN17333P6_001028-T1, TFCN17333P6_007210-T1
GF00002658	TFCN17333P6_010295-T1, TFCN17333P6_000637-T1
GF00002659	TFCN17333P6_002679-T1, TFCN17333P6_001326-T1
GF00002660	TFCN17333P6_011996-T1, TFCN17333P6_001590-T1
GF00002661	TFCN17333P6_010468-T1, TFCN17333P6_013419-T1
GF00002662	TFCN17333P6_004786-T1, TFCN17333P6_000529-T1
GF00002663	TFCN17333P6_008636-T1, TFCN17333P6_000687-T1
GF00002664	TFCN17333P6_003233-T1, TFCN17333P6_002464-T1
GF00002665	TFCN17333P6_011282-T1, TFCN17333P6_008334-T1
GF00002666	TFCN17333P6_000112-T1, TFCN17333P6_009537-T1
GF00002667	TFCN17333P6_009941-T1, TFCN17333P6_007332-T1
GF00002668	TFCN17333P6_003401-T1, TFCN17333P6_009318-T1
GF00002669	TFCN17333P6_001376-T1, TFCN17333P6_013061-T1
GF00002670	TFCN17333P6_010858-T1, TFCN17333P6_008886-T1
GF00002671	TFCN17333P6_010581-T1, TFCN17333P6_005763-T1
GF00002672	TFCN17333P6_005366-T1, TFCN17333P6_004068-T1
GF00002673	TFCN17333P6_009522-T1, TFCN17333P6_010622-T1
GF00002674	TFCN17333P6_010619-T1, TFCN17333P6_009519-T1
GF00002675	TFCN17333P6_008527-T1, TFCN17333P6_008955-T1
GF00002676	TFCN17333P6_005790-T1, TFCN17333P6_001492-T1
GF00002677	TFCN17333P6_008900-T1, TFCN17333P6_004329-T1
GF00002678	TFCN17333P6_008799-T1, TFCN17333P6_002347-T1
GF00002679	TFCN17333P6_000616-T1, TFCN17333P6_010317-T1
GF00002680	TFCN17333P6_000572-T1, TFCN17333P6_005610-T1
GF00002681	TFCN17333P6_004338-T1, TFCN17333P6_008909-T1
GF00002682	TFCN17333P6_001283-T1, TFCN17333P6_002722-T1
GF00002683	TFCN17333P6_010039-T1, TFCN17333P6_011654-T1
GF00002684	TFCN17333P6_014258-T1, TFCN17333P6_014214-T1
GF00002685	TFCN17333P6_012701-T1, TFCN17333P6_004490-T1
GF00002686	TFCN17333P6_009216-T1, TFCN17333P6_008245-T1
GF00002687	TFCN17333P6_005792-T1, TFCN17333P6_001494-T1
GF00002688	TFCN17333P6_009949-T1, TFCN17333P6_007324-T1
GF00002689	TFCN17333P6_005094-T1, TFCN17333P6_014635-T1
GF00002690	TFCN17333P6_010788-T1, TFCN17333P6_001825-T1
GF00002691	TFCN17333P6_009977-T1, TFCN17333P6_005893-T1
GF00002692	TFCN17333P6_007333-T1, TFCN17333P6_009940-T1
GF00002693	TFCN17333P6_009666-T1, TFCN17333P6_009741-T1
GF00002694	TFCN17333P6_001585-T1, TFCN17333P6_011990-T1
GF00002695	TFCN17333P6_003687-T1, TFCN17333P6_007806-T1
GF00002696	TFCN17333P6_008679-T1, TFCN17333P6_000730-T1
GF00002697	TFCN17333P6_001715-T1, TFCN17333P6_003907-T1
GF00002698	TFCN17333P6_012673-T1, TFCN17333P6_014349-T1
GF00002699	TFCN17333P6_011323-T1, TFCN17333P6_008075-T1
GF00002700	TFCN17333P6_003217-T1, TFCN17333P6_002449-T1
GF00002701	TFCN17333P6_009786-T1, TFCN17333P6_000881-T1
GF00002702	TFCN17333P6_014546-T1, TFCN17333P6_014674-T1
GF00002703	TFCN17333P6_014040-T1, TFCN17333P6_014091-T1
GF00002704	TFCN17333P6_000242-T1, TFCN17333P6_013220-T1
GF00002705	TFCN17333P6_012381-T1, TFCN17333P6_004386-T1
GF00002706	TFCN17333P6_009910-T1, TFCN17333P6_012839-T1
GF00002707	TFCN17333P6_008091-T1, TFCN17333P6_010183-T1
GF00002708	TFCN17333P6_014637-T1, TFCN17333P6_005095-T1
GF00002709	TFCN17333P6_006873-T1, TFCN17333P6_004167-T1
GF00002710	TFCN17333P6_007701-T1, TFCN17333P6_007865-T1
GF00002711	TFCN17333P6_013446-T1, TFCN17333P6_001574-T1
GF00002712	TFCN17333P6_006438-T1, TFCN17333P6_012867-T1
GF00002713	TFCN17333P6_009423-T1, TFCN17333P6_003861-T1
GF00002714	TFCN17333P6_009195-T1, TFCN17333P6_008580-T1
GF00002715	TFCN17333P6_014435-T1, TFCN17333P6_014164-T1
GF00002716	TFCN17333P6_007107-T1, TFCN17333P6_011914-T1
GF00002717	TFCN17333P6_011186-T1, TFCN17333P6_009267-T1
GF00002718	TFCN17333P6_003043-T1, TFCN17333P6_008699-T1
GF00002719	TFCN17333P6_009633-T1, TFCN17333P6_003742-T1
GF00002720	TFCN17333P6_009608-T1, TFCN17333P6_003722-T1
GF00002721	TFCN17333P6_002488-T1, TFCN17333P6_003258-T1
GF00002722	TFCN17333P6_014049-T1, TFCN17333P6_000857-T1
GF00002723	TFCN17333P6_007037-T1, TFCN17333P6_010265-T1
GF00002724	TFCN17333P6_010204-T1, TFCN17333P6_010506-T1
GF00002725	TFCN17333P6_002548-T1, TFCN17333P6_003677-T1
GF00002726	TFCN17333P6_010321-T1, TFCN17333P6_000612-T1
GF00002727	TFCN17333P6_011016-T1, TFCN17333P6_011134-T1
GF00002728	TFCN17333P6_009125-T1, TFCN17333P6_007399-T1
GF00002729	TFCN17333P6_004219-T1, TFCN17333P6_006816-T1
GF00002730	TFCN17333P6_010927-T1, TFCN17333P6_003783-T1
GF00002731	TFCN17333P6_003702-T1, TFCN17333P6_007819-T1
GF00002732	TFCN17333P6_006147-T1, TFCN17333P6_006224-T1
GF00002733	TFCN17333P6_002513-T1, TFCN17333P6_007853-T1
GF00002734	TFCN17333P6_011982-T1, TFCN17333P6_008288-T1
GF00002735	TFCN17333P6_009023-T1, TFCN17333P6_013286-T1
GF00002736	TFCN17333P6_008928-T1, TFCN17333P6_004358-T1
GF00002737	TFCN17333P6_002977-T1, TFCN17333P6_014198-T1
GF00002738	TFCN17333P6_003665-T1, TFCN17333P6_002560-T1
GF00002739	TFCN17333P6_001708-T1, TFCN17333P6_003900-T1
GF00002740	TFCN17333P6_012682-T1, TFCN17333P6_004472-T1
GF00002741	TFCN17333P6_013350-T1, TFCN17333P6_012440-T1
GF00002742	TFCN17333P6_004482-T1, TFCN17333P6_012693-T1
GF00002743	TFCN17333P6_002161-T1, TFCN17333P6_006362-T1
GF00002744	TFCN17333P6_010059-T1, TFCN17333P6_012053-T1
GF00002745	TFCN17333P6_006680-T1, TFCN17333P6_001150-T1
GF00002746	TFCN17333P6_006282-T1, TFCN17333P6_006210-T1
GF00002747	TFCN17333P6_004816-T1, TFCN17333P6_006530-T1
GF00002748	TFCN17333P6_002655-T1, TFCN17333P6_003574-T1
GF00002749	TFCN17333P6_014195-T1, TFCN17333P6_002980-T1
GF00002750	TFCN17333P6_000618-T1, TFCN17333P6_010315-T1
GF00002751	TFCN17333P6_002358-T1, TFCN17333P6_008813-T1
GF00002752	TFCN17333P6_003279-T1, TFCN17333P6_007714-T1
GF00002753	TFCN17333P6_004494-T1, TFCN17333P6_012705-T1
GF00002754	TFCN17333P6_001240-T1, TFCN17333P6_002768-T1
GF00002755	TFCN17333P6_000580-T1, TFCN17333P6_005618-T1
GF00002756	TFCN17333P6_014767-T1, TFCN17333P6_006591-T1
GF00002757	TFCN17333P6_003181-T1, TFCN17333P6_002412-T1
GF00002758	TFCN17333P6_004880-T1, TFCN17333P6_012207-T1
GF00002759	TFCN17333P6_004411-T1, TFCN17333P6_006930-T1
GF00002760	TFCN17333P6_012387-T1, TFCN17333P6_004392-T1
GF00002761	TFCN17333P6_003089-T1, TFCN17333P6_005252-T1
GF00002762	TFCN17333P6_007070-T1, TFCN17333P6_012363-T1
GF00002763	TFCN17333P6_002699-T1, TFCN17333P6_001307-T1
GF00002764	TFCN17333P6_001065-T1, TFCN17333P6_004996-T1
GF00002765	TFCN17333P6_002340-T1, TFCN17333P6_008792-T1
GF00002766	TFCN17333P6_008851-T1, TFCN17333P6_010827-T1
GF00002767	TFCN17333P6_007299-T1, TFCN17333P6_012091-T1
GF00002768	TFCN17333P6_002332-T1, TFCN17333P6_008785-T1
GF00002769	TFCN17333P6_000180-T1, TFCN17333P6_010901-T1
GF00002770	TFCN17333P6_014227-T1, TFCN17333P6_002226-T1
GF00002771	TFCN17333P6_006732-T1, TFCN17333P6_001471-T1
GF00002772	TFCN17333P6_008023-T1, TFCN17333P6_009466-T1
GF00002773	TFCN17333P6_006736-T1, TFCN17333P6_001467-T1
GF00002774	TFCN17333P6_009149-T1, TFCN17333P6_004910-T1
GF00002775	TFCN17333P6_012180-T1, TFCN17333P6_012185-T1
GF00002776	TFCN17333P6_000236-T1, TFCN17333P6_013226-T1
GF00002777	TFCN17333P6_009938-T1, TFCN17333P6_007335-T1
GF00002778	TFCN17333P6_013767-T1, TFCN17333P6_000048-T1
GF00002779	TFCN17333P6_001611-T1, TFCN17333P6_012018-T1
GF00002780	TFCN17333P6_008569-T1, TFCN17333P6_009206-T1
GF00002781	TFCN17333P6_006430-T1, TFCN17333P6_012875-T1
GF00002782	TFCN17333P6_006864-T1, TFCN17333P6_004176-T1
GF00002783	TFCN17333P6_002203-T1, TFCN17333P6_006407-T1
GF00002784	TFCN17333P6_008586-T1, TFCN17333P6_009189-T1
GF00002785	TFCN17333P6_004665-T1, TFCN17333P6_014069-T1
GF00002786	TFCN17333P6_005024-T1, TFCN17333P6_000927-T1
GF00002787	TFCN17333P6_013770-T1, TFCN17333P6_000045-T1
GF00002788	TFCN17333P6_005866-T1, TFCN17333P6_010001-T1
GF00002789	TFCN17333P6_003815-T1, TFCN17333P6_009359-T1
GF00002790	TFCN17333P6_001099-T1, TFCN17333P6_004960-T1
GF00002791	TFCN17333P6_009563-T1, TFCN17333P6_000135-T1
GF00002792	TFCN17333P6_012376-T1, TFCN17333P6_004382-T1
GF00002793	TFCN17333P6_011048-T1, TFCN17333P6_011101-T1
GF00002794	TFCN17333P6_001072-T1, TFCN17333P6_004989-T1
GF00002795	TFCN17333P6_003528-T1, TFCN17333P6_008122-T1
GF00002796	TFCN17333P6_002002-T1, TFCN17333P6_005440-T1
GF00002797	TFCN17333P6_009680-T1, TFCN17333P6_013039-T1
GF00002798	TFCN17333P6_000194-T1, TFCN17333P6_010889-T1
GF00002799	TFCN17333P6_010073-T1, TFCN17333P6_012039-T1
GF00002800	TFCN17333P6_006887-T1, TFCN17333P6_004155-T1
GF00002801	TFCN17333P6_004926-T1, TFCN17333P6_001131-T1
GF00002802	TFCN17333P6_007683-T1, TFCN17333P6_007883-T1
GF00002803	TFCN17333P6_007578-T1, TFCN17333P6_004638-T1
GF00002804	TFCN17333P6_006017-T1, TFCN17333P6_000452-T1
GF00002805	TFCN17333P6_009759-T1, TFCN17333P6_000909-T1
GF00002806	TFCN17333P6_008340-T1, TFCN17333P6_001896-T1
GF00002807	TFCN17333P6_008858-T1, TFCN17333P6_004471-T1
GF00002808	TFCN17333P6_014348-T1, TFCN17333P6_012674-T1
GF00002809	TFCN17333P6_004368-T1, TFCN17333P6_005922-T1
GF00002810	TFCN17333P6_003851-T1, TFCN17333P6_009436-T1
GF00002811	TFCN17333P6_011895-T1, TFCN17333P6_002948-T1
GF00002812	TFCN17333P6_013076-T1, TFCN17333P6_001359-T1
GF00002813	TFCN17333P6_007887-T1, TFCN17333P6_007679-T1
GF00002814	TFCN17333P6_009447-T1, TFCN17333P6_008004-T1
GF00002815	TFCN17333P6_011634-T1, TFCN17333P6_012724-T1
GF00002816	TFCN17333P6_008811-T1, TFCN17333P6_002360-T1
GF00002817	TFCN17333P6_002511-T1, TFCN17333P6_007855-T1
GF00002818	TFCN17333P6_000136-T1, TFCN17333P6_009564-T1
GF00002819	TFCN17333P6_005102-T1, TFCN17333P6_010775-T1
GF00002820	TFCN17333P6_005992-T1, TFCN17333P6_000428-T1
GF00002821	TFCN17333P6_013485-T1, TFCN17333P6_014726-T1
GF00002822	TFCN17333P6_012195-T1, TFCN17333P6_012170-T1
GF00002823	TFCN17333P6_003332-T1, TFCN17333P6_014519-T1
GF00002824	TFCN17333P6_000142-T1, TFCN17333P6_009573-T1
GF00002825	TFCN17333P6_005235-T1, TFCN17333P6_003080-T1
GF00002826	TFCN17333P6_004749-T1, TFCN17333P6_010358-T1
GF00002827	TFCN17333P6_004938-T1, TFCN17333P6_001119-T1
GF00002828	TFCN17333P6_009928-T1, TFCN17333P6_007345-T1
GF00002829	TFCN17333P6_009167-T1, TFCN17333P6_008604-T1
GF00002830	TFCN17333P6_002070-T1, TFCN17333P6_005513-T1
GF00002831	TFCN17333P6_010898-T1, TFCN17333P6_000184-T1
GF00002832	TFCN17333P6_004008-T1, TFCN17333P6_001807-T1
GF00002833	TFCN17333P6_009328-T1, TFCN17333P6_003390-T1
GF00002834	TFCN17333P6_010466-T1, TFCN17333P6_013417-T1
GF00002835	TFCN17333P6_004410-T1, TFCN17333P6_006931-T1
GF00002836	TFCN17333P6_011014-T1, TFCN17333P6_011136-T1
GF00002837	TFCN17333P6_005604-T1, TFCN17333P6_000565-T1
GF00002838	TFCN17333P6_002947-T1, TFCN17333P6_011894-T1
GF00002839	TFCN17333P6_007732-T1, TFCN17333P6_003297-T1
GF00002840	TFCN17333P6_001567-T1, TFCN17333P6_013453-T1
GF00002841	TFCN17333P6_010083-T1, TFCN17333P6_012029-T1
GF00002842	TFCN17333P6_014572-T1, TFCN17333P6_014577-T1
GF00002843	TFCN17333P6_006114-T1, TFCN17333P6_011207-T1
GF00002844	TFCN17333P6_013047-T1, TFCN17333P6_009687-T1
GF00002845	TFCN17333P6_000183-T1, TFCN17333P6_010899-T1
GF00002846	TFCN17333P6_013048-T1, TFCN17333P6_009688-T1
GF00002847	TFCN17333P6_007688-T1, TFCN17333P6_007878-T1
GF00002848	TFCN17333P6_006316-T1, TFCN17333P6_002109-T1
GF00002849	TFCN17333P6_003205-T1, TFCN17333P6_002436-T1
GF00002850	TFCN17333P6_005324-T1, TFCN17333P6_004029-T1
GF00002851	TFCN17333P6_003843-T1, TFCN17333P6_014022-T1
GF00002852	TFCN17333P6_013438-T1, TFCN17333P6_013488-T1
GF00002853	TFCN17333P6_012333-T1, TFCN17333P6_013571-T1
GF00002854	TFCN17333P6_010627-T1, TFCN17333P6_009526-T1
GF00002855	TFCN17333P6_002529-T1, TFCN17333P6_011779-T1
GF00002856	TFCN17333P6_011887-T1, TFCN17333P6_002941-T1
GF00002857	TFCN17333P6_014134-T1, TFCN17333P6_004534-T1
GF00002858	TFCN17333P6_013339-T1, TFCN17333P6_008517-T1
GF00002859	TFCN17333P6_008756-T1, TFCN17333P6_002988-T1
GF00002860	TFCN17333P6_001672-T1, TFCN17333P6_008211-T1
GF00002861	TFCN17333P6_013066-T1, TFCN17333P6_001371-T1
GF00002862	TFCN17333P6_000147-T1, TFCN17333P6_009576-T1
GF00002863	TFCN17333P6_003911-T1, TFCN17333P6_001719-T1
GF00002864	TFCN17333P6_001024-T1, TFCN17333P6_007207-T1
GF00002865	TFCN17333P6_012904-T1, TFCN17333P6_010706-T1
GF00002866	TFCN17333P6_006283-T1, TFCN17333P6_006211-T1
GF00002867	TFCN17333P6_013916-T1, TFCN17333P6_013016-T1
GF00002868	TFCN17333P6_014466-T1, TFCN17333P6_008977-T1
GF00002869	TFCN17333P6_012582-T1, TFCN17333P6_009284-T1
GF00002870	TFCN17333P6_004026-T1, TFCN17333P6_005321-T1
GF00002871	TFCN17333P6_003674-T1, TFCN17333P6_002551-T1
GF00002872	TFCN17333P6_012100-T1, TFCN17333P6_007308-T1
GF00002873	TFCN17333P6_004849-T1, TFCN17333P6_011668-T1
GF00002874	TFCN17333P6_005898-T1, TFCN17333P6_012783-T1
GF00002875	TFCN17333P6_006655-T1, TFCN17333P6_001173-T1
GF00002876	TFCN17333P6_011653-T1, TFCN17333P6_010038-T1
GF00002877	TFCN17333P6_000830-T1, TFCN17333P6_005631-T1
GF00002878	TFCN17333P6_013843-T1, TFCN17333P6_007068-T1
GF00002879	TFCN17333P6_014655-T1, TFCN17333P6_006141-T1
GF00002880	TFCN17333P6_006977-T1, TFCN17333P6_004542-T1
GF00002881	TFCN17333P6_011674-T1, TFCN17333P6_004843-T1
GF00002882	TFCN17333P6_011560-T1, TFCN17333P6_005131-T1
GF00002883	TFCN17333P6_004172-T1, TFCN17333P6_006868-T1
GF00002884	TFCN17333P6_010757-T1, TFCN17333P6_005119-T1
GF00002885	TFCN17333P6_013284-T1, TFCN17333P6_009021-T1
GF00002886	TFCN17333P6_013112-T1, TFCN17333P6_008988-T1
GF00002887	TFCN17333P6_004578-T1, TFCN17333P6_007988-T1
GF00002888	TFCN17333P6_003519-T1, TFCN17333P6_008130-T1
GF00002889	TFCN17333P6_014110-T1, TFCN17333P6_010473-T1
GF00002890	TFCN17333P6_008183-T1, TFCN17333P6_001695-T1
GF00002891	TFCN17333P6_014643-T1, TFCN17333P6_006941-T1
GF00002892	TFCN17333P6_014061-T1, TFCN17333P6_000844-T1
GF00002893	TFCN17333P6_005177-T1, TFCN17333P6_011606-T1
GF00002894	TFCN17333P6_004847-T1, TFCN17333P6_011670-T1
GF00002895	TFCN17333P6_008394-T1, TFCN17333P6_001952-T1
GF00002896	TFCN17333P6_013591-T1, TFCN17333P6_006295-T1
GF00002897	TFCN17333P6_013228-T1, TFCN17333P6_000234-T1
GF00002898	TFCN17333P6_014657-T1, TFCN17333P6_006144-T1
GF00002899	TFCN17333P6_013587-T1, TFCN17333P6_006299-T1
GF00002900	TFCN17333P6_011485-T1, TFCN17333P6_002301-T1
GF00002901	TFCN17333P6_008473-T1, TFCN17333P6_004280-T1
GF00002902	TFCN17333P6_004593-T1, TFCN17333P6_007535-T1
GF00002903	TFCN17333P6_008718-T1, TFCN17333P6_003026-T1
GF00002904	TFCN17333P6_013997-T1, TFCN17333P6_013374-T1
GF00002905	TFCN17333P6_011787-T1, TFCN17333P6_002538-T1
GF00002906	TFCN17333P6_001390-T1, TFCN17333P6_013293-T1
GF00002907	TFCN17333P6_012460-T1, TFCN17333P6_005211-T1
GF00002908	TFCN17333P6_011149-T1, TFCN17333P6_007783-T1
GF00002909	TFCN17333P6_000415-T1, TFCN17333P6_005978-T1
GF00002910	TFCN17333P6_006726-T1, TFCN17333P6_001477-T1
GF00002911	TFCN17333P6_003516-T1, TFCN17333P6_008133-T1
GF00002912	TFCN17333P6_011220-T1, TFCN17333P6_006101-T1
GF00002913	TFCN17333P6_008621-T1, TFCN17333P6_000676-T1
GF00002914	TFCN17333P6_006278-T1, TFCN17333P6_006206-T1
GF00002915	TFCN17333P6_012718-T1, TFCN17333P6_011640-T1
GF00002916	TFCN17333P6_010344-T1, TFCN17333P6_000593-T1
GF00002917	TFCN17333P6_013690-T1, TFCN17333P6_008467-T1
GF00002918	TFCN17333P6_008356-T1, TFCN17333P6_001907-T1
GF00002919	TFCN17333P6_014502-T1, TFCN17333P6_013470-T1
GF00002920	TFCN17333P6_006643-T1, TFCN17333P6_001185-T1
GF00002921	TFCN17333P6_005099-T1, TFCN17333P6_010778-T1
GF00002922	TFCN17333P6_013020-T1, TFCN17333P6_013967-T1
GF00002923	TFCN17333P6_014377-T1, TFCN17333P6_007373-T1
GF00002924	TFCN17333P6_000583-T1, TFCN17333P6_005620-T1
GF00002925	TFCN17333P6_014142-T1, TFCN17333P6_004522-T1
GF00002926	TFCN17333P6_013097-T1, TFCN17333P6_009714-T1
GF00002927	TFCN17333P6_014111-T1, TFCN17333P6_010472-T1
GF00002928	TFCN17333P6_002013-T1, TFCN17333P6_005451-T1
GF00002929	TFCN17333P6_001827-T1, TFCN17333P6_010790-T1
GF00002930	TFCN17333P6_009975-T1, TFCN17333P6_007294-T1
GF00002931	TFCN17333P6_007985-T1, TFCN17333P6_004581-T1
GF00002932	TFCN17333P6_006509-T1, TFCN17333P6_013144-T1
GF00002933	TFCN17333P6_011141-T1, TFCN17333P6_007790-T1
GF00002934	TFCN17333P6_009527-T1, TFCN17333P6_010628-T1
GF00002935	TFCN17333P6_009088-T1, TFCN17333P6_007436-T1
GF00002936	TFCN17333P6_014602-T1, TFCN17333P6_013005-T1
GF00002937	TFCN17333P6_012958-T1, TFCN17333P6_011804-T1
GF00002938	TFCN17333P6_013687-T1, TFCN17333P6_006069-T1
GF00002939	TFCN17333P6_010567-T1, TFCN17333P6_005748-T1
GF00002940	TFCN17333P6_008008-T1, TFCN17333P6_009451-T1
GF00002941	TFCN17333P6_011514-T1, TFCN17333P6_000659-T1
