	Rhodotorula_mucilaginosa_CHIFNET_14NJ214.cds.fa
GF00003434	CHIFNET14NJ214_011071-T1, CHIFNET14NJ214_011106-T1
GF00003435	CHIFNET14NJ214_009371-T1, CHIFNET14NJ214_012207-T1
GF00003436	CHIFNET14NJ214_011508-T1, CHIFNET14NJ214_004807-T1
GF00003437	CHIFNET14NJ214_003891-T1, CHIFNET14NJ214_006699-T1
GF00003438	CHIFNET14NJ214_012451-T1, CHIFNET14NJ214_002164-T1
GF00003439	CHIFNET14NJ214_006712-T1, CHIFNET14NJ214_003907-T1
GF00003440	CHIFNET14NJ214_001361-T1, CHIFNET14NJ214_010191-T1
GF00003441	CHIFNET14NJ214_009084-T1, CHIFNET14NJ214_000276-T1
GF00003442	CHIFNET14NJ214_004488-T1, CHIFNET14NJ214_004982-T1
GF00003443	CHIFNET14NJ214_000433-T1, CHIFNET14NJ214_007274-T1
GF00003444	CHIFNET14NJ214_005744-T1, CHIFNET14NJ214_009785-T1
GF00003445	CHIFNET14NJ214_014251-T1, CHIFNET14NJ214_011811-T1
GF00003446	CHIFNET14NJ214_005794-T1, CHIFNET14NJ214_012199-T1
GF00003447	CHIFNET14NJ214_002308-T1, CHIFNET14NJ214_006489-T1
GF00003448	CHIFNET14NJ214_012260-T1, CHIFNET14NJ214_003185-T1
GF00003449	CHIFNET14NJ214_008633-T1, CHIFNET14NJ214_000160-T1
GF00003450	CHIFNET14NJ214_006551-T1, CHIFNET14NJ214_001762-T1
GF00003451	CHIFNET14NJ214_002604-T1, CHIFNET14NJ214_009502-T1
GF00003452	CHIFNET14NJ214_012409-T1, CHIFNET14NJ214_005896-T1
GF00003453	CHIFNET14NJ214_006420-T1, CHIFNET14NJ214_010170-T1
GF00003454	CHIFNET14NJ214_002318-T1, CHIFNET14NJ214_006478-T1
GF00003455	CHIFNET14NJ214_011594-T1, CHIFNET14NJ214_007078-T1
GF00003456	CHIFNET14NJ214_003858-T1, CHIFNET14NJ214_003627-T1
GF00003457	CHIFNET14NJ214_014209-T1, CHIFNET14NJ214_005020-T1
GF00003458	CHIFNET14NJ214_007463-T1, CHIFNET14NJ214_013991-T1
GF00003459	CHIFNET14NJ214_011100-T1, CHIFNET14NJ214_011065-T1
GF00003460	CHIFNET14NJ214_007701-T1, CHIFNET14NJ214_002287-T1
GF00003461	CHIFNET14NJ214_014015-T1, CHIFNET14NJ214_000987-T1
GF00003462	CHIFNET14NJ214_007326-T1, CHIFNET14NJ214_006973-T1
GF00003463	CHIFNET14NJ214_013426-T1, CHIFNET14NJ214_014878-T1
GF00003464	CHIFNET14NJ214_003539-T1, CHIFNET14NJ214_009406-T1
GF00003465	CHIFNET14NJ214_009671-T1, CHIFNET14NJ214_009105-T1
GF00003466	CHIFNET14NJ214_005750-T1, CHIFNET14NJ214_011405-T1
GF00003467	CHIFNET14NJ214_003416-T1, CHIFNET14NJ214_009455-T1
GF00003468	CHIFNET14NJ214_009893-T1, CHIFNET14NJ214_002227-T1
GF00003469	CHIFNET14NJ214_012007-T1, CHIFNET14NJ214_010090-T1
GF00003470	CHIFNET14NJ214_012654-T1, CHIFNET14NJ214_011465-T1
GF00003471	CHIFNET14NJ214_011970-T1, CHIFNET14NJ214_005359-T1
GF00003472	CHIFNET14NJ214_006713-T1, CHIFNET14NJ214_003908-T1
GF00003473	CHIFNET14NJ214_013886-T1, CHIFNET14NJ214_013169-T1
GF00003474	CHIFNET14NJ214_006768-T1, CHIFNET14NJ214_004654-T1
GF00003475	CHIFNET14NJ214_010609-T1, CHIFNET14NJ214_013389-T1
GF00003476	CHIFNET14NJ214_007568-T1, CHIFNET14NJ214_015466-T1
GF00003477	CHIFNET14NJ214_005093-T1, CHIFNET14NJ214_014772-T1
GF00003478	CHIFNET14NJ214_000338-T1, CHIFNET14NJ214_010240-T1
GF00003479	CHIFNET14NJ214_013536-T1, CHIFNET14NJ214_013927-T1
GF00003480	CHIFNET14NJ214_007287-T1, CHIFNET14NJ214_000420-T1
GF00003481	CHIFNET14NJ214_012242-T1, CHIFNET14NJ214_007957-T1
GF00003482	CHIFNET14NJ214_009560-T1, CHIFNET14NJ214_002594-T1
GF00003483	CHIFNET14NJ214_001120-T1, CHIFNET14NJ214_006303-T1
GF00003484	CHIFNET14NJ214_008906-T1, CHIFNET14NJ214_003531-T1
GF00003485	CHIFNET14NJ214_006144-T1, CHIFNET14NJ214_014605-T1
GF00003486	CHIFNET14NJ214_009961-T1, CHIFNET14NJ214_009301-T1
GF00003487	CHIFNET14NJ214_004505-T1, CHIFNET14NJ214_004966-T1
GF00003488	CHIFNET14NJ214_006599-T1, CHIFNET14NJ214_008340-T1
GF00003489	CHIFNET14NJ214_012770-T1, CHIFNET14NJ214_013863-T1
GF00003490	CHIFNET14NJ214_001932-T1, CHIFNET14NJ214_008699-T1
GF00003491	CHIFNET14NJ214_000087-T1, CHIFNET14NJ214_006047-T1
GF00003492	CHIFNET14NJ214_008370-T1, CHIFNET14NJ214_000921-T1
GF00003493	CHIFNET14NJ214_006251-T1, CHIFNET14NJ214_003475-T1
GF00003494	CHIFNET14NJ214_002868-T1, CHIFNET14NJ214_009419-T1
GF00003495	CHIFNET14NJ214_014170-T1, CHIFNET14NJ214_010100-T1
GF00003496	CHIFNET14NJ214_008079-T1, CHIFNET14NJ214_015435-T1
GF00003497	CHIFNET14NJ214_012605-T1, CHIFNET14NJ214_007185-T1
GF00003498	CHIFNET14NJ214_001165-T1, CHIFNET14NJ214_001202-T1
GF00003499	CHIFNET14NJ214_002942-T1, CHIFNET14NJ214_009328-T1
GF00003500	CHIFNET14NJ214_005952-T1, CHIFNET14NJ214_003516-T1
GF00003501	CHIFNET14NJ214_001822-T1, CHIFNET14NJ214_010827-T1
GF00003502	CHIFNET14NJ214_013915-T1, CHIFNET14NJ214_003301-T1
GF00003503	CHIFNET14NJ214_012414-T1, CHIFNET14NJ214_005891-T1
GF00003504	CHIFNET14NJ214_008552-T1, CHIFNET14NJ214_008677-T1
GF00003505	CHIFNET14NJ214_002875-T1, CHIFNET14NJ214_000099-T1
GF00003506	CHIFNET14NJ214_009984-T1, CHIFNET14NJ214_010013-T1
GF00003507	CHIFNET14NJ214_001675-T1, CHIFNET14NJ214_014620-T1
GF00003508	CHIFNET14NJ214_005205-T1, CHIFNET14NJ214_004330-T1
GF00003509	CHIFNET14NJ214_005859-T1, CHIFNET14NJ214_014165-T1
GF00003510	CHIFNET14NJ214_003684-T1, CHIFNET14NJ214_003652-T1
GF00003511	CHIFNET14NJ214_007573-T1, CHIFNET14NJ214_005502-T1
GF00003512	CHIFNET14NJ214_010958-T1, CHIFNET14NJ214_006095-T1
GF00003513	CHIFNET14NJ214_008238-T1, CHIFNET14NJ214_011760-T1
GF00003514	CHIFNET14NJ214_004942-T1, CHIFNET14NJ214_007358-T1
GF00003515	CHIFNET14NJ214_003515-T1, CHIFNET14NJ214_005951-T1
GF00003516	CHIFNET14NJ214_008498-T1, CHIFNET14NJ214_013382-T1
GF00003517	CHIFNET14NJ214_006667-T1, CHIFNET14NJ214_001490-T1
GF00003518	CHIFNET14NJ214_012758-T1, CHIFNET14NJ214_000450-T1
GF00003519	CHIFNET14NJ214_012410-T1, CHIFNET14NJ214_005895-T1
GF00003520	CHIFNET14NJ214_009967-T1, CHIFNET14NJ214_013115-T1
GF00003521	CHIFNET14NJ214_005971-T1, CHIFNET14NJ214_012529-T1
GF00003522	CHIFNET14NJ214_013831-T1, CHIFNET14NJ214_010408-T1
GF00003523	CHIFNET14NJ214_011721-T1, CHIFNET14NJ214_000909-T1
GF00003524	CHIFNET14NJ214_014362-T1, CHIFNET14NJ214_014834-T1
GF00003525	CHIFNET14NJ214_002757-T1, CHIFNET14NJ214_012381-T1
GF00003526	CHIFNET14NJ214_004548-T1, CHIFNET14NJ214_001899-T1
GF00003527	CHIFNET14NJ214_012832-T1, CHIFNET14NJ214_011451-T1
GF00003528	CHIFNET14NJ214_010917-T1, CHIFNET14NJ214_002811-T1
GF00003529	CHIFNET14NJ214_013109-T1, CHIFNET14NJ214_009971-T1
GF00003530	CHIFNET14NJ214_008365-T1, CHIFNET14NJ214_002536-T1
GF00003531	CHIFNET14NJ214_011789-T1, CHIFNET14NJ214_011559-T1
GF00003532	CHIFNET14NJ214_006539-T1, CHIFNET14NJ214_001750-T1
GF00003533	CHIFNET14NJ214_012558-T1, CHIFNET14NJ214_014782-T1
GF00003534	CHIFNET14NJ214_014090-T1, CHIFNET14NJ214_005067-T1
GF00003535	CHIFNET14NJ214_002726-T1, CHIFNET14NJ214_006268-T1
GF00003536	CHIFNET14NJ214_015324-T1, CHIFNET14NJ214_007785-T1
GF00003537	CHIFNET14NJ214_015331-T1, CHIFNET14NJ214_003456-T1
GF00003538	CHIFNET14NJ214_011342-T1, CHIFNET14NJ214_013339-T1
GF00003539	CHIFNET14NJ214_008961-T1, CHIFNET14NJ214_001560-T1
GF00003540	CHIFNET14NJ214_011940-T1, CHIFNET14NJ214_011088-T1
GF00003541	CHIFNET14NJ214_010660-T1, CHIFNET14NJ214_010907-T1
GF00003542	CHIFNET14NJ214_004295-T1, CHIFNET14NJ214_011152-T1
GF00003543	CHIFNET14NJ214_000490-T1, CHIFNET14NJ214_002204-T1
GF00003544	CHIFNET14NJ214_002432-T1, CHIFNET14NJ214_013850-T1
GF00003545	CHIFNET14NJ214_008066-T1, CHIFNET14NJ214_001278-T1
GF00003546	CHIFNET14NJ214_004622-T1, CHIFNET14NJ214_009246-T1
GF00003547	CHIFNET14NJ214_011865-T1, CHIFNET14NJ214_001950-T1
GF00003548	CHIFNET14NJ214_010504-T1, CHIFNET14NJ214_011568-T1
GF00003549	CHIFNET14NJ214_000135-T1, CHIFNET14NJ214_001481-T1
GF00003550	CHIFNET14NJ214_004181-T1, CHIFNET14NJ214_003125-T1
GF00003551	CHIFNET14NJ214_009312-T1, CHIFNET14NJ214_009008-T1
GF00003552	CHIFNET14NJ214_013230-T1, CHIFNET14NJ214_008865-T1
GF00003553	CHIFNET14NJ214_009755-T1, CHIFNET14NJ214_015119-T1
GF00003554	CHIFNET14NJ214_013565-T1, CHIFNET14NJ214_002826-T1
GF00003555	CHIFNET14NJ214_000664-T1, CHIFNET14NJ214_009700-T1
GF00003556	CHIFNET14NJ214_002852-T1, CHIFNET14NJ214_013495-T1
GF00003557	CHIFNET14NJ214_003105-T1, CHIFNET14NJ214_004160-T1
GF00003558	CHIFNET14NJ214_014757-T1, CHIFNET14NJ214_015104-T1
GF00003559	CHIFNET14NJ214_012259-T1, CHIFNET14NJ214_003184-T1
GF00003560	CHIFNET14NJ214_004002-T1, CHIFNET14NJ214_000622-T1
GF00003561	CHIFNET14NJ214_003863-T1, CHIFNET14NJ214_003633-T1
GF00003562	CHIFNET14NJ214_007894-T1, CHIFNET14NJ214_002997-T1
GF00003563	CHIFNET14NJ214_010360-T1, CHIFNET14NJ214_010639-T1
GF00003564	CHIFNET14NJ214_007026-T1, CHIFNET14NJ214_012278-T1
GF00003565	CHIFNET14NJ214_004781-T1, CHIFNET14NJ214_001449-T1
GF00003566	CHIFNET14NJ214_006066-T1, CHIFNET14NJ214_007199-T1
GF00003567	CHIFNET14NJ214_001169-T1, CHIFNET14NJ214_001198-T1
GF00003568	CHIFNET14NJ214_000847-T1, CHIFNET14NJ214_004276-T1
GF00003569	CHIFNET14NJ214_013615-T1, CHIFNET14NJ214_001546-T1
GF00003570	CHIFNET14NJ214_013225-T1, CHIFNET14NJ214_008083-T1
GF00003571	CHIFNET14NJ214_003335-T1, CHIFNET14NJ214_001037-T1
GF00003572	CHIFNET14NJ214_012932-T1, CHIFNET14NJ214_012895-T1
GF00003573	CHIFNET14NJ214_003683-T1, CHIFNET14NJ214_003653-T1
GF00003574	CHIFNET14NJ214_002562-T1, CHIFNET14NJ214_000596-T1
GF00003575	CHIFNET14NJ214_008058-T1, CHIFNET14NJ214_000247-T1
GF00003576	CHIFNET14NJ214_008567-T1, CHIFNET14NJ214_007586-T1
GF00003577	CHIFNET14NJ214_008197-T1, CHIFNET14NJ214_009381-T1
GF00003578	CHIFNET14NJ214_001720-T1, CHIFNET14NJ214_001259-T1
GF00003579	CHIFNET14NJ214_006532-T1, CHIFNET14NJ214_001743-T1
GF00003580	CHIFNET14NJ214_012426-T1, CHIFNET14NJ214_011877-T1
GF00003581	CHIFNET14NJ214_006306-T1, CHIFNET14NJ214_001123-T1
GF00003582	CHIFNET14NJ214_011597-T1, CHIFNET14NJ214_007075-T1
GF00003583	CHIFNET14NJ214_005624-T1, CHIFNET14NJ214_002399-T1
GF00003584	CHIFNET14NJ214_005301-T1, CHIFNET14NJ214_015192-T1
GF00003585	CHIFNET14NJ214_010784-T1, CHIFNET14NJ214_001672-T1
GF00003586	CHIFNET14NJ214_012608-T1, CHIFNET14NJ214_007188-T1
GF00003587	CHIFNET14NJ214_001002-T1, CHIFNET14NJ214_010801-T1
GF00003588	CHIFNET14NJ214_000895-T1, CHIFNET14NJ214_004110-T1
GF00003589	CHIFNET14NJ214_008919-T1, CHIFNET14NJ214_000800-T1
GF00003590	CHIFNET14NJ214_013999-T1, CHIFNET14NJ214_000147-T1
GF00003591	CHIFNET14NJ214_001113-T1, CHIFNET14NJ214_010353-T1
GF00003592	CHIFNET14NJ214_002607-T1, CHIFNET14NJ214_009504-T1
GF00003593	CHIFNET14NJ214_011162-T1, CHIFNET14NJ214_001808-T1
GF00003594	CHIFNET14NJ214_013435-T1, CHIFNET14NJ214_015353-T1
GF00003595	CHIFNET14NJ214_002370-T1, CHIFNET14NJ214_014836-T1
GF00003596	CHIFNET14NJ214_011599-T1, CHIFNET14NJ214_007073-T1
GF00003597	CHIFNET14NJ214_007997-T1, CHIFNET14NJ214_013666-T1
GF00003598	CHIFNET14NJ214_002549-T1, CHIFNET14NJ214_010979-T1
GF00003599	CHIFNET14NJ214_011115-T1, CHIFNET14NJ214_006225-T1
GF00003600	CHIFNET14NJ214_003771-T1, CHIFNET14NJ214_012315-T1
GF00003601	CHIFNET14NJ214_006900-T1, CHIFNET14NJ214_004195-T1
GF00003602	CHIFNET14NJ214_006533-T1, CHIFNET14NJ214_001744-T1
GF00003603	CHIFNET14NJ214_013035-T1, CHIFNET14NJ214_011132-T1
GF00003604	CHIFNET14NJ214_012538-T1, CHIFNET14NJ214_001108-T1
GF00003605	CHIFNET14NJ214_012126-T1, CHIFNET14NJ214_008814-T1
GF00003606	CHIFNET14NJ214_007386-T1, CHIFNET14NJ214_014264-T1
GF00003607	CHIFNET14NJ214_007308-T1, CHIFNET14NJ214_011251-T1
GF00003608	CHIFNET14NJ214_001681-T1, CHIFNET14NJ214_013599-T1
GF00003609	CHIFNET14NJ214_006631-T1, CHIFNET14NJ214_011385-T1
GF00003610	CHIFNET14NJ214_011703-T1, CHIFNET14NJ214_011492-T1
GF00003611	CHIFNET14NJ214_001580-T1, CHIFNET14NJ214_007830-T1
GF00003612	CHIFNET14NJ214_005244-T1, CHIFNET14NJ214_003317-T1
GF00003613	CHIFNET14NJ214_013137-T1, CHIFNET14NJ214_006943-T1
GF00003614	CHIFNET14NJ214_012320-T1, CHIFNET14NJ214_004405-T1
GF00003615	CHIFNET14NJ214_001509-T1, CHIFNET14NJ214_009070-T1
GF00003616	CHIFNET14NJ214_000141-T1, CHIFNET14NJ214_001475-T1
GF00003617	CHIFNET14NJ214_014694-T1, CHIFNET14NJ214_004208-T1
GF00003618	CHIFNET14NJ214_008433-T1, CHIFNET14NJ214_000688-T1
GF00003619	CHIFNET14NJ214_006431-T1, CHIFNET14NJ214_006158-T1
GF00003620	CHIFNET14NJ214_011129-T1, CHIFNET14NJ214_013032-T1
GF00003621	CHIFNET14NJ214_006940-T1, CHIFNET14NJ214_013134-T1
GF00003622	CHIFNET14NJ214_003119-T1, CHIFNET14NJ214_004173-T1
GF00003623	CHIFNET14NJ214_012449-T1, CHIFNET14NJ214_002166-T1
GF00003624	CHIFNET14NJ214_011875-T1, CHIFNET14NJ214_012424-T1
GF00003625	CHIFNET14NJ214_014783-T1, CHIFNET14NJ214_012557-T1
GF00003626	CHIFNET14NJ214_011384-T1, CHIFNET14NJ214_006632-T1
GF00003627	CHIFNET14NJ214_008153-T1, CHIFNET14NJ214_007480-T1
GF00003628	CHIFNET14NJ214_010246-T1, CHIFNET14NJ214_006334-T1
GF00003629	CHIFNET14NJ214_009622-T1, CHIFNET14NJ214_005399-T1
GF00003630	CHIFNET14NJ214_012094-T1, CHIFNET14NJ214_012405-T1
GF00003631	CHIFNET14NJ214_007500-T1, CHIFNET14NJ214_004673-T1
GF00003632	CHIFNET14NJ214_004279-T1, CHIFNET14NJ214_000850-T1
GF00003633	CHIFNET14NJ214_010239-T1, CHIFNET14NJ214_000337-T1
GF00003634	CHIFNET14NJ214_007678-T1, CHIFNET14NJ214_008224-T1
GF00003635	CHIFNET14NJ214_004021-T1, CHIFNET14NJ214_008323-T1
GF00003636	CHIFNET14NJ214_014182-T1, CHIFNET14NJ214_010756-T1
GF00003637	CHIFNET14NJ214_004808-T1, CHIFNET14NJ214_011507-T1
GF00003638	CHIFNET14NJ214_001016-T1, CHIFNET14NJ214_003356-T1
GF00003639	CHIFNET14NJ214_014477-T1, CHIFNET14NJ214_014443-T1
GF00003640	CHIFNET14NJ214_005562-T1, CHIFNET14NJ214_011634-T1
GF00003641	CHIFNET14NJ214_004137-T1, CHIFNET14NJ214_004426-T1
GF00003642	CHIFNET14NJ214_007893-T1, CHIFNET14NJ214_002998-T1
GF00003643	CHIFNET14NJ214_013968-T1, CHIFNET14NJ214_002832-T1
GF00003644	CHIFNET14NJ214_000940-T1, CHIFNET14NJ214_008389-T1
GF00003645	CHIFNET14NJ214_002976-T1, CHIFNET14NJ214_008301-T1
GF00003646	CHIFNET14NJ214_002729-T1, CHIFNET14NJ214_008786-T1
GF00003647	CHIFNET14NJ214_006252-T1, CHIFNET14NJ214_003474-T1
GF00003648	CHIFNET14NJ214_001281-T1, CHIFNET14NJ214_008069-T1
GF00003649	CHIFNET14NJ214_003078-T1, CHIFNET14NJ214_008041-T1
GF00003650	CHIFNET14NJ214_003239-T1, CHIFNET14NJ214_000553-T1
GF00003651	CHIFNET14NJ214_011675-T1, CHIFNET14NJ214_002906-T1
GF00003652	CHIFNET14NJ214_006365-T1, CHIFNET14NJ214_004732-T1
GF00003653	CHIFNET14NJ214_007669-T1, CHIFNET14NJ214_002076-T1
GF00003654	CHIFNET14NJ214_005268-T1, CHIFNET14NJ214_000126-T1
GF00003655	CHIFNET14NJ214_009051-T1, CHIFNET14NJ214_005814-T1
GF00003656	CHIFNET14NJ214_013514-T1, CHIFNET14NJ214_007434-T1
GF00003657	CHIFNET14NJ214_011261-T1, CHIFNET14NJ214_000652-T1
GF00003658	CHIFNET14NJ214_012225-T1, CHIFNET14NJ214_003451-T1
GF00003659	CHIFNET14NJ214_004553-T1, CHIFNET14NJ214_001907-T1
GF00003660	CHIFNET14NJ214_003984-T1, CHIFNET14NJ214_000640-T1
GF00003661	CHIFNET14NJ214_015335-T1, CHIFNET14NJ214_015242-T1
GF00003662	CHIFNET14NJ214_012468-T1, CHIFNET14NJ214_003054-T1
GF00003663	CHIFNET14NJ214_003906-T1, CHIFNET14NJ214_006711-T1
GF00003664	CHIFNET14NJ214_012502-T1, CHIFNET14NJ214_012348-T1
GF00003665	CHIFNET14NJ214_007235-T1, CHIFNET14NJ214_009266-T1
GF00003666	CHIFNET14NJ214_010851-T1, CHIFNET14NJ214_013593-T1
GF00003667	CHIFNET14NJ214_013461-T1, CHIFNET14NJ214_012792-T1
GF00003668	CHIFNET14NJ214_001618-T1, CHIFNET14NJ214_005607-T1
GF00003669	CHIFNET14NJ214_002934-T1, CHIFNET14NJ214_007512-T1
GF00003670	CHIFNET14NJ214_005253-T1, CHIFNET14NJ214_005194-T1
GF00003671	CHIFNET14NJ214_008799-T1, CHIFNET14NJ214_002742-T1
GF00003672	CHIFNET14NJ214_001748-T1, CHIFNET14NJ214_006537-T1
GF00003673	CHIFNET14NJ214_004306-T1, CHIFNET14NJ214_008276-T1
GF00003674	CHIFNET14NJ214_004764-T1, CHIFNET14NJ214_010622-T1
GF00003675	CHIFNET14NJ214_010260-T1, CHIFNET14NJ214_006613-T1
GF00003676	CHIFNET14NJ214_002141-T1, CHIFNET14NJ214_011658-T1
GF00003677	CHIFNET14NJ214_010223-T1, CHIFNET14NJ214_011036-T1
GF00003678	CHIFNET14NJ214_014504-T1, CHIFNET14NJ214_015203-T1
GF00003679	CHIFNET14NJ214_004296-T1, CHIFNET14NJ214_011153-T1
GF00003680	CHIFNET14NJ214_000401-T1, CHIFNET14NJ214_009914-T1
GF00003681	CHIFNET14NJ214_008622-T1, CHIFNET14NJ214_013059-T1
GF00003682	CHIFNET14NJ214_011198-T1, CHIFNET14NJ214_002417-T1
GF00003683	CHIFNET14NJ214_007426-T1, CHIFNET14NJ214_013739-T1
GF00003684	CHIFNET14NJ214_012522-T1, CHIFNET14NJ214_005964-T1
GF00003685	CHIFNET14NJ214_006044-T1, CHIFNET14NJ214_000084-T1
GF00003686	CHIFNET14NJ214_011236-T1, CHIFNET14NJ214_004833-T1
GF00003687	CHIFNET14NJ214_004099-T1, CHIFNET14NJ214_000884-T1
GF00003688	CHIFNET14NJ214_008840-T1, CHIFNET14NJ214_013155-T1
GF00003689	CHIFNET14NJ214_008842-T1, CHIFNET14NJ214_013157-T1
GF00003690	CHIFNET14NJ214_011895-T1, CHIFNET14NJ214_006672-T1
GF00003691	CHIFNET14NJ214_011790-T1, CHIFNET14NJ214_011558-T1
GF00003692	CHIFNET14NJ214_001221-T1, CHIFNET14NJ214_012587-T1
GF00003693	CHIFNET14NJ214_001294-T1, CHIFNET14NJ214_007942-T1
GF00003694	CHIFNET14NJ214_009972-T1, CHIFNET14NJ214_013108-T1
GF00003695	CHIFNET14NJ214_003462-T1, CHIFNET14NJ214_006263-T1
GF00003696	CHIFNET14NJ214_007172-T1, CHIFNET14NJ214_000398-T1
GF00003697	CHIFNET14NJ214_006160-T1, CHIFNET14NJ214_006429-T1
GF00003698	CHIFNET14NJ214_000503-T1, CHIFNET14NJ214_008782-T1
GF00003699	CHIFNET14NJ214_000158-T1, CHIFNET14NJ214_008635-T1
GF00003700	CHIFNET14NJ214_004688-T1, CHIFNET14NJ214_009942-T1
GF00003701	CHIFNET14NJ214_003212-T1, CHIFNET14NJ214_008243-T1
GF00003702	CHIFNET14NJ214_007724-T1, CHIFNET14NJ214_011880-T1
GF00003703	CHIFNET14NJ214_010125-T1, CHIFNET14NJ214_014781-T1
GF00003704	CHIFNET14NJ214_001610-T1, CHIFNET14NJ214_013106-T1
GF00003705	CHIFNET14NJ214_011397-T1, CHIFNET14NJ214_014053-T1
GF00003706	CHIFNET14NJ214_009932-T1, CHIFNET14NJ214_011418-T1
GF00003707	CHIFNET14NJ214_001039-T1, CHIFNET14NJ214_003333-T1
GF00003708	CHIFNET14NJ214_005200-T1, CHIFNET14NJ214_005258-T1
GF00003709	CHIFNET14NJ214_000712-T1, CHIFNET14NJ214_008733-T1
GF00003710	CHIFNET14NJ214_009799-T1, CHIFNET14NJ214_007857-T1
GF00003711	CHIFNET14NJ214_011662-T1, CHIFNET14NJ214_002138-T1
GF00003712	CHIFNET14NJ214_007813-T1, CHIFNET14NJ214_009659-T1
GF00003713	CHIFNET14NJ214_008307-T1, CHIFNET14NJ214_002980-T1
GF00003714	CHIFNET14NJ214_004483-T1, CHIFNET14NJ214_012612-T1
GF00003715	CHIFNET14NJ214_001331-T1, CHIFNET14NJ214_005645-T1
GF00003716	CHIFNET14NJ214_005694-T1, CHIFNET14NJ214_012942-T1
GF00003717	CHIFNET14NJ214_007730-T1, CHIFNET14NJ214_012334-T1
GF00003718	CHIFNET14NJ214_005108-T1, CHIFNET14NJ214_001853-T1
GF00003719	CHIFNET14NJ214_002763-T1, CHIFNET14NJ214_014747-T1
GF00003720	CHIFNET14NJ214_013572-T1, CHIFNET14NJ214_006029-T1
GF00003721	CHIFNET14NJ214_009691-T1, CHIFNET14NJ214_009550-T1
GF00003722	CHIFNET14NJ214_007930-T1, CHIFNET14NJ214_001305-T1
GF00003723	CHIFNET14NJ214_008178-T1, CHIFNET14NJ214_005058-T1
GF00003724	CHIFNET14NJ214_014430-T1, CHIFNET14NJ214_006998-T1
GF00003725	CHIFNET14NJ214_004153-T1, CHIFNET14NJ214_013645-T1
GF00003726	CHIFNET14NJ214_003469-T1, CHIFNET14NJ214_006257-T1
GF00003727	CHIFNET14NJ214_001058-T1, CHIFNET14NJ214_008947-T1
GF00003728	CHIFNET14NJ214_015188-T1, CHIFNET14NJ214_008316-T1
GF00003729	CHIFNET14NJ214_010957-T1, CHIFNET14NJ214_006096-T1
GF00003730	CHIFNET14NJ214_009161-T1, CHIFNET14NJ214_009529-T1
GF00003731	CHIFNET14NJ214_003389-T1, CHIFNET14NJ214_004071-T1
GF00003732	CHIFNET14NJ214_009632-T1, CHIFNET14NJ214_001646-T1
GF00003733	CHIFNET14NJ214_011603-T1, CHIFNET14NJ214_005018-T1
GF00003734	CHIFNET14NJ214_007628-T1, CHIFNET14NJ214_007534-T1
GF00003735	CHIFNET14NJ214_008835-T1, CHIFNET14NJ214_010499-T1
GF00003736	CHIFNET14NJ214_002912-T1, CHIFNET14NJ214_011669-T1
GF00003737	CHIFNET14NJ214_000176-T1, CHIFNET14NJ214_003966-T1
GF00003738	CHIFNET14NJ214_006213-T1, CHIFNET14NJ214_000283-T1
GF00003739	CHIFNET14NJ214_011626-T1, CHIFNET14NJ214_013352-T1
GF00003740	CHIFNET14NJ214_002171-T1, CHIFNET14NJ214_014078-T1
GF00003741	CHIFNET14NJ214_007228-T1, CHIFNET14NJ214_014432-T1
GF00003742	CHIFNET14NJ214_011873-T1, CHIFNET14NJ214_012422-T1
GF00003743	CHIFNET14NJ214_006790-T1, CHIFNET14NJ214_010837-T1
GF00003744	CHIFNET14NJ214_006176-T1, CHIFNET14NJ214_002472-T1
GF00003745	CHIFNET14NJ214_003315-T1, CHIFNET14NJ214_005246-T1
GF00003746	CHIFNET14NJ214_004836-T1, CHIFNET14NJ214_011239-T1
GF00003747	CHIFNET14NJ214_011140-T1, CHIFNET14NJ214_007798-T1
GF00003748	CHIFNET14NJ214_005795-T1, CHIFNET14NJ214_012198-T1
GF00003749	CHIFNET14NJ214_003756-T1, CHIFNET14NJ214_015392-T1
GF00003750	CHIFNET14NJ214_014032-T1, CHIFNET14NJ214_014043-T1
GF00003751	CHIFNET14NJ214_003993-T1, CHIFNET14NJ214_000631-T1
GF00003752	CHIFNET14NJ214_005181-T1, CHIFNET14NJ214_002968-T1
GF00003753	CHIFNET14NJ214_008997-T1, CHIFNET14NJ214_011286-T1
GF00003754	CHIFNET14NJ214_005989-T1, CHIFNET14NJ214_013952-T1
GF00003755	CHIFNET14NJ214_007158-T1, CHIFNET14NJ214_000384-T1
GF00003756	CHIFNET14NJ214_002774-T1, CHIFNET14NJ214_001774-T1
GF00003757	CHIFNET14NJ214_011791-T1, CHIFNET14NJ214_011557-T1
GF00003758	CHIFNET14NJ214_010961-T1, CHIFNET14NJ214_006092-T1
GF00003759	CHIFNET14NJ214_012179-T1, CHIFNET14NJ214_009118-T1
GF00003760	CHIFNET14NJ214_009585-T1, CHIFNET14NJ214_004326-T1
GF00003761	CHIFNET14NJ214_000523-T1, CHIFNET14NJ214_006848-T1
GF00003762	CHIFNET14NJ214_002217-T1, CHIFNET14NJ214_014875-T1
GF00003763	CHIFNET14NJ214_003250-T1, CHIFNET14NJ214_000564-T1
GF00003764	CHIFNET14NJ214_010183-T1, CHIFNET14NJ214_009166-T1
GF00003765	CHIFNET14NJ214_008762-T1, CHIFNET14NJ214_000518-T1
