	Rhodotorula_mucilaginosa_TFCN_152A-1.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00002777	TFCN152A1_010950-T1	DBVPG3775_003630-T1
GF00002778	TFCN152A1_003254-T1	DBVPG3775_003629-T1
GF00002779	TFCN152A1_010952-T1	DBVPG3775_003628-T1
GF00002780	TFCN152A1_010953-T1	DBVPG3775_003627-T1
GF00002781	TFCN152A1_003257-T1	DBVPG3775_003626-T1
GF00002782	TFCN152A1_003258-T1	DBVPG3775_003625-T1
GF00002783	TFCN152A1_003259-T1	DBVPG3775_003624-T1
GF00002784	TFCN152A1_003260-T1	DBVPG3775_003623-T1
GF00002785	TFCN152A1_003261-T1	DBVPG3775_003622-T1
GF00002786	TFCN152A1_003262-T1	DBVPG3775_003621-T1
GF00002787	TFCN152A1_003263-T1	DBVPG3775_003620-T1
GF00002788	TFCN152A1_003264-T1	DBVPG3775_003619-T1
GF00002789	TFCN152A1_003265-T1	DBVPG3775_003618-T1
GF00002790	TFCN152A1_010963-T1	DBVPG3775_003617-T1
GF00002791	TFCN152A1_003268-T1	DBVPG3775_003614-T1
GF00002792	TFCN152A1_003271-T1	DBVPG3775_000998-T1
GF00002793	TFCN152A1_003272-T1	DBVPG3775_000997-T1
GF00002794	TFCN152A1_003273-T1	DBVPG3775_000996-T1
GF00002795	TFCN152A1_011163-T1	DBVPG3775_000984-T1
GF00002796	TFCN152A1_003280-T1	DBVPG3775_000985-T1
GF00002797	TFCN152A1_003281-T1	DBVPG3775_000986-T1
GF00002798	TFCN152A1_011160-T1	DBVPG3775_000987-T1
GF00002799	TFCN152A1_003283-T1	DBVPG3775_000988-T1
GF00002800	TFCN152A1_003291-T1	DBVPG3775_000979-T1
GF00002801	TFCN152A1_008557-T1	DBVPG3775_000974-T1
GF00002802	TFCN152A1_008558-T1	DBVPG3775_000973-T1
GF00002803	TFCN152A1_008559-T1	DBVPG3775_000972-T1
GF00002804	TFCN152A1_008563-T1	DBVPG3775_000967-T1
GF00002805	TFCN152A1_012782-T1	DBVPG3775_003242-T1
GF00002806	TFCN152A1_008567-T1	DBVPG3775_000963-T1
GF00002807	TFCN152A1_003305-T1	DBVPG3775_000961-T1
GF00002808	TFCN152A1_006674-T1	DBVPG3775_007519-T1
GF00002809	TFCN152A1_008574-T1	DBVPG3775_000955-T1
GF00002810	TFCN152A1_008576-T1	DBVPG3775_000952-T1
GF00002811	TFCN152A1_003314-T1	DBVPG3775_000951-T1
GF00002812	TFCN152A1_008578-T1	DBVPG3775_000950-T1
GF00002813	TFCN152A1_003317-T1	DBVPG3775_000948-T1
GF00002814	TFCN152A1_008581-T1	DBVPG3775_000947-T1
GF00002815	TFCN152A1_003321-T1	DBVPG3775_000945-T1
GF00002816	TFCN152A1_008584-T1	DBVPG3775_000944-T1
GF00002817	TFCN152A1_003323-T1	DBVPG3775_000943-T1
GF00002818	TFCN152A1_008586-T1	DBVPG3775_000942-T1
GF00002819	TFCN152A1_008587-T1	DBVPG3775_000941-T1
GF00002820	TFCN152A1_003326-T1	DBVPG3775_000940-T1
GF00002821	TFCN152A1_008589-T1	DBVPG3775_000939-T1
GF00002822	TFCN152A1_008590-T1	DBVPG3775_000938-T1
GF00002823	TFCN152A1_008591-T1	DBVPG3775_000937-T1
GF00002824	TFCN152A1_008592-T1	DBVPG3775_000936-T1
GF00002825	TFCN152A1_003331-T1	DBVPG3775_000935-T1
GF00002826	TFCN152A1_003334-T1	DBVPG3775_000910-T1
GF00002827	TFCN152A1_003335-T1	DBVPG3775_000911-T1
GF00002828	TFCN152A1_003338-T1	DBVPG3775_000914-T1
GF00002829	TFCN152A1_003341-T1	DBVPG3775_000917-T1
GF00002830	TFCN152A1_003343-T1	DBVPG3775_000920-T1
GF00002831	TFCN152A1_004822-T1	DBVPG3775_000921-T1
GF00002832	TFCN152A1_004816-T1	DBVPG3775_000927-T1
GF00002833	TFCN152A1_004815-T1	DBVPG3775_000928-T1
GF00002834	TFCN152A1_004814-T1	DBVPG3775_000929-T1
GF00002835	TFCN152A1_003353-T1	DBVPG3775_000930-T1
GF00002836	TFCN152A1_004812-T1	DBVPG3775_000931-T1
GF00002837	TFCN152A1_003355-T1	DBVPG3775_000906-T1
GF00002838	TFCN152A1_004839-T1	DBVPG3775_000901-T1
GF00002839	TFCN152A1_004843-T1	DBVPG3775_000897-T1
GF00002840	TFCN152A1_004846-T1	DBVPG3775_000894-T1
GF00002841	TFCN152A1_003365-T1	DBVPG3775_000893-T1
GF00002842	TFCN152A1_009168-T1	DBVPG3775_005673-T1
GF00002843	TFCN152A1_003372-T1	DBVPG3775_005675-T1
GF00002844	TFCN152A1_003373-T1	DBVPG3775_005676-T1
GF00002845	TFCN152A1_003378-T1	DBVPG3775_005681-T1
GF00002846	TFCN152A1_003379-T1	DBVPG3775_005682-T1
GF00002847	TFCN152A1_003380-T1	DBVPG3775_005683-T1
GF00002848	TFCN152A1_003381-T1	DBVPG3775_005684-T1
GF00002849	TFCN152A1_009174-T1	DBVPG3775_005685-T1
GF00002850	TFCN152A1_009175-T1	DBVPG3775_005686-T1
GF00002851	TFCN152A1_003384-T1	DBVPG3775_005687-T1
GF00002852	TFCN152A1_003385-T1	DBVPG3775_005688-T1
GF00002853	TFCN152A1_003390-T1	DBVPG3775_005694-T1
GF00002854	TFCN152A1_009184-T1	DBVPG3775_005698-T1
GF00002855	TFCN152A1_003399-T1	DBVPG3775_005704-T1
GF00002856	TFCN152A1_009190-T1	DBVPG3775_005705-T1
GF00002857	TFCN152A1_003401-T1	DBVPG3775_005706-T1
GF00002858	TFCN152A1_003402-T1	DBVPG3775_005707-T1
GF00002859	TFCN152A1_009193-T1	DBVPG3775_005708-T1
GF00002860	TFCN152A1_009194-T1	DBVPG3775_005709-T1
GF00002861	TFCN152A1_009198-T1	DBVPG3775_005718-T1
GF00002862	TFCN152A1_005340-T1	DBVPG3775_005722-T1
GF00002863	TFCN152A1_005339-T1	DBVPG3775_005723-T1
GF00002864	TFCN152A1_003418-T1	DBVPG3775_005724-T1
GF00002865	TFCN152A1_005337-T1	DBVPG3775_005726-T1
GF00002866	TFCN152A1_003420-T1	DBVPG3775_005727-T1
GF00002867	TFCN152A1_005335-T1	DBVPG3775_004481-T1
GF00002868	TFCN152A1_003422-T1	DBVPG3775_004480-T1
GF00002869	TFCN152A1_005332-T1	DBVPG3775_004478-T1
GF00002870	TFCN152A1_003431-T1	DBVPG3775_004471-T1
GF00002871	TFCN152A1_005326-T1	DBVPG3775_004470-T1
GF00002872	TFCN152A1_003434-T1	DBVPG3775_004468-T1
GF00002873	TFCN152A1_005323-T1	DBVPG3775_004467-T1
GF00002874	TFCN152A1_005322-T1	DBVPG3775_004465-T1
GF00002875	TFCN152A1_003437-T1	DBVPG3775_004464-T1
GF00002876	TFCN152A1_003438-T1	DBVPG3775_004463-T1
GF00002877	TFCN152A1_003440-T1	DBVPG3775_004460-T1
GF00002878	TFCN152A1_005315-T1	DBVPG3775_004458-T1
GF00002879	TFCN152A1_003443-T1	DBVPG3775_004457-T1
GF00002880	TFCN152A1_003444-T1	DBVPG3775_004456-T1
GF00002881	TFCN152A1_003446-T1	DBVPG3775_004454-T1
GF00002882	TFCN152A1_005302-T1	DBVPG3775_004451-T1
GF00002883	TFCN152A1_005305-T1	DBVPG3775_004448-T1
GF00002884	TFCN152A1_005306-T1	DBVPG3775_004447-T1
GF00002885	TFCN152A1_005307-T1	DBVPG3775_004446-T1
GF00002886	TFCN152A1_005308-T1	DBVPG3775_004445-T1
GF00002887	TFCN152A1_003457-T1	DBVPG3775_004443-T1
GF00002888	TFCN152A1_005310-T1	DBVPG3775_004442-T1
GF00002889	TFCN152A1_005300-T1	DBVPG3775_004437-T1
GF00002890	TFCN152A1_003463-T1	DBVPG3775_004434-T1
GF00002891	TFCN152A1_005297-T1	DBVPG3775_004433-T1
GF00002892	TFCN152A1_003465-T1	DBVPG3775_004432-T1
GF00002893	TFCN152A1_005295-T1	DBVPG3775_004431-T1
GF00002894	TFCN152A1_003469-T1	DBVPG3775_004429-T1
GF00002895	TFCN152A1_003470-T1	DBVPG3775_004428-T1
GF00002896	TFCN152A1_005290-T1	DBVPG3775_004426-T1
GF00002897	TFCN152A1_003504-T1	DBVPG3775_000815-T1
GF00002898	TFCN152A1_003506-T1	DBVPG3775_000817-T1
GF00002899	TFCN152A1_010401-T1	DBVPG3775_000821-T1
GF00002900	TFCN152A1_010402-T1	DBVPG3775_000822-T1
GF00002901	TFCN152A1_003979-T1	DBVPG3775_006183-T1
GF00002902	TFCN152A1_003511-T1	DBVPG3775_000823-T1
GF00002903	TFCN152A1_010404-T1	DBVPG3775_000824-T1
GF00002904	TFCN152A1_003513-T1	DBVPG3775_000825-T1
GF00002905	TFCN152A1_010407-T1	DBVPG3775_000827-T1
GF00002906	TFCN152A1_010408-T1	DBVPG3775_000828-T1
GF00002907	TFCN152A1_010409-T1	DBVPG3775_000829-T1
GF00002908	TFCN152A1_003518-T1	DBVPG3775_000830-T1
GF00002909	TFCN152A1_003521-T1	DBVPG3775_000833-T1
GF00002910	TFCN152A1_010414-T1	DBVPG3775_000834-T1
GF00002911	TFCN152A1_010416-T1	DBVPG3775_000837-T1
GF00002912	TFCN152A1_003525-T1	DBVPG3775_000838-T1
GF00002913	TFCN152A1_010418-T1	DBVPG3775_000839-T1
GF00002914	TFCN152A1_010419-T1	DBVPG3775_000840-T1
GF00002915	TFCN152A1_010420-T1	DBVPG3775_000841-T1
GF00002916	TFCN152A1_003530-T1	DBVPG3775_000843-T1
GF00002917	TFCN152A1_010423-T1	DBVPG3775_000844-T1
GF00002918	TFCN152A1_003534-T1	DBVPG3775_000846-T1
GF00002919	TFCN152A1_003535-T1	DBVPG3775_000847-T1
GF00002920	TFCN152A1_010427-T1	DBVPG3775_000848-T1
GF00002921	TFCN152A1_003538-T1	DBVPG3775_000850-T1
GF00002922	TFCN152A1_004888-T1	DBVPG3775_000851-T1
GF00002923	TFCN152A1_003540-T1	DBVPG3775_000852-T1
GF00002924	TFCN152A1_003541-T1	DBVPG3775_000853-T1
GF00002925	TFCN152A1_004885-T1	DBVPG3775_000854-T1
GF00002926	TFCN152A1_003544-T1	DBVPG3775_000856-T1
GF00002927	TFCN152A1_004882-T1	DBVPG3775_000857-T1
GF00002928	TFCN152A1_008706-T1	DBVPG3775_007223-T1
GF00002929	TFCN152A1_004879-T1	DBVPG3775_000861-T1
GF00002930	TFCN152A1_003550-T1	DBVPG3775_000862-T1
GF00002931	TFCN152A1_003551-T1	DBVPG3775_000863-T1
GF00002932	TFCN152A1_004876-T1	DBVPG3775_000864-T1
GF00002933	TFCN152A1_003553-T1	DBVPG3775_000865-T1
GF00002934	TFCN152A1_003555-T1	DBVPG3775_000868-T1
GF00002935	TFCN152A1_003556-T1	DBVPG3775_000869-T1
GF00002936	TFCN152A1_003557-T1	DBVPG3775_000870-T1
GF00002937	TFCN152A1_004869-T1	DBVPG3775_000871-T1
GF00002938	TFCN152A1_003560-T1	DBVPG3775_000873-T1
GF00002939	TFCN152A1_003561-T1	DBVPG3775_000874-T1
GF00002940	TFCN152A1_003562-T1	DBVPG3775_000875-T1
GF00002941	TFCN152A1_004861-T1	DBVPG3775_000879-T1
GF00002942	TFCN152A1_003566-T1	DBVPG3775_000880-T1
GF00002943	TFCN152A1_004858-T1	DBVPG3775_000882-T1
GF00002944	TFCN152A1_003569-T1	DBVPG3775_000883-T1
GF00002945	TFCN152A1_004856-T1	DBVPG3775_000884-T1
GF00002946	TFCN152A1_004855-T1	DBVPG3775_000885-T1
GF00002947	TFCN152A1_003572-T1	DBVPG3775_000887-T1
GF00002948	TFCN152A1_003573-T1	DBVPG3775_000888-T1
GF00002949	TFCN152A1_003574-T1	DBVPG3775_000889-T1
GF00002950	TFCN152A1_004850-T1	DBVPG3775_000890-T1
GF00002951	TFCN152A1_003578-T1	DBVPG3775_000415-T1
GF00002952	TFCN152A1_009592-T1	DBVPG3775_000413-T1
GF00002953	TFCN152A1_003581-T1	DBVPG3775_000412-T1
GF00002954	TFCN152A1_009589-T1	DBVPG3775_000410-T1
GF00002955	TFCN152A1_003584-T1	DBVPG3775_000409-T1
GF00002956	TFCN152A1_003585-T1	DBVPG3775_000408-T1
GF00002957	TFCN152A1_009586-T1	DBVPG3775_000407-T1
GF00002958	TFCN152A1_003588-T1	DBVPG3775_000405-T1
GF00002959	TFCN152A1_009583-T1	DBVPG3775_000404-T1
GF00002960	TFCN152A1_009582-T1	DBVPG3775_000403-T1
GF00002961	TFCN152A1_003591-T1	DBVPG3775_000402-T1
GF00002962	TFCN152A1_003592-T1	DBVPG3775_000401-T1
GF00002963	TFCN152A1_003595-T1	DBVPG3775_000396-T1
GF00002964	TFCN152A1_003597-T1	DBVPG3775_000394-T1
GF00002965	TFCN152A1_012162-T1	DBVPG3775_000393-T1
GF00002966	TFCN152A1_003599-T1	DBVPG3775_000392-T1
GF00002967	TFCN152A1_012160-T1	DBVPG3775_000391-T1
GF00002968	TFCN152A1_003601-T1	DBVPG3775_000390-T1
GF00002969	TFCN152A1_003602-T1	DBVPG3775_000389-T1
GF00002970	TFCN152A1_012156-T1	DBVPG3775_000386-T1
GF00002971	TFCN152A1_003606-T1	DBVPG3775_000385-T1
GF00002972	TFCN152A1_003608-T1	DBVPG3775_000383-T1
GF00002973	TFCN152A1_003609-T1	DBVPG3775_000382-T1
GF00002974	TFCN152A1_003610-T1	DBVPG3775_000381-T1
GF00002975	TFCN152A1_003611-T1	DBVPG3775_000380-T1
GF00002976	TFCN152A1_003616-T1	DBVPG3775_000372-T1
GF00002977	TFCN152A1_012569-T1	DBVPG3775_000370-T1
GF00002978	TFCN152A1_003622-T1	DBVPG3775_000363-T1
GF00002979	TFCN152A1_003623-T1	DBVPG3775_000362-T1
GF00002980	TFCN152A1_009567-T1	DBVPG3775_000359-T1
GF00002981	TFCN152A1_003627-T1	DBVPG3775_000358-T1
GF00002982	TFCN152A1_009570-T1	DBVPG3775_000356-T1
GF00002983	TFCN152A1_009571-T1	DBVPG3775_000355-T1
GF00002984	TFCN152A1_003632-T1	DBVPG3775_000353-T1
GF00002985	TFCN152A1_003633-T1	DBVPG3775_000352-T1
GF00002986	TFCN152A1_012166-T1	DBVPG3775_000349-T1
GF00002987	TFCN152A1_003637-T1	DBVPG3775_000348-T1
GF00002988	TFCN152A1_003643-T1	DBVPG3775_000342-T1
GF00002989	TFCN152A1_003644-T1	DBVPG3775_000341-T1
GF00002990	TFCN152A1_003645-T1	DBVPG3775_000340-T1
GF00002991	TFCN152A1_007035-T1	DBVPG3775_000338-T1
GF00002992	TFCN152A1_003648-T1	DBVPG3775_000337-T1
GF00002993	TFCN152A1_003649-T1	DBVPG3775_000336-T1
GF00002994	TFCN152A1_007040-T1	DBVPG3775_000332-T1
GF00002995	TFCN152A1_003653-T1	DBVPG3775_000331-T1
GF00002996	TFCN152A1_003654-T1	DBVPG3775_000330-T1
GF00002997	TFCN152A1_003655-T1	DBVPG3775_000329-T1
GF00002998	TFCN152A1_007045-T1	DBVPG3775_000326-T1
GF00002999	TFCN152A1_003658-T1	DBVPG3775_000325-T1
GF00003000	TFCN152A1_003659-T1	DBVPG3775_000324-T1
GF00003001	TFCN152A1_007048-T1	DBVPG3775_000323-T1
GF00003002	TFCN152A1_003661-T1	DBVPG3775_000322-T1
GF00003003	TFCN152A1_003662-T1	DBVPG3775_000321-T1
GF00003004	TFCN152A1_007051-T1	DBVPG3775_000320-T1
GF00003005	TFCN152A1_003664-T1	DBVPG3775_000319-T1
GF00003006	TFCN152A1_003665-T1	DBVPG3775_000318-T1
GF00003007	TFCN152A1_003667-T1	DBVPG3775_000316-T1
GF00003008	TFCN152A1_003669-T1	DBVPG3775_000314-T1
GF00003009	TFCN152A1_003670-T1	DBVPG3775_000313-T1
GF00003010	TFCN152A1_007060-T1	DBVPG3775_000311-T1
GF00003011	TFCN152A1_003674-T1	DBVPG3775_000309-T1
GF00003012	TFCN152A1_007063-T1	DBVPG3775_000308-T1
GF00003013	TFCN152A1_003676-T1	DBVPG3775_000307-T1
GF00003014	TFCN152A1_003678-T1	DBVPG3775_000305-T1
GF00003015	TFCN152A1_012895-T1	DBVPG3775_004949-T1
GF00003016	TFCN152A1_003766-T1	DBVPG3775_004948-T1
GF00003017	TFCN152A1_003768-T1	DBVPG3775_004945-T1
GF00003018	TFCN152A1_003772-T1	DBVPG3775_002237-T1
GF00003019	TFCN152A1_003774-T1	DBVPG3775_002235-T1
GF00003020	TFCN152A1_003775-T1	DBVPG3775_002233-T1
GF00003021	TFCN152A1_003776-T1	DBVPG3775_002232-T1
GF00003022	TFCN152A1_003777-T1	DBVPG3775_002231-T1
GF00003023	TFCN152A1_003780-T1	DBVPG3775_002228-T1
GF00003024	TFCN152A1_005676-T1	DBVPG3775_002227-T1
GF00003025	TFCN152A1_005673-T1	DBVPG3775_002223-T1
GF00003026	TFCN152A1_005672-T1	DBVPG3775_002222-T1
GF00003027	TFCN152A1_005671-T1	DBVPG3775_002221-T1
GF00003028	TFCN152A1_003792-T1	DBVPG3775_002217-T1
GF00003029	TFCN152A1_003795-T1	DBVPG3775_002214-T1
GF00003030	TFCN152A1_003796-T1	DBVPG3775_002213-T1
GF00003031	TFCN152A1_003800-T1	DBVPG3775_002204-T1
GF00003032	TFCN152A1_003801-T1	DBVPG3775_002203-T1
GF00003033	TFCN152A1_003803-T1	DBVPG3775_002201-T1
GF00003034	TFCN152A1_003804-T1	DBVPG3775_002200-T1
GF00003035	TFCN152A1_005648-T1	DBVPG3775_002199-T1
GF00003036	TFCN152A1_003806-T1	DBVPG3775_002198-T1
GF00003037	TFCN152A1_005646-T1	DBVPG3775_002197-T1
GF00003038	TFCN152A1_003813-T1	DBVPG3775_002187-T1
GF00003039	TFCN152A1_003814-T1	DBVPG3775_002186-T1
GF00003040	TFCN152A1_003815-T1	DBVPG3775_002184-T1
GF00003041	TFCN152A1_005638-T1	DBVPG3775_002183-T1
GF00003042	TFCN152A1_003817-T1	DBVPG3775_002182-T1
GF00003043	TFCN152A1_003822-T1	DBVPG3775_002175-T1
GF00003044	TFCN152A1_003824-T1	DBVPG3775_002173-T1
GF00003045	TFCN152A1_003825-T1	DBVPG3775_002172-T1
GF00003046	TFCN152A1_005627-T1	DBVPG3775_002166-T1
GF00003047	TFCN152A1_003831-T1	DBVPG3775_002164-T1
GF00003048	TFCN152A1_005624-T1	DBVPG3775_002163-T1
GF00003049	TFCN152A1_003834-T1	DBVPG3775_002161-T1
GF00003050	TFCN152A1_005617-T1	DBVPG3775_002154-T1
GF00003051	TFCN152A1_003841-T1	DBVPG3775_002153-T1
GF00003052	TFCN152A1_003842-T1	DBVPG3775_002152-T1
GF00003053	TFCN152A1_005614-T1	DBVPG3775_002151-T1
GF00003054	TFCN152A1_003844-T1	DBVPG3775_002150-T1
GF00003055	TFCN152A1_003845-T1	DBVPG3775_002149-T1
GF00003056	TFCN152A1_003846-T1	DBVPG3775_002148-T1
GF00003057	TFCN152A1_003851-T1	DBVPG3775_002143-T1
GF00003058	TFCN152A1_003852-T1	DBVPG3775_002142-T1
GF00003059	TFCN152A1_003853-T1	DBVPG3775_002141-T1
GF00003060	TFCN152A1_003855-T1	DBVPG3775_002139-T1
GF00003061	TFCN152A1_003859-T1	DBVPG3775_002134-T1
GF00003062	TFCN152A1_003860-T1	DBVPG3775_002133-T1
GF00003063	TFCN152A1_012078-T1	DBVPG3775_002132-T1
GF00003064	TFCN152A1_003862-T1	DBVPG3775_002131-T1
GF00003065	TFCN152A1_003863-T1	DBVPG3775_002130-T1
GF00003066	TFCN152A1_003867-T1	DBVPG3775_002126-T1
GF00003067	TFCN152A1_003869-T1	DBVPG3775_002123-T1
GF00003068	TFCN152A1_003870-T1	DBVPG3775_002122-T1
GF00003069	TFCN152A1_005413-T1	DBVPG3775_002121-T1
GF00003070	TFCN152A1_006729-T1	DBVPG3775_006222-T1
GF00003071	TFCN152A1_006726-T1	DBVPG3775_006215-T1
GF00003072	TFCN152A1_003954-T1	DBVPG3775_006213-T1
GF00003073	TFCN152A1_003961-T1	DBVPG3775_006205-T1
GF00003074	TFCN152A1_006716-T1	DBVPG3775_006203-T1
GF00003075	TFCN152A1_006715-T1	DBVPG3775_006202-T1
GF00003076	TFCN152A1_003965-T1	DBVPG3775_006199-T1
GF00003077	TFCN152A1_003966-T1	DBVPG3775_006198-T1
GF00003078	TFCN152A1_006712-T1	DBVPG3775_006197-T1
GF00003079	TFCN152A1_003968-T1	DBVPG3775_006196-T1
GF00003080	TFCN152A1_003969-T1	DBVPG3775_006195-T1
GF00003081	TFCN152A1_006709-T1	DBVPG3775_006194-T1
GF00003082	TFCN152A1_003971-T1	DBVPG3775_006193-T1
GF00003083	TFCN152A1_006706-T1	DBVPG3775_006190-T1
GF00003084	TFCN152A1_003975-T1	DBVPG3775_006187-T1
GF00003085	TFCN152A1_003976-T1	DBVPG3775_006186-T1
GF00003086	TFCN152A1_011568-T1	DBVPG3775_006185-T1
GF00003087	TFCN152A1_003978-T1	DBVPG3775_006184-T1
GF00003088	TFCN152A1_003981-T1	DBVPG3775_006181-T1
GF00003089	TFCN152A1_003982-T1	DBVPG3775_006180-T1
GF00003090	TFCN152A1_003983-T1	DBVPG3775_006179-T1
GF00003091	TFCN152A1_003987-T1	DBVPG3775_006173-T1
GF00003092	TFCN152A1_003988-T1	DBVPG3775_006172-T1
GF00003093	TFCN152A1_003989-T1	DBVPG3775_006171-T1
GF00003094	TFCN152A1_011553-T1	DBVPG3775_006169-T1
GF00003095	TFCN152A1_003992-T1	DBVPG3775_006168-T1
GF00003096	TFCN152A1_003993-T1	DBVPG3775_006167-T1
GF00003097	TFCN152A1_003994-T1	DBVPG3775_006165-T1
GF00003098	TFCN152A1_003995-T1	DBVPG3775_006164-T1
GF00003099	TFCN152A1_003996-T1	DBVPG3775_006163-T1
GF00003100	TFCN152A1_010006-T1	DBVPG3775_006160-T1
GF00003101	TFCN152A1_010005-T1	DBVPG3775_006159-T1
GF00003102	TFCN152A1_004002-T1	DBVPG3775_006157-T1
GF00003103	TFCN152A1_004003-T1	DBVPG3775_006156-T1
GF00003104	TFCN152A1_004004-T1	DBVPG3775_006155-T1
GF00003105	TFCN152A1_004005-T1	DBVPG3775_006154-T1
GF00003106	TFCN152A1_004006-T1	DBVPG3775_006153-T1
GF00003107	TFCN152A1_004007-T1	DBVPG3775_006152-T1
GF00003108	TFCN152A1_009996-T1	DBVPG3775_006149-T1
GF00003109	TFCN152A1_004011-T1	DBVPG3775_006148-T1
GF00003110	TFCN152A1_009994-T1	DBVPG3775_007198-T1
GF00003111	TFCN152A1_004013-T1	DBVPG3775_007197-T1
GF00003112	TFCN152A1_004014-T1	DBVPG3775_007196-T1
GF00003113	TFCN152A1_004015-T1	DBVPG3775_007195-T1
GF00003114	TFCN152A1_004016-T1	DBVPG3775_007194-T1
GF00003115	TFCN152A1_009989-T1	DBVPG3775_007193-T1
GF00003116	TFCN152A1_009988-T1	DBVPG3775_007191-T1
GF00003117	TFCN152A1_009987-T1	DBVPG3775_007190-T1
GF00003118	TFCN152A1_004022-T1	DBVPG3775_007187-T1
GF00003119	TFCN152A1_009983-T1	DBVPG3775_007186-T1
GF00003120	TFCN152A1_004024-T1	DBVPG3775_007185-T1
GF00003121	TFCN152A1_009981-T1	DBVPG3775_007184-T1
GF00003122	TFCN152A1_011539-T1	DBVPG3775_007181-T1
GF00003123	TFCN152A1_004030-T1	DBVPG3775_007176-T1
GF00003124	TFCN152A1_004031-T1	DBVPG3775_007175-T1
GF00003125	TFCN152A1_004033-T1	DBVPG3775_007173-T1
GF00003126	TFCN152A1_011532-T1	DBVPG3775_007172-T1
GF00003127	TFCN152A1_004035-T1	DBVPG3775_007171-T1
GF00003128	TFCN152A1_004131-T1	DBVPG3775_005416-T1
GF00003129	TFCN152A1_007926-T1	DBVPG3775_005415-T1
GF00003130	TFCN152A1_012628-T1	DBVPG3775_005388-T1
GF00003131	TFCN152A1_012627-T1	DBVPG3775_005389-T1
GF00003132	TFCN152A1_012626-T1	DBVPG3775_005390-T1
GF00003133	TFCN152A1_012623-T1	DBVPG3775_005393-T1
GF00003134	TFCN152A1_012622-T1	DBVPG3775_005394-T1
GF00003135	TFCN152A1_012621-T1	DBVPG3775_005395-T1
GF00003136	TFCN152A1_012619-T1	DBVPG3775_005398-T1
GF00003137	TFCN152A1_004147-T1	DBVPG3775_005401-T1
GF00003138	TFCN152A1_004148-T1	DBVPG3775_005402-T1
GF00003139	TFCN152A1_012519-T1	DBVPG3775_005403-T1
GF00003140	TFCN152A1_004150-T1	DBVPG3775_005404-T1
GF00003141	TFCN152A1_004151-T1	DBVPG3775_005405-T1
GF00003142	TFCN152A1_012522-T1	DBVPG3775_005406-T1
GF00003143	TFCN152A1_012524-T1	DBVPG3775_005408-T1
GF00003144	TFCN152A1_004157-T1	DBVPG3775_005412-T1
GF00003145	TFCN152A1_012528-T1	DBVPG3775_005413-T1
GF00003146	TFCN152A1_004161-T1	DBVPG3775_005386-T1
GF00003147	TFCN152A1_004162-T1	DBVPG3775_005385-T1
GF00003148	TFCN152A1_004163-T1	DBVPG3775_005384-T1
GF00003149	TFCN152A1_004166-T1	DBVPG3775_005380-T1
GF00003150	TFCN152A1_004168-T1	DBVPG3775_005378-T1
GF00003151	TFCN152A1_010275-T1	DBVPG3775_005376-T1
GF00003152	TFCN152A1_004170-T1	DBVPG3775_005375-T1
GF00003153	TFCN152A1_010272-T1	DBVPG3775_005373-T1
GF00003154	TFCN152A1_010268-T1	DBVPG3775_005369-T1
GF00003155	TFCN152A1_004176-T1	DBVPG3775_005368-T1
GF00003156	TFCN152A1_010266-T1	DBVPG3775_005367-T1
GF00003157	TFCN152A1_004179-T1	DBVPG3775_005366-T1
GF00003158	TFCN152A1_004180-T1	DBVPG3775_005365-T1
GF00003159	TFCN152A1_004181-T1	DBVPG3775_005364-T1
GF00003160	TFCN152A1_010262-T1	DBVPG3775_005363-T1
GF00003161	TFCN152A1_010260-T1	DBVPG3775_005361-T1
GF00003162	TFCN152A1_010257-T1	DBVPG3775_005357-T1
GF00003163	TFCN152A1_010256-T1	DBVPG3775_005356-T1
GF00003164	TFCN152A1_007627-T1	DBVPG3775_006505-T1
GF00003165	TFCN152A1_004192-T1	DBVPG3775_006504-T1
GF00003166	TFCN152A1_007622-T1	DBVPG3775_006498-T1
GF00003167	TFCN152A1_004198-T1	DBVPG3775_006497-T1
GF00003168	TFCN152A1_007620-T1	DBVPG3775_006496-T1
GF00003169	TFCN152A1_004200-T1	DBVPG3775_006495-T1
GF00003170	TFCN152A1_007618-T1	DBVPG3775_006494-T1
GF00003171	TFCN152A1_007616-T1	DBVPG3775_006492-T1
GF00003172	TFCN152A1_004204-T1	DBVPG3775_006491-T1
GF00003173	TFCN152A1_004207-T1	DBVPG3775_006487-T1
GF00003174	TFCN152A1_007611-T1	DBVPG3775_006486-T1
GF00003175	TFCN152A1_004342-T1	DBVPG3775_001449-T1
GF00003176	TFCN152A1_004215-T1	DBVPG3775_001447-T1
GF00003177	TFCN152A1_004216-T1	DBVPG3775_001446-T1
GF00003178	TFCN152A1_004217-T1	DBVPG3775_001445-T1
GF00003179	TFCN152A1_004218-T1	DBVPG3775_001444-T1
GF00003180	TFCN152A1_004221-T1	DBVPG3775_007413-T1
GF00003181	TFCN152A1_009504-T1	DBVPG3775_007412-T1
GF00003182	TFCN152A1_009503-T1	DBVPG3775_007411-T1
GF00003183	TFCN152A1_004225-T1	DBVPG3775_007409-T1
GF00003184	TFCN152A1_004227-T1	DBVPG3775_007407-T1
GF00003185	TFCN152A1_009498-T1	DBVPG3775_007406-T1
